GeneName,Alias,FullName,PMID,Method,DiseaseModel,DiseaseName,DiseaseID,Fibrosis
ACTA2,a-SMA,"actin alpha 2, smooth muscle",31476284,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ACVR1B,ALK4,activin A receptor type 1B,28639003,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ACVR1B,ALK4,activin A receptor type 1B,21377836,Inhibition,Systemic Sclerosis,systemic sclerosis,MONDO:0005100,pro
ACVR1B,ALK4,activin A receptor type 1B,18202322,Inhibition,Vascular Fibrosis,atherosclerosis,MONDO:0005311,pro
ACVR1B,ALK4,activin A receptor type 1B,30369314,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ADAM17,TACE,ADAM metallopeptidase domain 17,29930147,Gene Knockout,Vascular Fibrosis,atherosclerosis,MONDO:0005311,pro
ADAM17,TACE,ADAM metallopeptidase domain 17,27480833,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ADAM17,TACE,ADAM metallopeptidase domain 17,16600387,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ADAM17,TACE,ADAM metallopeptidase domain 17,21079048,RNAi,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ADIPOQ,APN,"adiponectin, C1Q and collagen domain containing",23833260,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ADIPOQ,APN,"adiponectin, C1Q and collagen domain containing",17626903,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ADIPOQ,APN,"adiponectin, C1Q and collagen domain containing",23334396,Gene Knockout/Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ADIPOQ,APN,"adiponectin, C1Q and collagen domain containing",19933924,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ADIPOQ,APN,"adiponectin, C1Q and collagen domain containing",25957229,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ADIPOQ,APN,"adiponectin, C1Q and collagen domain containing",14724832,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ADIPOR1,,Adiponectin Receptor Protein 1,33199780,Activation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ADIPOR2,,Adiponectin Receptor Protein 2,33199780,Activation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ADIPOR1,,Adiponectin Receptor Protein 1,33213041,Activation,Arthrofibrosis,Fibrosis,MESH:D005355,anti
ADIPOR2,,Adiponectin Receptor Protein 2,33213041,Activation,Arthrofibrosis,Fibrosis,MESH:D005355,anti
ADIPOR1,,Adiponectin Receptor Protein 1,29330340,Activation,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ADIPOR2,,Adiponectin Receptor Protein 2,29330340,Activation,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ADIPOR1,,Adiponectin Receptor Protein 1,30569772,Activation(Review),Fibrotic Disorders,Fibrosis,MESH:D005355,anti
ADIPOR2,,Adiponectin Receptor Protein 2,18666257,RNAi/Gene Overexpression,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ADM,,adrenomedullin,14967720,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ADM,,adrenomedullin,18401334,Gene Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ADM,,adrenomedullin,16105039,Direct Treatment,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ADM,,adrenomedullin,23355623,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ADRB2,β2AR,adrenoceptor beta 2,28396116,Activation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ADRB2,β2AR,adrenoceptor beta 2,10758054,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ADRB2,β2AR,adrenoceptor beta 2,10618307,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
AGT,,angiotensinogen,18508830,Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
AGT,,angiotensinogen,9077534,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
AGT,,angiotensinogen,20237455,Gene Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
AGT,,angiotensinogen,9884332,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
AHSA1,AHA1,activator of HSP90 ATPase activity 1,17110338,RNAi,Cystic Fibrosis,cystic fibrosis,MONDO:0009061,pro
AHSA1,AHA1,activator of HSP90 ATPase activity 1,18556464,Inhibition,Cystic Fibrosis,cystic fibrosis,MONDO:0009061,pro
AHSA1,AHA1,activator of HSP90 ATPase activity 1,20089831,RNAi/Gene Overexpression,Cystic Fibrosis,cystic fibrosis,MONDO:0009061,pro
AKT1,,AKT serine/threonine kinase 1,26921108,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
AKT1,,AKT serine/threonine kinase 1,33316281,Gene Knockout/Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
AKT1,,AKT serine/threonine kinase 1,25970154,RNAi,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
AKT1,,AKT serine/threonine kinase 1,25012168,Gene Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ALDH2,,aldehyde dehydrogenase 2 family member,31279903,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ALDH2,,aldehyde dehydrogenase 2 family member,24492981,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ALDH2,,aldehyde dehydrogenase 2 family member,16502397,Inhibition(Review),Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
ALDH2,,aldehyde dehydrogenase 2 family member,19332462,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ANGPT1,ANG1,angiopoietin 1,12628953,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ANGPT1,ANG1,angiopoietin 1,21606590,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ANGPT1,ANG1,angiopoietin 1,25932532,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ANGPT2,ANG2,angiopoietin 2,30259536,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ANGPT2,ANG2,angiopoietin 2,24511140,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ANGPT2,ANG2,angiopoietin 2,28355132,Gene Overexpression/Inhibition,Adipose Tissue Fibrosis,Fibrosis,MESH:D005355,anti
ANGPT2,ANG2,angiopoietin 2,24708486,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
APC,,Adenomatous polyposis coli regulator of Wnt signaling pathway,32327611,Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
APC,,Adenomatous polyposis coli regulator of Wnt signaling pathway,22094874,Gene Knockout,Desmoid Tumor Fibrosis,desmoid tumor,MONDO:0007608,anti
BAX,,Bcl-2-associated X protein,17209037,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
BAX,,Bcl-2-associated X protein,26180237,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
BAX,,Bcl-2-associated X protein,28317867,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
BCL2,BCL-2,BCL2 apoptosis regulator,14715896,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
BCL2,BCL-2,BCL2 apoptosis regulator,23514933,Up Regulation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
BCL2,BCL-2,BCL2 apoptosis regulator,16423888,Up Regulation/RNAi,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
BGN,,biglycan,29253517,Gene Knockout/Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
BGN,,biglycan,15031262,Gene Overexpression,Vascular Fibrosis,atherosclerosis,MONDO:0005311,pro
BGN,,biglycan,27789290,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
BGN,,biglycan,21454527,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
BMP2,,bone morphogenetic protein 2,9427911,Direct Treatment,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
BMP2,,bone morphogenetic protein 2,18832104,Direct Treatment/Gene Overexpression/Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
BMP2,,bone morphogenetic protein 2,29789683,Gene Overexpression,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
BMP2,,bone morphogenetic protein 2,21659661,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
BMP2,,bone morphogenetic protein 2,22283839,Direct Treatment/Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
BMP4,,bone morphogenetic protein 4,23248151,Gene Overexpression/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
BMP4,,bone morphogenetic protein 4,30941514,Direct Treatment/Gene Overexpression/Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
BMP4,,bone morphogenetic protein 4,33188599,Direct Treatment,Ocular Fibrosis,Fibrosis,MESH:D005355,pro
BMP4,,bone morphogenetic protein 4,20573231,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
BMP4,,bone morphogenetic protein 4,28159972,Direct Treatment,Ocular Fibrosis,Fibrosis,MESH:D005355,anti
BMP7,,bone morphogenetic protein 7,12808448,Direct Treatment,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
BMP7,,bone morphogenetic protein 7,31495264,Gene Knockout/Up Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
BMP7,,bone morphogenetic protein 7,19193779,Direct Treatment/Gene Overexpression,Peritoneal Fibrosis,Peritoneal Fibrosis,MESH:D056627,anti
BMP7,,bone morphogenetic protein 7,17127702,Gene Overexpression,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
BRD4,,bromodomain containing 4,31409188,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
BRD4,,bromodomain containing 4,26644586,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
BRD4,,bromodomain containing 4,28063381,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
BRD4,,bromodomain containing 4,33290278,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CAV1,,caveolin 1,25665524,Up Regulation,Cystic Fibrosis,cystic fibrosis,MONDO:0009061,anti
CAV1,,caveolin 1,31826982,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
CAV1,,caveolin 1,31492508,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
CAV1,,caveolin 1,25550395,Gene Knockout,Peritoneal Fibrosis,Peritoneal Fibrosis,MESH:D056627,anti
CAV1,,caveolin 1,11498544,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
CAV1,,caveolin 1,27895190,Gene Knockout,Vascular Fibrosis,atherosclerosis,MONDO:0005311,pro
CCL1,,C-C motif chemokine ligand 1,22031018,Direct Treatment/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCL1,,C-C motif chemokine ligand 1,32586381,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCL1,,C-C motif chemokine ligand 1,28526296,Down Regulation,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
CCL11,Eotaxin,C-C motif chemokine ligand 11,29467297,Inhibition,Intestinal Fibrosis,Fibrosis,MESH:D005355,pro
CCL11,Eotaxin,C-C motif chemokine ligand 11,21851604,Up Regulation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCL11,Eotaxin,C-C motif chemokine ligand 11,16314464,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCL2,MCP-1,C-C motif chemokine ligand 2,33159815,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCL2,MCP-1,C-C motif chemokine ligand 2,26896096,Up Regulation,Pancreatic Fibrosis,chronic pancreatitis,MONDO:0005003,anti
CCL2,MCP-1,C-C motif chemokine ligand 2,33798959,Gene Knockout,Adipose Tissue Fibrosis,Fibrosis,MESH:D005355,anti
CCL2,MCP-1,C-C motif chemokine ligand 2,22177985,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCL3,MIP-1A,C-C motif chemokine ligand 3,15569315,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
CCL3,MIP-1A,C-C motif chemokine ligand 3,21851604,Up Regulation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCL3,MIP-1A,C-C motif chemokine ligand 3,24890045,Up Regulation(Review),Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCL5,,C-C motif chemokine ligand 5,28011329,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCL5,,C-C motif chemokine ligand 5,28318046,Up Regulation/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCL5,,C-C motif chemokine ligand 5,20978355,Gene Knockout/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCL5,,C-C motif chemokine ligand 5,27639593,Gene Knockout/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCN2,CTGF,cellular communication network factor 2,30716392,Inhibition,Skeletal Muscle Fibrosis,Fibrosis,MESH:D005355,pro
CCN2,CTGF,cellular communication network factor 2,28376190,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCN2,CTGF,cellular communication network factor 2,31495264,Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
CCN2,CTGF,cellular communication network factor 2,30898581,Up Regulation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR1,,C-C motif chemokine receptor 1,19603542,Gene Knockout/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR1,,C-C motif chemokine receptor 1,14747380,Gene Knockout/Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
CCR1,,C-C motif chemokine receptor 1,15569315,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
CCR1,,C-C motif chemokine receptor 1,11805137,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
CCR1,,C-C motif chemokine receptor 1,17229070,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
CCR2,,C-C motif chemokine receptor 2,31813573,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR2,,C-C motif chemokine receptor 2,31439648,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
CCR2,,C-C motif chemokine receptor 2,30179264,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR2,,C-C motif chemokine receptor 2,29572892,Down Regulation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR3,,C-C motif chemokine receptor 3,29467297,Gene Knockout/Inhibition,Intestinal Fibrosis,Fibrosis,MESH:D005355,pro
CCR3,,C-C motif chemokine receptor 3,16314464,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCR3,,C-C motif chemokine receptor 3,17148674,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CCR5,,C-C motif chemokine receptor 5,30179264,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR5,,C-C motif chemokine receptor 5,19603542,Gene Knockout/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR5,,C-C motif chemokine receptor 5,23526353,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CCR5,,C-C motif chemokine receptor 5,29336497,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CD274,PD-L1,CD274 molecule,30257954,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CD274,PD-L1,CD274 molecule,31201259,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
CD274,PD-L1,CD274 molecule,32493933,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CD274,PD-L1,CD274 molecule,30763282,Gene Knockout/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CEBPB,C/EBP-beta,CCAAT enhancer binding protein beta,29511346,Gene Overexpression,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
CEBPB,C/EBP-beta,CCAAT enhancer binding protein beta,28002407,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CEBPB,C/EBP-beta,CCAAT enhancer binding protein beta,19297554,Gene Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
CEBPB,C/EBP-beta,CCAAT enhancer binding protein beta,24947615,Up Regulation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
CFTR,,CF transmembrane conductance regulator,18304008,Down Regulation(Review),Cystic Fibrosis,cystic fibrosis,MONDO:0009061,anti
CFTR,,CF transmembrane conductance regulator,24973281,Down Regulation,Cystic Fibrosis,cystic fibrosis,MONDO:0009061,anti
CFTR,,CF transmembrane conductance regulator,32243806,Gene Overexpression(Gene Therapy),Cystic Fibrosis,cystic fibrosis,MONDO:0009061,anti
CFTR,,CF transmembrane conductance regulator,25350163,Gene Overexpression(Medical Therapy),Cystic Fibrosis,cystic fibrosis,MONDO:0009061,anti
COL18A1,endostatin,collagen type XVIII alpha 1 chain,27165830,Gene Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
COL18A1,endostatin,collagen type XVIII alpha 1 chain,22649092,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
COL18A1,endostatin,collagen type XVIII alpha 1 chain,23688086,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
COL1A1,,collagen type I alpha 1 chain,33398455,Up Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
COL1A1,,collagen type I alpha 1 chain,20117381,Up Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
COL1A1,,collagen type I alpha 1 chain,30830875,Up Regulation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
COL1A1,,collagen type I alpha 1 chain,27993716,Down Regulation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
COL1A2,,collagen type I alpha 2 chain,21864682,Up Regulation,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
COL1A2,,collagen type I alpha 2 chain,16815696,Up Regulation(Review),Fibrotic Disorders,Fibrosis,MESH:D005355,pro
COL1A2,,collagen type I alpha 2 chain,27503806,Up Regulation,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
COL3A1,,collagen type III alpha 1 chain,29899023,Up Regulation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
COL3A1,,collagen type III alpha 1 chain,33398455,Up Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
COL3A1,,collagen type III alpha 1 chain,20117381,Up Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
COMP,,cartilage oligomeric matrix protein,27318326,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
COMP,,cartilage oligomeric matrix protein,16520029,Gene Overexpression,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
COMP,,cartilage oligomeric matrix protein,18408251,Direct Treatment/Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CXCL12,SDF1,stromal cell-derived factor-1alpha,19434726,Direct Treatment/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CXCL12,SDF1,stromal cell-derived factor-1alpha,30700545,Inhibition,Tumor Fibrosis,Fibrosis,MESH:D005355,pro
CXCL12,SDF1,stromal cell-derived factor-1alpha,30748094,Direct Treatment,Pancreatic Fibrosis,chronic pancreatitis,MONDO:0005003,anti
CXCL12,SDF1,stromal cell-derived factor-1alpha,15286810,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CXCL12,SDF1,stromal cell-derived factor-1alpha,32384208,Up Regulation/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
CXCR2,,C-X-C motif chemokine receptor 2,29514257,Gene Knockout/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
CXCR2,,C-X-C motif chemokine receptor 2,32639881,Gene Knockout/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
CXCR2,,C-X-C motif chemokine receptor 2,15105284,Gene Knockout/Inhibition,Thrombus Fibrosis,Fibrosis,MESH:D005355,pro
CXCR2,,C-X-C motif chemokine receptor 2,21926469,Inhibition,Pancreatic Fibrosis,chronic pancreatitis,MONDO:0005003,pro
CXCR4,,C-X-C motif chemokine receptor 4,19434726,Activation/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
CXCR4,,C-X-C motif chemokine receptor 4,26602164,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
CXCR4,,C-X-C motif chemokine receptor 4,30700545,Inhibition,Tumor Fibrosis,Fibrosis,MESH:D005355,pro
CXCR4,,C-X-C motif chemokine receptor 4,32440550,Inhibition,Tumor Fibrosis,Fibrosis,MESH:D005355,pro
CXCR4,,C-X-C motif chemokine receptor 4,18268039,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
CXCR4,,C-X-C motif chemokine receptor 4,32384208,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
DCN,,decorin,8597951,Gene Overexpression,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
DCN,,decorin,23983032,Direct Treatment,Neurofibrosis,neurofibroma,MONDO:0016755,anti
DCN,,decorin,30528862,Gene Overexpression,Cutaneous Fibrosis,keloid,MONDO:0005348,anti
DCN,,decorin,15949932,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
DCN,,decorin,11254537,Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
EDN1,ET-1,endothelin 1,31177814,Up Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
EDN1,ET-1,endothelin 1,31747868,Inhibition/Down Regulation,Thrombus Fibrosis,Fibrosis,MESH:D005355,pro
EDN1,ET-1,endothelin 1,9279246,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
EDN1,ET-1,endothelin 1,22183953,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
EDN1,ET-1,endothelin 1,8981923,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
EDN1,ET-1,endothelin 1,7615814,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
EGF,,epidermal growth factor,24677197,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
EGF,,epidermal growth factor,25311535,Inhibition(Review),Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
EGF,,epidermal growth factor,10903338,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
EGFR,,epidermal growth factor receptor,31676723,Activation/Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
EGFR,,epidermal growth factor receptor,32678881,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
EGFR,,epidermal growth factor receptor,24677197,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
EGFR,,epidermal growth factor receptor,26677863,Inhibition,Peritoneal Fibrosis,Peritoneal Fibrosis,MESH:D056627,pro
EFNB2,,Ephrin B2,29058717,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
EFNB2,,Ephrin B2,30268571,Inhibition(Review),Fibrotic Disorders,Fibrosis,MESH:D005355,pro
EFNB2,,Ephrin B2,28834283,RNAi,Neurofibrosis,neurofibroma,MONDO:0016755,pro
EFNB2,,Ephrin B2,33794069,RNAi,Neurofibrosis,neurofibroma,MONDO:0016755,pro
