source_id	source_type	target_id	target_type	source_name	target_name	relation_type	resource	ttd_disease_id	ttd_biomarker_id
UNIPROT:P30495	Gene	ICD-11:FA21	Disease	HLA class I histocompatibility antigen, B-56 alpha chain (HLA-B)	Psoriatic arthritis	GNBR::Md::Gene:Disease	TTD	ICD-11:FA21	BM001693
UNIPROT:Q8N5D6	Gene	ICD-11:1A00-CA43.1	Disease	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002860
UNIPROT:Q8N5D6	Gene	ICD-11:1A00-CA43.1	Disease	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002862
UNIPROT:Q8N5D6	Gene	ICD-11:1A00-CA43.1	Disease	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002868
UNIPROT:Q8N5D6	Gene	ICD-11:1A00-CA43.1	Disease	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (GBGT1)	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002870
UNIPROT:Q8WWZ1	Gene	ICD-11:1A00-CA43.1	Disease	Interleukin-1 family member 10 (IL1F10)	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM001759
UNIPROT:Q9UQQ2	Gene	ICD-11:1A00-CA43.1	Disease	Lymphocyte adaptor protein LNK	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002681
UNIPROT:P11940	Gene	ICD-11:1A00-CA43.1	Disease	Poly(A) binding protein	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002551
UNIPROT:Q86U42	Gene	ICD-11:1A00-CA43.1	Disease	Poly(A) binding protein	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002551
UNIPROT:Q9H361	Gene	ICD-11:1A00-CA43.1	Disease	Poly(A) binding protein	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002551
UNIPROT:Q13310	Gene	ICD-11:1A00-CA43.1	Disease	Poly(A) binding protein	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002551
UNIPROT:Q96DU9	Gene	ICD-11:1A00-CA43.1	Disease	Poly(A) binding protein	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002551
UNIPROT:P16109	Gene	ICD-11:1A00-CA43.1	Disease	P-selectin	Inflammation	GNBR::Md::Gene:Disease	TTD	ICD-11:1A00-CA43.1	BM002713
UNIPROT:P19440	Gene	ICD-11:1E51.1	Disease	I-glutamyl transferase (GGT)	Chronic HCV-1 infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1E51.1	BM000054
UNIPROT:P36268	Gene	ICD-11:1E51.1	Disease	I-glutamyl transferase (GGT)	Chronic HCV-1 infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1E51.1	BM000054
UNIPROT:P36269	Gene	ICD-11:1E51.1	Disease	I-glutamyl transferase (GGT)	Chronic HCV-1 infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1E51.1	BM000054
UNIPROT:P41159	Gene	ICD-11:JA24	Disease	Leptin	Pre-eclampsia	GNBR::Md::Gene:Disease	TTD	ICD-11:JA24	BM000400
UNIPROT:P02771	Gene	ICD-11:KB29.0	Disease	Alpha-fetoprotein	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM000755
UNIPROT:O15123	Gene	ICD-11:KB29.0	Disease	Angiopoietin-2 (ANGPT2)	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM000779
UNIPROT:P14151	Gene	ICD-11:KB29.0	Disease	L-selectin	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM000558
UNIPROT:P14151	Gene	ICD-11:KB29.0	Disease	L-selectin	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002707
UNIPROT:P61626	Gene	ICD-11:KB29.0	Disease	Lysozyme	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002025
UNIPROT:P0DJD8	Gene	ICD-11:KB29.0	Disease	Pepsin	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002473
UNIPROT:P0DJD7	Gene	ICD-11:KB29.0	Disease	Pepsin	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002473
UNIPROT:P0DJD9	Gene	ICD-11:KB29.0	Disease	Pepsin	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002473
UNIPROT:P15692	Gene	ICD-11:KB29.0	Disease	Vascular endothelial growth factor (VEGF)	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002938
UNIPROT:P49765	Gene	ICD-11:KB29.0	Disease	Vascular endothelial growth factor (VEGF)	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002938
UNIPROT:P49767	Gene	ICD-11:KB29.0	Disease	Vascular endothelial growth factor (VEGF)	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002938
UNIPROT:O43915	Gene	ICD-11:KB29.0	Disease	Vascular endothelial growth factor (VEGF)	Bronchopulmonary dysplasia	GNBR::Md::Gene:Disease	TTD	ICD-11:KB29.0	BM002938
UNIPROT:P19429	Gene	ICD-11:LA8B.4	Disease	Troponin I, cardiac muscle	Patent ductus arteriosus	GNBR::Md::Gene:Disease	TTD	ICD-11:LA8B.4	BM001258
UNIPROT:P45379	Gene	ICD-11:LA8B.4	Disease	Troponin T, cardiac muscle isoforms	Patent ductus arteriosus	GNBR::Md::Gene:Disease	TTD	ICD-11:LA8B.4	BM001259
UNIPROT:P19429	Gene	ICD-11:MD11.1	Disease	Troponin I, cardiac muscle	Asphyxia	GNBR::Md::Gene:Disease	TTD	ICD-11:MD11.1	BM000915
UNIPROT:P45379	Gene	ICD-11:MD11.1	Disease	Troponin T, cardiac muscle isoforms	Asphyxia	GNBR::Md::Gene:Disease	TTD	ICD-11:MD11.1	BM000916
UNIPROT:P10144	Gene	ICD-11:NE84	Disease	Granzyme B	Kidney transplant rejection	GNBR::Md::Gene:Disease	TTD	ICD-11:NE84	BM002485
UNIPROT:P15924	Gene	ICD-11:1A95	Disease	Desmoplakin	Condyloma	GNBR::Md::Gene:Disease	TTD	ICD-11:1A95	BM003193
UNIPROT:Q86YT6	Gene	ICD-11:1A95	Disease	E3 ubiquitin-protein ligase MIB1	Condyloma	GNBR::Md::Gene:Disease	TTD	ICD-11:1A95	BM003186
UNIPROT:P07476	Gene	ICD-11:1A95	Disease	Involucrin	Condyloma	GNBR::Md::Gene:Disease	TTD	ICD-11:1A95	BM003191
UNIPROT:Q99102	Gene	ICD-11:1A95	Disease	Mucin-4	Condyloma	GNBR::Md::Gene:Disease	TTD	ICD-11:1A95	BM003185
UNIPROT:Q9Y6X0	Gene	ICD-11:1B52	Disease	SET-binding protein	Toxic shock syndrome	GNBR::Md::Gene:Disease	TTD	ICD-11:1B52	BM003568
UNIPROT:P06886	Gene	ICD-11:1B52	Disease	Toxic shock syndrome toxin-1	Toxic shock syndrome	GNBR::Md::Gene:Disease	TTD	ICD-11:1B52	BM003572
UNIPROT:P43652	Gene	ICD-11:1C62	Disease	Afamin (AFM)	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM000747
UNIPROT:P80188	Gene	ICD-11:1C62	Disease	Neutrophil gelatinase-associated lipocalin	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM002273
UNIPROT:P80188	Gene	ICD-11:1C62	Disease	Neutrophil gelatinase-associated lipocalin	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM002274
UNIPROT:P12821	Gene	ICD-11:1C62	Disease	Angiotensin-converting enzyme	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003394
UNIPROT:P03973	Gene	ICD-11:1C62	Disease	Antileukoproteinase	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003415
UNIPROT:P25445	Gene	ICD-11:1C62	Disease	Apoptosis-mediating surface antigen FAS	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003368
UNIPROT:Q06520	Gene	ICD-11:1C62	Disease	Bile salt sulfotransferase	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003347
UNIPROT:P01034	Gene	ICD-11:1C62	Disease	Cystatin-C	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003334
UNIPROT:O95936	Gene	ICD-11:1C62	Disease	Eomesodermin homolog	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003429
UNIPROT:Q9BZS1	Gene	ICD-11:1C62	Disease	Forkhead box protein P3	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003433
UNIPROT:Q08380	Gene	ICD-11:1C62	Disease	Galectin-3-binding protein	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003345
UNIPROT:P14136	Gene	ICD-11:1C62	Disease	Glial fibrillary acidic protein	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003388
UNIPROT:P13747	Gene	ICD-11:1C62	Disease	HLA class I histocompatibility antigen, alpha chain E	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003389
UNIPROT:P20701	Gene	ICD-11:1C62	Disease	Integrin alpha-L	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003371
UNIPROT:Q12918	Gene	ICD-11:1C62	Disease	Killer cell lectin-like receptor subfamily B member 1	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003342
UNIPROT:P34810	Gene	ICD-11:1C62	Disease	Macrosialin	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003361
UNIPROT:P01033	Gene	ICD-11:1C62	Disease	Metalloproteinase inhibitor 1	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003425
UNIPROT:P20366	Gene	ICD-11:1C62	Disease	Protachykinin-1	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003372
UNIPROT:P20333	Gene	ICD-11:1C62	Disease	Tumor necrosis factor receptor superfamily member 1B	HIV infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1C62	BM003373
UNIPROT:Q76LX8	Gene	ICD-11:1D20-1D2Z	Disease	A disintegrin and metalloproteinase with thrombospondin motifs 13	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003198
UNIPROT:P24298	Gene	ICD-11:1D20-1D2Z	Disease	Alanine aminotransferase	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003215
UNIPROT:P17174	Gene	ICD-11:1D20-1D2Z	Disease	Aspartate aminotransferase	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003220
UNIPROT:O95786	Gene	ICD-11:1D20-1D2Z	Disease	ATP-dependent RNA helicase DDX58	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003252
UNIPROT:P12104	Gene	ICD-11:1D20-1D2Z	Disease	Fatty acid-binding protein, intestinal	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003233
UNIPROT:P20701	Gene	ICD-11:1D20-1D2Z	Disease	Integrin alpha-L	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003217
UNIPROT:P15260	Gene	ICD-11:1D20-1D2Z	Disease	Interferon gamma receptor 1	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003225
UNIPROT:O15455	Gene	ICD-11:1D20-1D2Z	Disease	Toll-like receptor 3	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003254
UNIPROT:P10070	Gene	ICD-11:1D20-1D2Z	Disease	Zinc finger protein GLI2	Dengue	GNBR::Md::Gene:Disease	TTD	ICD-11:1D20-1D2Z	BM003257
UNIPROT:P14136	Gene	ICD-11:1D46	Disease	Glial fibrillary acidic protein	West nile virus infection	GNBR::Md::Gene:Disease	TTD	ICD-11:1D46	BM003604
UNIPROT:Q9P2W7	Gene	ICD-11:1D82	Disease	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	Cytomegaloviral Disease	GNBR::Md::Gene:Disease	TTD	ICD-11:1D82	BM003194
UNIPROT:P13762	Gene	ICD-11:1E30-1E32?	Disease	HLA class II histocompatibility antigen	Influenza	GNBR::Md::Gene:Disease	TTD	ICD-11:1E30-1E32?	BM003448
UNIPROT:P14222	Gene	ICD-11:1E30-1E32?	Disease	Perforin-1	Influenza	GNBR::Md::Gene:Disease	TTD	ICD-11:1E30-1E32?	BM003447
UNIPROT:Q9UQF0	Gene	ICD-11:1E30-1E32?	Disease	Syncytin-1	Influenza	GNBR::Md::Gene:Disease	TTD	ICD-11:1E30-1E32?	BM003434
UNIPROT:Q9BZS1	Gene	ICD-11:1E51	Disease	Forkhead box protein P3	Hepatitis B	GNBR::Md::Gene:Disease	TTD	ICD-11:1E51	BM003263
UNIPROT:P61812	Gene	ICD-11:1E51	Disease	Transforming growth factor beta-2 proprotein	Hepatitis B	GNBR::Md::Gene:Disease	TTD	ICD-11:1E51	BM003270
UNIPROT:Q9BZS1	Gene	ICD-11:1E51	Disease	Forkhead box protein P3	Hepatitis C	GNBR::Md::Gene:Disease	TTD	ICD-11:1E51	BM003308
UNIPROT:Q12918	Gene	ICD-11:1E51	Disease	Killer cell lectin-like receptor subfamily B member 1	Hepatitis C	GNBR::Md::Gene:Disease	TTD	ICD-11:1E51	BM003310
UNIPROT:Q9BPW9	Gene	ICD-11:1E70	Disease	Dehydrogenase/reductase SDR family member 9	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003544
UNIPROT:O75355	Gene	ICD-11:1E70	Disease	Ectonucleoside triphosphate diphosphohydrolase 3	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003564
UNIPROT:Q16769	Gene	ICD-11:1E70	Disease	Glutaminyl-peptide cyclotransferase	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003545
UNIPROT:P06737	Gene	ICD-11:1E70	Disease	Glycogen phosphorylase	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003560
UNIPROT:P28676	Gene	ICD-11:1E70	Disease	Grancalcin	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003553
UNIPROT:P33121	Gene	ICD-11:1E70	Disease	Long-chain-fatty-acid--CoA ligase 1	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003551
UNIPROT:Q05195	Gene	ICD-11:1E70	Disease	Max dimerization protein 1	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003548
UNIPROT:Q14738	Gene	ICD-11:1E70	Disease	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta	Smallpox	GNBR::Md::Gene:Disease	TTD	ICD-11:1E70	BM003546
UNIPROT:P21754	Gene	ICD-11:1E91	Disease	Zona pellucida sperm-binding protein 3	Zoster	GNBR::Md::Gene:Disease	TTD	ICD-11:1E91	BM003611
UNIPROT:P22749	Gene	ICD-11:1F03	Disease	Granulysin	Measles	GNBR::Md::Gene:Disease	TTD	ICD-11:1F03	BM003494
UNIPROT:P01732	Gene	ICD-11:1F03	Disease	T-cell surface glycoprotein CD8 alpha chain	Measles	GNBR::Md::Gene:Disease	TTD	ICD-11:1F03	BM003503
UNIPROT:P05456	Gene	ICD-11:IF53	Disease	Heat shock 70 kDa protein	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003180
UNIPROT:Q9U6Z1	Gene	ICD-11:IF53	Disease	Kinetoplastid membrane protein 11	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003167
UNIPROT:Q01530	Gene	ICD-11:IF53	Disease	Major paraflagellar rod protein	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003169
UNIPROT:P01033	Gene	ICD-11:IF53	Disease	Metalloproteinase inhibitor 1	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003184
UNIPROT:P16035	Gene	ICD-11:IF53	Disease	Metalloproteinase inhibitor 2	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003176
UNIPROT:Q00773	Gene	ICD-11:IF53	Disease	Shed-acute-phase-antigen	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003170
UNIPROT:P31431	Gene	ICD-11:IF53	Disease	Syndecan-4	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003166
UNIPROT:Q1L1I2	Gene	ICD-11:IF53	Disease	Tc24 protein	Chagas disease	GNBR::Md::Gene:Disease	TTD	ICD-11:IF53	BM003168
UNIPROT:Q9BZS1	Gene	ICD-11:1F54	Disease	Forkhead box protein P3	Leishmaniasis	GNBR::Md::Gene:Disease	TTD	ICD-11:1F54	BM003459
UNIPROT:P53999	Gene	ICD-11:1F57	Disease	Activated RNA polymerase II transcriptional coactivator p15	Toxoplasmosis	GNBR::Md::Gene:Disease	TTD	ICD-11:1F57	BM003579
UNIPROT:P13263	Gene	ICD-11:1F6A	Disease	Major sperm protein 2	Onchocerciasis	GNBR::Md::Gene:Disease	TTD	ICD-11:1F6A	BM003509
UNIPROT:P31729	Gene	ICD-11:1F6A	Disease	OV-16 antigen	Onchocerciasis	GNBR::Md::Gene:Disease	TTD	ICD-11:1F6A	BM003508
UNIPROT:P01732	Gene	ICD-11:1F86	Disease	T-cell surface glycoprotein CD8 alpha chain	Schistosomiasis	GNBR::Md::Gene:Disease	TTD	ICD-11:1F86	BM003520
UNIPROT:Q9UNN8	Gene	ICD-11:1G40-1G41	Disease	Endothelial protein C receptor	Sepsis	GNBR::Md::Gene:Disease	TTD	ICD-11:1G40-1G41	BM003521
UNIPROT:P11274	Gene	ICD-11:2A20	Disease	BCR/ABL	Chronic myeloid leukaemia	GNBR::Md::Gene:Disease	TTD	ICD-11:2A20	BM003051
UNIPROT:P00519	Gene	ICD-11:2A20	Disease	BCR/ABL	Chronic myeloid leukaemia	GNBR::Md::Gene:Disease	TTD	ICD-11:2A20	BM003051
UNIPROT:P29590	Gene	ICD-11:2A60.0	Disease	PML-RAR	Acute promyelocytic leukaemia	GNBR::Md::Gene:Disease	TTD	ICD-11:2A60.0	BM003031
UNIPROT:P10276	Gene	ICD-11:2A60.0	Disease	PML-RAR	Acute promyelocytic leukaemia	GNBR::Md::Gene:Disease	TTD	ICD-11:2A60.0	BM003031
UNIPROT:P06731	Gene	ICD-11:2B91.Z	Disease	Carcinoembryonic antigen (CD66e)	Colorectal cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2B91.Z	BM000209
UNIPROT:P06731	Gene	ICD-11:2B91.Z	Disease	Carcinoembryonic antigen (CD66e)	Colorectal cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2B91.Z	BM000210
UNIPROT:P02771	Gene	ICD-11:2C12.02	Disease	Alpha-fetoprotein	Hepatocellular carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2C12.02	BM000031
UNIPROT:P19438	Gene	ICD-11:2C25.Y	Disease	sTNF-R1	Non-small-cell lung cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C25.Y	BM001865
UNIPROT:P20333	Gene	ICD-11:2C25.Y	Disease	sTNF-R1	Non-small-cell lung cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C25.Y	BM001865
UNIPROT:P41159	Gene	ICD-11:2C25.Y	Disease	Leptin	Non-small-cell lung cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C25.Y	BM001930
UNIPROT:Q9HC35	Gene	ICD-11:2C25.Y	Disease	EML4/ALK	Non-small-cell lung cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C25.Y	BM003044
UNIPROT:Q9UM73	Gene	ICD-11:2C25.Y	Disease	EML4/ALK	Non-small-cell lung cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C25.Y	BM003044
UNIPROT:P01589	Gene	ICD-11:2C30	Disease	sIL-2R	Melanoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2C30	BM000019
UNIPROT:P14784	Gene	ICD-11:2C30	Disease	sIL-2R	Melanoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2C30	BM000019
UNIPROT:P31785	Gene	ICD-11:2C30	Disease	sIL-2R	Melanoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2C30	BM000019
UNIPROT:Q9NXR7	Gene	ICD-11:2C60-2C65	Disease	BRCA1/BRCA2	Breast cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C60-2C65	BM003037
UNIPROT:P51587	Gene	ICD-11:2C60-2C65	Disease	BRCA1/BRCA2	Breast cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C60-2C65	BM003037
UNIPROT:Q9NXR7	Gene	ICD-11:2C73	Disease	BRCA1/BRCA2	Ovarian cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C73	BM003038
UNIPROT:P51587	Gene	ICD-11:2C73	Disease	BRCA1/BRCA2	Ovarian cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C73	BM003038
UNIPROT:P02771	Gene	ICD-11:2C80.7	Disease	Alpha-fetoprotein	Advanced seminoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2C80.7	BM000197
UNIPROT:P02771	Gene	ICD-11:2C80	Disease	Alpha-fetoprotein	Non-seminoma testicular cancer	GNBR::Md::Gene:Disease	TTD	ICD-11:2C80	BM000193
UNIPROT:P05187	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000041
UNIPROT:P10696	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000041
UNIPROT:P09923	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000041
UNIPROT:P05186	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000041
UNIPROT:P05187	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000042
UNIPROT:P10696	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000042
UNIPROT:P09923	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000042
UNIPROT:P05186	Gene	ICD-11:2D50	Disease	Alkaline phosphatase (ALK)	Metastatic prostate carcinoma	GNBR::Md::Gene:Disease	TTD	ICD-11:2D50	BM000042
UNIPROT:P02792	Gene	ICD-11:3A00	Disease	Ferritin	Iron-deficiency anemia	GNBR::Md::Gene:Disease	TTD	ICD-11:3A00	BM001506
UNIPROT:P02794	Gene	ICD-11:3A00	Disease	Ferritin	Iron-deficiency anemia	GNBR::Md::Gene:Disease	TTD	ICD-11:3A00	BM001506
UNIPROT:Q8N4E7	Gene	ICD-11:3A00	Disease	Ferritin	Iron-deficiency anemia	GNBR::Md::Gene:Disease	TTD	ICD-11:3A00	BM001506
UNIPROT:P01563	Gene	ICD-11:4A40.0	Disease	IFNI	Systemic lupus erythematosus	GNBR::Md::Gene:Disease	TTD	ICD-11:4A40.0	BM001739
UNIPROT:P01562	Gene	ICD-11:4A40.0	Disease	IFNI	Systemic lupus erythematosus	GNBR::Md::Gene:Disease	TTD	ICD-11:4A40.0	BM001739
UNIPROT:P32881	Gene	ICD-11:4A40.0	Disease	IFNI	Systemic lupus erythematosus	GNBR::Md::Gene:Disease	TTD	ICD-11:4A40.0	BM001739
UNIPROT:P01571	Gene	ICD-11:4A40.0	Disease	IFNI	Systemic lupus erythematosus	GNBR::Md::Gene:Disease	TTD	ICD-11:4A40.0	BM001739
UNIPROT:P05014	Gene	ICD-11:4A40.0	Disease	IFNI	Systemic lupus erythematosus	GNBR::Md::Gene:Disease	TTD	ICD-11:4A40.0	BM001739
UNIPROT:P01568	Gene	ICD-11:4A40.0	Disease	IFNI	Systemic lupus erythematosus	GNBR::Md::Gene:Disease	TTD	ICD-11:4A40.0	BM001739
