ttd_target_id	source_id	source_name	source_type	target_type	relation_type	ttd_source_id	resource	target_id	target_name
T59328		ABT-414	Compound	Gene	DRUGBANK::target::Compound:Gene	D06XIT	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Depatuxizumab	Compound	Gene	DRUGBANK::target::Compound:Gene	D0A6CC	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Matuzumab	Compound	Gene	DRUGBANK::target::Compound:Gene	D0BZ7V	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		HER1-VSSP vaccine	Compound	Gene	DRUGBANK::target::Compound:Gene	D0C3LL	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		RM-1929	Compound	Gene	DRUGBANK::target::Compound:Gene	D0FN4T	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		CetuGEX	Compound	Gene	DRUGBANK::target::Compound:Gene	D0K9MC	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		ABX-EGF	Compound	Gene	DRUGBANK::target::Compound:Gene	D0P9RG	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		MEHD-7945A	Compound	Gene	DRUGBANK::target::Compound:Gene	D09BZJ	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		TT-100	Compound	Gene	DRUGBANK::target::Compound:Gene	D0T5JS	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		CART-EGFR	Compound	Gene	DRUGBANK::target::Compound:Gene	D04DHZ	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		SN-32793	Compound	Gene	DRUGBANK::target::Compound:Gene	D05ETC	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		EGFR CART	Compound	Gene	DRUGBANK::target::Compound:Gene	D0G1ZU	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		EMD 55900	Compound	Gene	DRUGBANK::target::Compound:Gene	D0S8BG	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		TAK-186	Compound	Gene	DRUGBANK::target::Compound:Gene	DC1GH7	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		ZN-e4	Compound	Gene	DRUGBANK::target::Compound:Gene	DF0PR6	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		EMB-01	Compound	Gene	DRUGBANK::target::Compound:Gene	DWQ6J1	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Sym015	Compound	Gene	DRUGBANK::target::Compound:Gene	D0B4OK	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AFM24	Compound	Gene	DRUGBANK::target::Compound:Gene	DK8QG3	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Sym013	Compound	Gene	DRUGBANK::target::Compound:Gene	D0FF2G	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		S-222611	Compound	Gene	DRUGBANK::target::Compound:Gene	D0V4XY	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		SYN004	Compound	Gene	DRUGBANK::target::Compound:Gene	D00KML	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		IMGN289	Compound	Gene	DRUGBANK::target::Compound:Gene	D04HSH	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AMG 595	Compound	Gene	DRUGBANK::target::Compound:Gene	D05LMC	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		HER-2/HER-1 vaccine	Compound	Gene	DRUGBANK::target::Compound:Gene	D0E7RC	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		EGFR806-specific CAR T cell	Compound	Gene	DRUGBANK::target::Compound:Gene	D0I7ZH	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		PF-05230907	Compound	Gene	DRUGBANK::target::Compound:Gene	D0JS0W	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		MR1-1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0N3PC	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Anti-EGFR CAR T	Compound	Gene	DRUGBANK::target::Compound:Gene	D0T0SE	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AP32788	Compound	Gene	DRUGBANK::target::Compound:Gene	D0X7BN	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		CLN-081	Compound	Gene	DRUGBANK::target::Compound:Gene	D68RMI	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		LY3164530	Compound	Gene	DRUGBANK::target::Compound:Gene	D01IJM	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		MM-151	Compound	Gene	DRUGBANK::target::Compound:Gene	D01NAP	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Cipatinib	Compound	Gene	DRUGBANK::target::Compound:Gene	D08JAN	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Anti-HER3/EGFR DAF	Compound	Gene	DRUGBANK::target::Compound:Gene	D0JW2O	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		BCA101	Compound	Gene	DRUGBANK::target::Compound:Gene	D0U7XJ	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		SI-B001	Compound	Gene	DRUGBANK::target::Compound:Gene	D6JM8Z	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		CX-904	Compound	Gene	DRUGBANK::target::Compound:Gene	D73FNL	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AZD9592	Compound	Gene	DRUGBANK::target::Compound:Gene	DN47VK	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		D2C7	Compound	Gene	DRUGBANK::target::Compound:Gene	DR4ND6	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		MCLA-158	Compound	Gene	DRUGBANK::target::Compound:Gene	DV8I4Q	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		JNJ-26483327	Compound	Gene	DRUGBANK::target::Compound:Gene	D0U3XL	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		RG7160	Compound	Gene	DRUGBANK::target::Compound:Gene	D0E2CQ	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		111In-hEGF	Compound	Gene	DRUGBANK::target::Compound:Gene	D0V2FZ	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		EGFR/IGFR tandem adnectin	Compound	Gene	DRUGBANK::target::Compound:Gene	D0TI4U	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Heparin-EGF-like factor	Compound	Gene	DRUGBANK::target::Compound:Gene	D02GFZ	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AZD-9935	Compound	Gene	DRUGBANK::target::Compound:Gene	D0Y1YX	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		HM-61713B	Compound	Gene	DRUGBANK::target::Compound:Gene	D01SQP	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AFM-21	Compound	Gene	DRUGBANK::target::Compound:Gene	D02FGG	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		PD182905	Compound	Gene	DRUGBANK::target::Compound:Gene	D02GCE	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		LA22-radioimmunoconjugates	Compound	Gene	DRUGBANK::target::Compound:Gene	D03MTY	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		ICR 62	Compound	Gene	DRUGBANK::target::Compound:Gene	D03ZIW	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Bmab-200	Compound	Gene	DRUGBANK::target::Compound:Gene	D04GCH	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		OSI-75	Compound	Gene	DRUGBANK::target::Compound:Gene	D06QEQ	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		MT-062	Compound	Gene	DRUGBANK::target::Compound:Gene	D08RXW	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Anti-EGFR mab	Compound	Gene	DRUGBANK::target::Compound:Gene	D09RXX	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		IPS-01003	Compound	Gene	DRUGBANK::target::Compound:Gene	D0AC7C	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AGT-2000	Compound	Gene	DRUGBANK::target::Compound:Gene	D0C5WE	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		ON-128	Compound	Gene	DRUGBANK::target::Compound:Gene	D0CY9O	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		FHT-2107	Compound	Gene	DRUGBANK::target::Compound:Gene	D0D0GS	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		GI-3000	Compound	Gene	DRUGBANK::target::Compound:Gene	D0D0YK	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		ARX-AHD	Compound	Gene	DRUGBANK::target::Compound:Gene	D0GB7F	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		TGF alpha	Compound	Gene	DRUGBANK::target::Compound:Gene	D0H3FX	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		EDP-13	Compound	Gene	DRUGBANK::target::Compound:Gene	D0K3FG	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		Anti-EGFR humanized mabs	Compound	Gene	DRUGBANK::target::Compound:Gene	D0R2RV	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		AL-6802	Compound	Gene	DRUGBANK::target::Compound:Gene	D0T7OS	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		mabionHER2	Compound	Gene	DRUGBANK::target::Compound:Gene	D0V0JV	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		MDP-01	Compound	Gene	DRUGBANK::target::Compound:Gene	D0WD8R	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		RX-1792	Compound	Gene	DRUGBANK::target::Compound:Gene	D0Y1LD	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		YH013	Compound	Gene	DRUGBANK::target::Compound:Gene	D0AM9O	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		PF 5208766	Compound	Gene	DRUGBANK::target::Compound:Gene	D0J2CP	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T59328		SYM-011	Compound	Gene	DRUGBANK::target::Compound:Gene	D0Q8GX	TTD	SYMBOL:EGFR	Epidermal growth factor receptor (EGFR)
T89515		Ustekinumab	Compound	Gene	DRUGBANK::target::Compound:Gene	D0A2UV	TTD	SYMBOL:PDF	Polypeptide deformylase (PDF)
T89515		NB3178	Compound	Gene	DRUGBANK::target::Compound:Gene	D04MOZ	TTD	SYMBOL:PDF	Polypeptide deformylase (PDF)
T89515		NB3322	Compound	Gene	DRUGBANK::target::Compound:Gene	D0H4NN	TTD	SYMBOL:PDF	Polypeptide deformylase (PDF)
T08391		CTP-543	Compound	Gene	DRUGBANK::target::Compound:Gene	D01UAU	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		A223	Compound	Gene	DRUGBANK::target::Compound:Gene	DH0A6O	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		TD-8236	Compound	Gene	DRUGBANK::target::Compound:Gene	D2KTG5	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		ALXN2075	Compound	Gene	DRUGBANK::target::Compound:Gene	D2JZ3U	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Peginterferon beta	Compound	Gene	DRUGBANK::target::Compound:Gene	D0S0NX	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		KN-002	Compound	Gene	DRUGBANK::target::Compound:Gene	DI19BZ	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PF-07295324	Compound	Gene	DRUGBANK::target::Compound:Gene	DXVA93	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774824-Compound-Figure8Example99	Compound	Gene	DRUGBANK::target::Compound:Gene	D0HS2J	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774824-Compound-Figure8Example22	Compound	Gene	DRUGBANK::target::Compound:Gene	D0KF8H	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Triazolo-pyridine derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D00JUI	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrazolopyridine derivative 6	Compound	Gene	DRUGBANK::target::Compound:Gene	D02VGC	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrolo-pyridone derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D03PBI	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Tricyclic heterocycle derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D03TEE	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure7Example63	Compound	Gene	DRUGBANK::target::Compound:Gene	D04OCD	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Cyclic cyanoethypypazole derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D05GEL	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrolo-pyridone derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D06MQB	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Aromatic bicyclic compound 6	Compound	Gene	DRUGBANK::target::Compound:Gene	D09RTW	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure10Compound12	Compound	Gene	DRUGBANK::target::Compound:Gene	D0A8BV	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure10Compound4	Compound	Gene	DRUGBANK::target::Compound:Gene	D0AE0M	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure8Example5	Compound	Gene	DRUGBANK::target::Compound:Gene	D0B9TH	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrimidopyridazinone derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0CD6Y	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrazolopyridine derivative 7	Compound	Gene	DRUGBANK::target::Compound:Gene	D0D1QH	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure2Example1-1left	Compound	Gene	DRUGBANK::target::Compound:Gene	D0E2WK	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774824-Compound-Figure6Example6	Compound	Gene	DRUGBANK::target::Compound:Gene	D0F3BK	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Geminally-substituted cyanoethylpypazolo pyridone derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0H6XN	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure2Example1-1right	Compound	Gene	DRUGBANK::target::Compound:Gene	D0IQ6G	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Alkynyl-substituted pyrimidinyl-pyrrole derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0JZ2B	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Cyanomethyl pypazole carboxamide derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0K2RW	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Geminally-substituted cyanoethylpypazolo pyridone derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D0KI5F	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Bis-aminopyrimidine derivative 5	Compound	Gene	DRUGBANK::target::Compound:Gene	D0M2OK	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Aromatic bicyclic compound 3	Compound	Gene	DRUGBANK::target::Compound:Gene	D0M5AG	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Aromatic bicyclic compound 4	Compound	Gene	DRUGBANK::target::Compound:Gene	D0M9YZ	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		1,2,4-triazolo[1,5a]pyridine derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D0NP2W	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure3CompoundI-165	Compound	Gene	DRUGBANK::target::Compound:Gene	D0NY6M	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Cycloalkyl nitrile pyrazolo pyridone derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0PB5X	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774824-Compound-Figure7Example10	Compound	Gene	DRUGBANK::target::Compound:Gene	D0PM8K	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Aromatic bicyclic compound 5	Compound	Gene	DRUGBANK::target::Compound:Gene	D0Q5JV	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Cycloalkyl nitrile pyrazolo pyridone derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D0S4TH	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Cycloalkyl nitrile pyrazole carboxamide derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0V0KI	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrolo[2,3-d]pyrimidine derivative 11	Compound	Gene	DRUGBANK::target::Compound:Gene	D0VQ7P	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure10Example19	Compound	Gene	DRUGBANK::target::Compound:Gene	D0W8DN	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Ruxolitinib derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D01EYJ	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		1,2,4-triazolo[1,5a]pyridine derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D07XYI	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Five-and-six-membered heterocyclic compound 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D08WPB	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrazolopyridine derivative 4	Compound	Gene	DRUGBANK::target::Compound:Gene	D09RUN	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrole six-membered heteroaryl ring derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D09UBE	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774824-Compound-Figure2Example4	Compound	Gene	DRUGBANK::target::Compound:Gene	D0A6RG	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Tricyclic compound 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0G0FK	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Isoxazole derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0G9MM	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure10Example1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0GH8D	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure1Example20	Compound	Gene	DRUGBANK::target::Compound:Gene	D0M3CB	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Isoxazole derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D0TX2G	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrolo-pyridine derivative 3	Compound	Gene	DRUGBANK::target::Compound:Gene	D0VR6E	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		N-(cyanomethyl)-4-(2-(phenylamino)pyrimidin-4-yl)benzamide derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D0Y2IM	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrole derivative 7	Compound	Gene	DRUGBANK::target::Compound:Gene	D0YJ4D	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Benzimidazole derivative 7	Compound	Gene	DRUGBANK::target::Compound:Gene	D01CRX	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Bis-aminopyrimidine derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D01FVC	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrazolopyridine derivative 3	Compound	Gene	DRUGBANK::target::Compound:Gene	D03QAY	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Tricyclic pyrrolopyridine compound 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D04BOW	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Aminooxazole carboxamide derivative 1	Compound	Gene	DRUGBANK::target::Compound:Gene	D05AXE	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrolo[2,3-d]pyrimidine derivative 6	Compound	Gene	DRUGBANK::target::Compound:Gene	D0FQ4Z	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774824-Compound-Figure6Example12	Compound	Gene	DRUGBANK::target::Compound:Gene	D0GB7G	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrolo[2,3-d]pyrimidine derivative 8	Compound	Gene	DRUGBANK::target::Compound:Gene	D0KL3B	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Bis-aminopyrimidine derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D0LR6J	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Tricyclic compound 11	Compound	Gene	DRUGBANK::target::Compound:Gene	D0LS1O	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Tricyclic heterocycle derivative 5	Compound	Gene	DRUGBANK::target::Compound:Gene	D0M2WA	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774822-Compound-Figure11Example5	Compound	Gene	DRUGBANK::target::Compound:Gene	D0RJ3W	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Bis-aminopyrimidine derivative 3	Compound	Gene	DRUGBANK::target::Compound:Gene	D0S6XT	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Bis-aminopyrimidine derivative 4	Compound	Gene	DRUGBANK::target::Compound:Gene	D0SJ1Q	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		PMID27774824-Compound-Figure3Example18	Compound	Gene	DRUGBANK::target::Compound:Gene	D0U1HA	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrrolo[2,3-d]pyrimidine derivative 7	Compound	Gene	DRUGBANK::target::Compound:Gene	D0U5FZ	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
T08391		Pyrimidopyridazinone derivative 2	Compound	Gene	DRUGBANK::target::Compound:Gene	D0WA1V	TTD	SYMBOL:JAK2	Janus kinase 2 (JAK-2)
