Fibrosis,UniprotID,entrezID,FullName,Alias,DrugID,DrugName,Action,Link
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB14520,Tetraferric tricitrate decahydrate,binder,https://go.drugbank.com/drugs/DB14520#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB00451,Levothyroxine,not defined,https://go.drugbank.com/drugs/DB00451#BE0001155
ITGB3,P05106,3690,integrin subunit beta 3,GT; GT2; CD61; GP3A; BDPLT2; GPIIIa; BDPLT16; BDPLT24,DB15598,Ferric maltol,substrate,https://go.drugbank.com/drugs/DB15598#BE0001155
EDN1,P05305,1906,endothelin 1,ET1; QME; PPET1; ARCND3; HDLCQ7,DB05407,TBC-3711,not defined,https://go.drugbank.com/drugs/DB05407#BE0003384
MMP1,P03956,4312,matrix metallopeptidase 1,CLG; CLGN,DB00786,Marimastat,inhibitor,https://go.drugbank.com/drugs/DB00786#BE0000920
MMP1,P03956,4312,matrix metallopeptidase 1,CLG; CLGN,DB07556,CGS-27023,not defined,https://go.drugbank.com/drugs/DB07556#BE0000920
MMP1,P03956,4312,matrix metallopeptidase 1,CLG; CLGN,DB07926,N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE,not defined,https://go.drugbank.com/drugs/DB07926#BE0000920
MMP1,P03956,4312,matrix metallopeptidase 1,CLG; CLGN,DB08403,METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID,not defined,https://go.drugbank.com/drugs/DB08403#BE0000920
MMP1,P03956,4312,matrix metallopeptidase 1,CLG; CLGN,DB08482,[[1-[N-HYDROXY-ACETAMIDYL]-3-METHYL-BUTYL]-CARBONYL-LEUCINYL]-ALANINE ETHYL ESTER,not defined,https://go.drugbank.com/drugs/DB08482#BE0000920
MMP1,P03956,4312,matrix metallopeptidase 1,CLG; CLGN,DB08491,N-HYDROXY-2-[4-(4-PHENOXY-BENZENESULFONYL)-TETRAHYDRO-PYRAN-4-YL]-ACETAMIDE,not defined,https://go.drugbank.com/drugs/DB08491#BE0000920
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB00157,NADH,not defined,https://go.drugbank.com/drugs/DB00157#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB01942,Formic acid,not defined,https://go.drugbank.com/drugs/DB01942#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB02073,Biliverdine IX Alpha,not defined,https://go.drugbank.com/drugs/DB02073#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB02468,12-Phenylheme,not defined,https://go.drugbank.com/drugs/DB02468#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB03906,2-Phenylheme,not defined,https://go.drugbank.com/drugs/DB03906#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB04912,Stannsoporfin,not defined,https://go.drugbank.com/drugs/DB04912#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB04803,Verdoheme,not defined,https://go.drugbank.com/drugs/DB04803#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB06914,"1-({2-[2-(4-CHLOROPHENYL)ETHYL]-1,3-DIOXOLAN-2-YL}METHYL)-1H-IMIDAZOLE",not defined,https://go.drugbank.com/drugs/DB06914#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB07342,1-(adamantan-1-yl)-2-(1H-imidazol-1-yl)ethanone,not defined,https://go.drugbank.com/drugs/DB07342#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB00163,Vitamin E,inducer,https://go.drugbank.com/drugs/DB00163#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB09221,Polaprezinc,inducer,https://go.drugbank.com/drugs/DB09221#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB14001,alpha-Tocopherol succinate,inducer,https://go.drugbank.com/drugs/DB14001#BE0000735
HMOX1,P09601,3162,heme oxygenase 1,HO-1; HSP32; HMOX1D; bK286B10,DB14002,D-alpha-Tocopherol acetate,inducer,https://go.drugbank.com/drugs/DB14002#BE0000735
ENG,P17813,2022,endoglin,END; HHT1; ORW1,DB06322,Carotuximab,not defined,https://go.drugbank.com/drugs/DB06322#BE0003494
PDGFB,P01127,5155,platelet derived growth factor subunit B,SIS; SSV; IBGC5; PDGF2; c-sis; PDGF-2,DB06325,Pegpleranib,not defined,https://go.drugbank.com/drugs/DB06325#BE0003495
SIRT2,Q8IXJ6,22933,sirtuin 2,SIR2; SIR2L; SIR2L2,DB15493,Cambinol,inhibitor,https://go.drugbank.com/drugs/DB15493#BE0009759
CXCL8,P10145,3576,C-X-C motif chemokine ligand 8,IL8; NAF; GCP1; LECT; LUCT; NAP1; GCP-1; LYNAP; MDNCF; MONAP; NAP-1; SCYB8,DB05434,ABT-510,not defined,https://go.drugbank.com/drugs/DB05434#BE0000961
CXCL8,P10145,3576,C-X-C motif chemokine ligand 8,IL8; NAF; GCP1; LECT; LUCT; NAP1; GCP-1; LYNAP; MDNCF; MONAP; NAP-1; SCYB8,DB05484,MDX-018,not defined,https://go.drugbank.com/drugs/DB05484#BE0000961
CXCL8,P10145,3576,C-X-C motif chemokine ligand 8,IL8; NAF; GCP1; LECT; LUCT; NAP1; GCP-1; LYNAP; MDNCF; MONAP; NAP-1; SCYB8,DB05855,Rivanicline,antagonist,https://go.drugbank.com/drugs/DB05855#BE0000961
CXCL8,P10145,3576,C-X-C motif chemokine ligand 8,IL8; NAF; GCP1; LECT; LUCT; NAP1; GCP-1; LYNAP; MDNCF; MONAP; NAP-1; SCYB8,DB06083,Tapinarof,not defined,https://go.drugbank.com/drugs/DB06083#BE0000961
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB00686,Pentosan polysulfate,antagonist,https://go.drugbank.com/drugs/DB00686#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB01901,Sucrosofate,not defined,https://go.drugbank.com/drugs/DB01901#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB01942,Formic acid,not defined,https://go.drugbank.com/drugs/DB01942#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB02264,O2-Sulfo-Glucuronic Acid,not defined,https://go.drugbank.com/drugs/DB02264#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB03959,"N,O6-Disulfo-Glucosamine",not defined,https://go.drugbank.com/drugs/DB03959#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB04409,Naphthalene Trisulfonate,not defined,https://go.drugbank.com/drugs/DB04409#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB08238,5-aminonaphthalene-2-sulfonic acid,not defined,https://go.drugbank.com/drugs/DB08238#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB01025,Amlexanox,inhibitor,https://go.drugbank.com/drugs/DB01025#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB06589,Pazopanib,inhibitor,https://go.drugbank.com/drugs/DB06589#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB01109,Heparin,not defined,https://go.drugbank.com/drugs/DB01109#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB10770,Foreskin fibroblast (neonatal),agonist,https://go.drugbank.com/drugs/DB10770#BE0000689
FGF1,P05230,2246,fibroblast growth factor 1,AFGF; ECGF; FGFA; ECGFA; ECGFB; FGF-1; HBGF1; HBGF-1; GLIO703; ECGF-beta; FGF-alpha,DB10772,Foreskin keratinocyte (neonatal),agonist,https://go.drugbank.com/drugs/DB10772#BE0000689
TGFBR2,P37173,7048,transforming growth factor beta receptor 2,AAT3; FAA3; LDS2; MFS2; RIIC; LDS1B; LDS2B; TAAD2; TBRII; TBR-ii; TGFR-2; TGFbeta-RII,DB10770,Foreskin fibroblast (neonatal),agonist,https://go.drugbank.com/drugs/DB10770#BE0001861
TGFBR2,P37173,7048,transforming growth factor beta receptor 2,AAT3; FAA3; LDS2; MFS2; RIIC; LDS1B; LDS2B; TAAD2; TBRII; TBR-ii; TGFR-2; TGFbeta-RII,DB10772,Foreskin keratinocyte (neonatal),agonist,https://go.drugbank.com/drugs/DB10772#BE0001861
TGFBR2,P37173,7048,transforming growth factor beta receptor 2,AAT3; FAA3; LDS2; MFS2; RIIC; LDS1B; LDS2B; TAAD2; TBRII; TBR-ii; TGFR-2; TGFbeta-RII,DB12010,Fostamatinib,inhibitor,https://go.drugbank.com/drugs/DB12010#BE0001861
IL10,P22301,3586,interleukin 10,CSIF; TGIF; GVHDS; IL-10; IL10A,DB05744,CRx-139,not defined,https://go.drugbank.com/drugs/DB05744#BE0002484
IL10,P22301,3586,interleukin 10,CSIF; TGIF; GVHDS; IL-10; IL10A,DB05771,LLL-3348,not defined,https://go.drugbank.com/drugs/DB05771#BE0002484
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB00102,Becaplermin,not defined,https://go.drugbank.com/drugs/DB00102#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB00619,Imatinib,antagonist,https://go.drugbank.com/drugs/DB00619#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB00398,Sorafenib,antagonist,https://go.drugbank.com/drugs/DB00398#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB01254,Dasatinib,antagonist,https://go.drugbank.com/drugs/DB01254#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB01268,Sunitinib,inhibitor,https://go.drugbank.com/drugs/DB01268#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB05014,XL999,not defined,https://go.drugbank.com/drugs/DB05014#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB05146,XL820,not defined,https://go.drugbank.com/drugs/DB05146#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB06589,Pazopanib,inhibitor,https://go.drugbank.com/drugs/DB06589#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB06595,Midostaurin,"antagonist,inhibitor",https://go.drugbank.com/drugs/DB06595#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB08896,Regorafenib,inhibitor,https://go.drugbank.com/drugs/DB08896#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB09079,Nintedanib,inhibitor,https://go.drugbank.com/drugs/DB09079#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB09283,Trapidil,antagonist,https://go.drugbank.com/drugs/DB09283#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB09221,Polaprezinc,agonist,https://go.drugbank.com/drugs/DB09221#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB10770,Foreskin fibroblast (neonatal),agonist,https://go.drugbank.com/drugs/DB10770#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB12010,Fostamatinib,inhibitor,https://go.drugbank.com/drugs/DB12010#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB12147,Erdafitinib,substrate,https://go.drugbank.com/drugs/DB12147#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB12978,Pexidartinib,inhibitor,https://go.drugbank.com/drugs/DB12978#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB14840,Ripretinib,inhibitor,https://go.drugbank.com/drugs/DB14840#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB15822,Pralsetinib,inhibitor,https://go.drugbank.com/drugs/DB15822#BE0000205
PDGFRB,P09619,5159,platelet derived growth factor receptor beta,IMF1; KOGS; IBGC4; JTK12; PDGFR; PENTT; CD140B; PDGFR1; PDGFR-1,DB11800,Tivozanib,inhibitor,https://go.drugbank.com/drugs/DB11800#BE0000205
CYBB,P04839,1536,cytochrome b-245 beta chain,CGD; CGDX; NOX2; IMD34; AMCBX2; GP91-1; GP91PHOX; p91-PHOX; GP91-PHOX,DB00514,Dextromethorphan,inhibitor,https://go.drugbank.com/drugs/DB00514#BE0004904
VIM,P08670,7431,vimentin, ,DB12695,Phenethyl Isothiocyanate,not defined,https://go.drugbank.com/drugs/DB12695#BE0004469
VIM,P08670,7431,vimentin, ,DB11638,Artenimol,ligand,https://go.drugbank.com/drugs/DB11638#BE0004469
COL1A1,P02452,1277,collagen type I alpha 1 chain,OI1; OI2; OI3; OI4; EDSC; CAFYD; EDSARTH1,DB00048,Collagenase clostridium histolyticum,binder,https://go.drugbank.com/drugs/DB00048#BE0000025
COL1A1,P02452,1277,collagen type I alpha 1 chain,OI1; OI2; OI3; OI4; EDSC; CAFYD; EDSARTH1,DB04866,Halofuginone,not defined,https://go.drugbank.com/drugs/DB04866#BE0000025
COL1A1,P02452,1277,collagen type I alpha 1 chain,OI1; OI2; OI3; OI4; EDSC; CAFYD; EDSARTH1,DB12872,Vonicog alfa,binder,https://go.drugbank.com/drugs/DB12872#BE0000025
COL1A1,P02452,1277,collagen type I alpha 1 chain,OI1; OI2; OI3; OI4; EDSC; CAFYD; EDSARTH1,DB13133,Von Willebrand factor human,binder,https://go.drugbank.com/drugs/DB13133#BE0000025
COL1A1,P02452,1277,collagen type I alpha 1 chain,OI1; OI2; OI3; OI4; EDSC; CAFYD; EDSARTH1,DB11338,Clove oil,not defined,https://go.drugbank.com/drugs/DB11338#BE0000025
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB00005,Etanercept,antibody,https://go.drugbank.com/drugs/DB00005#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB00051,Adalimumab,antibody,https://go.drugbank.com/drugs/DB00051#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB00065,Infliximab,inhibitor,https://go.drugbank.com/drugs/DB00065#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB01041,Thalidomide,inhibitor,https://go.drugbank.com/drugs/DB01041#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB00608,Chloroquine,inhibitor,https://go.drugbank.com/drugs/DB00608#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB01407,Clenbuterol,other/unknown,https://go.drugbank.com/drugs/DB01407#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB01411,Pranlukast,other/unknown,https://go.drugbank.com/drugs/DB01411#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB01427,Amrinone,inhibitor,https://go.drugbank.com/drugs/DB01427#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05207,SD118,not defined,https://go.drugbank.com/drugs/DB05207#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05218,PN0621,not defined,https://go.drugbank.com/drugs/DB05218#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05017,YSIL6,not defined,https://go.drugbank.com/drugs/DB05017#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05303,OMS-103HP,not defined,https://go.drugbank.com/drugs/DB05303#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB04956,Afelimomab,not defined,https://go.drugbank.com/drugs/DB04956#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05412,Talmapimod,not defined,https://go.drugbank.com/drugs/DB05412#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05470,VX-702,not defined,https://go.drugbank.com/drugs/DB05470#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05744,CRx-139,not defined,https://go.drugbank.com/drugs/DB05744#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05767,Andrographolide,not defined,https://go.drugbank.com/drugs/DB05767#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05758,CYT007-TNFQb,not defined,https://go.drugbank.com/drugs/DB05758#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05869,Ethyl pyruvate,not defined,https://go.drugbank.com/drugs/DB05869#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05879,AME-527,not defined,https://go.drugbank.com/drugs/DB05879#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05968,PR-104,not defined,https://go.drugbank.com/drugs/DB05968#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB11967,Binimetinib,not defined,https://go.drugbank.com/drugs/DB11967#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05513,Atiprimod,not defined,https://go.drugbank.com/drugs/DB05513#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB05992,Plinabulin,not defined,https://go.drugbank.com/drugs/DB05992#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB06495,Onercept,not defined,https://go.drugbank.com/drugs/DB06495#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB06444,Dexanabinol,not defined,https://go.drugbank.com/drugs/DB06444#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB08904,Certolizumab pegol,neutralizer,https://go.drugbank.com/drugs/DB08904#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB08910,Pomalidomide,inhibitor,https://go.drugbank.com/drugs/DB08910#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB06674,Golimumab,antibody,https://go.drugbank.com/drugs/DB06674#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB00668,Epinephrine,"antagonist,agonist",https://go.drugbank.com/drugs/DB00668#BE0000704
TNF,P01375,7124,tumor necrosis factor,DIF; TNFA; TNFSF2; TNLG1F; TNF-alpha,DB00852,Pseudoephedrine,inhibitor,https://go.drugbank.com/drugs/DB00852#BE0000704
