id,name,resource
MedDRA:10001130,Addison's disease,MedDRA
MedDRA:10001137,Adenitis,MedDRA
MedDRA:10001141,Adenocarcinoma,MedDRA
MedDRA:10072991,Adenofibroma,MedDRA
MedDRA:10001230,Adenoidectomy,MedDRA
MedDRA:10051223,Adenoiditis,MedDRA
MedDRA:10070460,Adenolymphoma,MedDRA
MedDRA:10001231,Adenoma,MedDRA
MedDRA:10001263,Adenovirus infection in conditions classified elsewhere and of unspecified site,MedDRA
MedDRA:10060931,Adenovirus infection,MedDRA
MedDRA:10060932,Postoperative adhesion,MedDRA
MedDRA:10059837,Adhesion,MedDRA
MedDRA:10020353,Holmes-Adie syndrome,MedDRA
MedDRA:10001294,Adiposis dolorosa,MedDRA
MedDRA:10001297,Adjustment disorder with depressed mood,MedDRA
MedDRA:10001298,Adjustment disorder with disturbance of conduct,MedDRA
MedDRA:10001300,Adjustment disorder with mixed disturbance of emotion and conduct,MedDRA
MedDRA:10001301,Adjustment disorders,MedDRA
MedDRA:10001305,Adjustment reaction with brief depressive reaction,MedDRA
MedDRA:10001317,Adnexitis,MedDRA
MedDRA:10001318,Adolescence,MedDRA
MedDRA:10001322,Adoption,MedDRA
MedDRA:10045767,Unspecified disorder of adrenal glands,MedDRA
MedDRA:10020564,Hyperadrenocorticism,MedDRA
MedDRA:10022460,Insufficiency adrenal,MedDRA
MedDRA:10028981,Neoplasm adrenal,MedDRA
MedDRA:10010323,Congenital adrenal hyperplasia,MedDRA
MedDRA:10061622,Adrenalectomy,MedDRA
MedDRA:10001405,Adult maltreatment syndrome,MedDRA
MedDRA:10001431,Aerophagy,MedDRA
MedDRA:10001448,Affective psychoses,MedDRA
MedDRA:10056245,Afferent loop syndrome,MedDRA
MedDRA:10001453,Afibrinogenemia,MedDRA
MedDRA:10001463,After images,MedDRA
MedDRA:10001471,Agammaglobulinemia,MedDRA
MedDRA:10062375,Aggressive behavior,MedDRA
MedDRA:10048663,Agnosia,MedDRA
MedDRA:10001502,Agoraphobia,MedDRA
MedDRA:10001505,Agoraphobia without mention of panic attacks,MedDRA
MedDRA:10001507,Agranulocytosis,MedDRA
MedDRA:10001508,Agraphia,MedDRA
MedDRA:10065040,AIDS dementia complex,MedDRA
MedDRA:10001513,AIDS related complex,MedDRA
MedDRA:10001524,Ainhum,MedDRA
MedDRA:10001532,Air sickness,MedDRA
MedDRA:10001536,Airway obstruction NOS,MedDRA
MedDRA:10001542,Akinetic mutism,MedDRA
MedDRA:10001555,Alastrim,MedDRA
MedDRA:10001557,Albinism,MedDRA
MedDRA:10001580,Albuminuria,MedDRA
MedDRA:10001593,Alcohol amnestic syndrome,MedDRA
MedDRA:10048921,Alcohol use,MedDRA
MedDRA:10021249,Idiosyncratic alcohol intoxication,MedDRA
MedDRA:10001610,Alcohol withdrawal delirium,MedDRA
MedDRA:10001599,Alcohol intoxication,MedDRA
MedDRA:10001639,Alcoholism,MedDRA
MedDRA:10001663,Alexia,MedDRA
MedDRA:10001664,Alexia and dyslexia,MedDRA
MedDRA:10001680,Alkalosis,MedDRA
MedDRA:10038664,Respiratory alkalosis,MedDRA
MedDRA:10001689,Alkaptonuria,MedDRA
MedDRA:10003644,Atopic rhinitis,MedDRA
MedDRA:10001725,Allergic rhinitis due to other allergen,MedDRA
MedDRA:10001760,Alopecia,MedDRA
MedDRA:10001761,Alopecia areata,MedDRA
MedDRA:10056506,Follicular mucinosis,MedDRA
MedDRA:10001765,Alopecia syphilitic,MedDRA
MedDRA:10069923,Traction alopecia,MedDRA
MedDRA:10001802,Alpha thalassemia,MedDRA
MedDRA:10015887,Extrinsic allergic alveolitis,MedDRA
MedDRA:10057973,Alveoloplasty,MedDRA
MedDRA:10001896,Alzheimer's disease,MedDRA
MedDRA:10001906,Amblyopia,MedDRA
MedDRA:10001914,Amblyopia tobacco,MedDRA
MedDRA:10001916,Amebiasis,MedDRA
MedDRA:10001926,Amelia,MedDRA
MedDRA:10066796,Ameloblastoma,MedDRA
MedDRA:10001927,Amenorrhea,MedDRA
MedDRA:10021602,Inborn errors of amino acid metabolism,MedDRA
MedDRA:10001949,Amnesia,MedDRA
MedDRA:10036308,Post-traumatic amnesia,MedDRA
MedDRA:10038965,Retrograde amnesia,MedDRA
MedDRA:10061423,Amnestic disorder,MedDRA
MedDRA:10001958,Amniocentesis,MedDRA
MedDRA:10021844,Infection of amniotic cavity,MedDRA
MedDRA:10001964,Amnioscopy,MedDRA
MedDRA:10064100,Amniotic band syndrome,MedDRA
MedDRA:10061627,Amputation,MedDRA
MedDRA:10071564,Limb amputation,MedDRA
MedDRA:10000243,Above knee amputation,MedDRA
MedDRA:10004227,Below knee amputation,MedDRA
MedDRA:10061385,Traumatic amputation,MedDRA
MedDRA:10002022,Amyloidosis,MedDRA
MedDRA:10002026,Amyotrophic lateral sclerosis,MedDRA
MedDRA:10002116,Anal and rectal polyp,MedDRA
MedDRA:10002166,Anal or rectal pain,MedDRA
MedDRA:10056350,Pain management,MedDRA
MedDRA:10054891,Epidural analgesia,MedDRA
MedDRA:10002218,Anaphylaxis,MedDRA
MedDRA:10002255,Ancylostomiasis,MedDRA
MedDRA:10002272,Anemia,MedDRA
MedDRA:10054310,Anemia of chronic disease,MedDRA
MedDRA:10002274,Anemia aplastic,MedDRA
MedDRA:10055203,Cooley's anemia,MedDRA
MedDRA:10019493,Hemolytic anemia,MedDRA
MedDRA:10055191,Acquired hemolytic anemia,MedDRA
MedDRA:10003825,Autoimmune hemolytic anemia,MedDRA
MedDRA:10055202,Congenital hemolytic anemia,MedDRA
MedDRA:10020971,Hypochromic anemia,MedDRA
MedDRA:10025381,Macrocytic anemia,MedDRA
MedDRA:10027129,Megaloblastic anemia,MedDRA
MedDRA:10002296,Anemia leukoerythroblastic,MedDRA
MedDRA:10002300,Anemia neonatal,MedDRA
MedDRA:10034697,Pernicious anemia,MedDRA
MedDRA:10038273,Refractory anemia,MedDRA
MedDRA:10037803,RAEB,MedDRA
MedDRA:10040653,Sickle-cell anemia,MedDRA
MedDRA:10040663,Sideroblastic anemia,MedDRA
MedDRA:10054314,Anemia splenic,MedDRA
MedDRA:10002085,Anaemias due to disorders of glutathione metabolism,MedDRA
MedDRA:10002320,Anencephaly,MedDRA
MedDRA:10067564,Anaesthesia procedure,MedDRA
MedDRA:10054375,Epidural anesthesia,MedDRA
MedDRA:10002323,Anesthesia general,MedDRA
MedDRA:10024758,Local anesthesia,MedDRA
MedDRA:10041538,Spinal anesthesia,MedDRA
MedDRA:10002329,Aneurysm,MedDRA
MedDRA:10002353,Aneurysm of other specified artery,MedDRA
MedDRA:10061660,Artery dissection,MedDRA
MedDRA:10058017,Infective aneurysm,MedDRA
MedDRA:10002368,Anger,MedDRA
MedDRA:10002383,Angina pectoris,MedDRA
MedDRA:10036759,Prinzmetal angina,MedDRA
MedDRA:10046251,Unstable angina,MedDRA
MedDRA:10061637,Angiogram,MedDRA
MedDRA:10065324,Digital subtraction angiography,MedDRA
MedDRA:10066191,Angioid streaks,MedDRA
MedDRA:10002448,Angioid streaks of choroid,MedDRA
MedDRA:10061639,Angiokeratoma,MedDRA
MedDRA:10016016,Fabry's disease,MedDRA
MedDRA:10012494,Dermatofibroma,MedDRA
MedDRA:10002424,Angioedema,MedDRA
MedDRA:10002512,Anhidrosis,MedDRA
MedDRA:10002515,Animal bite,MedDRA
MedDRA:10002532,Aniridia,MedDRA
MedDRA:10002534,Aniseikonia,MedDRA
MedDRA:10002535,Anisocoria,MedDRA
MedDRA:10002537,Anisometropia,MedDRA
MedDRA:10002557,Ankylosing spondylitis and other inflammatory spondylopathies,MedDRA
MedDRA:10002559,Ankylosis,MedDRA
MedDRA:10074066,Anniversary reaction,MedDRA
MedDRA:10002605,Anomalies of relationship of jaw to cranial base,MedDRA
MedDRA:10002638,Anomia,MedDRA
MedDRA:10002640,Anophthalmos,MedDRA
MedDRA:10002646,Anorexia,MedDRA
MedDRA:10002649,Anorexia nervosa,MedDRA
MedDRA:10002653,Anosmia,MedDRA
MedDRA:10002658,Anovulation,MedDRA
MedDRA:10002660,Anoxia,MedDRA
MedDRA:10050750,Anoxic encephalopathy,MedDRA
MedDRA:10050363,Anthracosilicosis,MedDRA
MedDRA:10073051,Anthracosis,MedDRA
MedDRA:10002713,Anthrax,MedDRA
MedDRA:10011660,Cutaneous anthrax,MedDRA
MedDRA:10002822,Antisocial personality disorder,MedDRA
MedDRA:10002847,Anuria,MedDRA
MedDRA:10002852,Anus disorder,MedDRA
MedDRA:10002164,Anal neoplasm NOS,MedDRA
MedDRA:10021528,Imperforate anus,MedDRA
MedDRA:10002855,Anxiety,MedDRA
MedDRA:10057666,Anxiety disorder,MedDRA
MedDRA:10040045,Separation anxiety disorder,MedDRA
MedDRA:10002330,Aneurysm aortic,MedDRA
MedDRA:10002890,Aortic arch syndrome,MedDRA
MedDRA:10002894,Aortic coarctation,MedDRA
MedDRA:10058648,Aortic disorder,MedDRA
MedDRA:10060874,Aortic rupture,MedDRA
MedDRA:10042598,Supravalvular aortic stenosis,MedDRA
MedDRA:10042431,Subvalvular aortic stenosis,MedDRA
MedDRA:10052839,Aortic valve insufficiency,MedDRA
MedDRA:10057454,Aortic valve prolapse,MedDRA
MedDRA:10002916,Aortic valve replacement,MedDRA
MedDRA:10041974,Stenosis aortic valve,MedDRA
MedDRA:10002921,Aortitis,MedDRA
MedDRA:10058930,Aortitis syndrome,MedDRA
MedDRA:10042900,Syphilitic aortitis,MedDRA
MedDRA:10057775,Aortogram,MedDRA
MedDRA:10063733,Aorticopulmonary window,MedDRA
MedDRA:10062552,Apgar score,MedDRA
MedDRA:10002945,Aphakia,MedDRA
MedDRA:10002948,Aphasia,MedDRA
MedDRA:10006378,Broca's aphasia,MedDRA
MedDRA:10002953,Aphonia,MedDRA
MedDRA:10062322,Apicoectomy,MedDRA
MedDRA:10002972,Apnea,MedDRA
MedDRA:10003008,Appendectomy,MedDRA
MedDRA:10056288,Neoplasm of appendix,MedDRA
MedDRA:10003011,Appendicitis,MedDRA
MedDRA:10003022,Appetite disorders,MedDRA
MedDRA:10003062,Apraxia,MedDRA
MedDRA:10003069,APUDoma,MedDRA
MedDRA:10063847,Arachnodactyly,MedDRA
MedDRA:10003074,Arachnoiditis,MedDRA
MedDRA:10003407,Arthropod-borne hemorrhagic fever,MedDRA
MedDRA:10003409,"Arthropod-borne viral disease, unspecified",MedDRA
MedDRA:10003082,Arcus senilis,MedDRA
MedDRA:10003094,Argyria,MedDRA
MedDRA:10003101,Arnold-Chiari malformation,MedDRA
MedDRA:10073270,Ovarian Sertoli-Leydig cell tumour,MedDRA
MedDRA:10007518,Cardiac arrhythmia,MedDRA
MedDRA:10050488,Arrhythmia sinus,MedDRA
MedDRA:10062542,Arterial insufficiency,MedDRA
MedDRA:10062599,Arterial occlusive disease,MedDRA
MedDRA:10003210,Arteriosclerosis,MedDRA
MedDRA:10065418,Arteriosclerosis obliterans,MedDRA
MedDRA:10003226,Arteriovenous fistula,MedDRA
MedDRA:10003229,Arteriovenous malformations,MedDRA
MedDRA:10003230,Arteritis,MedDRA
MedDRA:10003239,Arthralgia,MedDRA
MedDRA:10003246,Arthritis,MedDRA
MedDRA:10018634,Gouty arthritis,MedDRA
MedDRA:10021904,Infectious arthritis,MedDRA
MedDRA:10037160,Psoriatic arthritis,MedDRA
MedDRA:10003268,Arthritis rheumatoid,MedDRA
MedDRA:10047436,Viral arthritis,MedDRA
MedDRA:10061683,Arthrodesis,MedDRA
MedDRA:10003278,Arthrogram,MedDRA
MedDRA:10051643,Congenital multiplex arthrogryposis,MedDRA
MedDRA:10003284,Arthropathies NEC,MedDRA
MedDRA:10003375,Arthropathy neurogenic,MedDRA
MedDRA:10003396,Arthroplasty NOS,MedDRA
MedDRA:10003411,Arthroscopy,MedDRA
MedDRA:10003420,Arthus reaction,MedDRA
MedDRA:10034925,Phonological disorder,MedDRA
MedDRA:10064070,Asbestos exposure,MedDRA
MedDRA:10003441,Asbestosis,MedDRA
MedDRA:10003442,Ascariasis,MedDRA
MedDRA:10003445,Ascites,MedDRA
MedDRA:10034662,Peritoneal effusion,MedDRA
MedDRA:10003454,Ascorbic acid deficiency,MedDRA
MedDRA:10003463,Aseptic necrosis of head and neck of femur,MedDRA
MedDRA:10003488,Aspergillosis,MedDRA
MedDRA:10001707,Allergic bronchopulmonary aspergillosis,MedDRA
MedDRA:10003497,Asphyxia,MedDRA
MedDRA:10046162,Unspecified severity of birth asphyxia in liveborn infant,MedDRA
MedDRA:10003537,Assault,MedDRA
MedDRA:10018436,Glucose urine,MedDRA
MedDRA:10021159,Hysterical ataxia,MedDRA
MedDRA:10003549,Asthenia,MedDRA
MedDRA:10003552,Asthenopia,MedDRA
MedDRA:10003553,Asthma,MedDRA
MedDRA:10015649,Exercise induced asthma,MedDRA
MedDRA:10003569,Astigmatism,MedDRA
MedDRA:10003571,Astrocytoma,MedDRA
MedDRA:10003591,Ataxia,MedDRA
MedDRA:10003594,Ataxia telangiectasia,MedDRA
MedDRA:10062002,Hereditary ataxia,MedDRA
MedDRA:10003598,Atelectasis,MedDRA
MedDRA:10003601,Atherosclerosis,MedDRA
MedDRA:10003615,Atherosclerosis of other specified arteries,MedDRA
MedDRA:10003620,Athetosis,MedDRA
MedDRA:10041738,Sports injury,MedDRA
MedDRA:10003643,Atonic gallbladder,MedDRA
MedDRA:10003640,Atopic dermatitis and related conditions,MedDRA
MedDRA:10016566,Fibrillation atrial,MedDRA
MedDRA:10016827,Flutter atrial,MedDRA
MedDRA:10003671,Atrioventricular block,MedDRA
MedDRA:10003732,Attention deficit disorder of childhood,MedDRA
MedDRA:10003770,Audiometry,MedDRA
MedDRA:10041463,Speech audiometry,MedDRA
MedDRA:10069571,Atrioventricular dissociation,MedDRA
MedDRA:10003808,Autistic disorder,MedDRA
MedDRA:10061664,Autoimmune disorder,MedDRA
MedDRA:10063392,Autolysis,MedDRA
MedDRA:10003830,Automatism,MedDRA
MedDRA:10050117,Autopsy,MedDRA
MedDRA:10003844,Autosomal deletion syndromes,MedDRA
MedDRA:10003865,Avoidant personality disorder,MedDRA
MedDRA:10003866,Avulsion of eye,MedDRA
MedDRA:10003883,Azoospermia,MedDRA
MedDRA:10003963,Babesia,MedDRA
MedDRA:10003965,Babesiosis,MedDRA
MedDRA:10003986,Back injury,MedDRA
MedDRA:10033380,Pain back,MedDRA
MedDRA:10003995,Background diabetic retinopathy,MedDRA
MedDRA:10038924,Retinopathy background,MedDRA
MedDRA:10003999,Bacteremia,MedDRA
MedDRA:10004045,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",MedDRA
MedDRA:10060945,Bacterial infection,MedDRA
MedDRA:10060946,Pneumonia bacterial,MedDRA
MedDRA:10004056,Bacteriuria,MedDRA
MedDRA:10058890,Bacteroides infection,MedDRA
MedDRA:10004067,Bagassosis,MedDRA
MedDRA:10004073,Balanitis,MedDRA
MedDRA:10004078,Balanoposthitis,MedDRA
MedDRA:10004080,Balantidiasis,MedDRA
MedDRA:10004081,Balantidium coli,MedDRA
MedDRA:10067607,Balo's concentric sclerosis,MedDRA
MedDRA:10061688,Barotrauma,MedDRA
MedDRA:10004134,Barrett's esophagus,MedDRA
MedDRA:10004138,Bartholin's abscess,MedDRA
MedDRA:10004140,Bartholin's cyst,MedDRA
MedDRA:10004142,Bartholinitis,MedDRA
MedDRA:10044583,Bartonella infections,MedDRA
MedDRA:10050839,Bartter's syndrome,MedDRA
MedDRA:10004151,Basal cell nevus syndrome,MedDRA
MedDRA:10004164,Basilar artery syndrome,MedDRA
MedDRA:10069524,Basophil degranulation test,MedDRA
MedDRA:10050344,Beckwith-Wiedemann syndrome,MedDRA
MedDRA:10050118,Bed rest,MedDRA
MedDRA:10004204,Behavior disorder,MedDRA
MedDRA:10027355,Mental disorder NOS,MedDRA
MedDRA:10004211,Behcet syndrome,MedDRA
MedDRA:10004231,Bence Jones proteinuria,MedDRA
MedDRA:10004314,Benign neoplasm of colon,MedDRA
MedDRA:10004318,Benign neoplasm of cranial nerves,MedDRA
MedDRA:10004345,Benign neoplasm of lower jaw bone,MedDRA
MedDRA:10033273,Ovarian neoplasms benign,MedDRA
MedDRA:10004398,Benign neoplasm of skin,MedDRA
MedDRA:10004447,Benign prostatic hypertrophy,MedDRA
MedDRA:10004478,Bereavement,MedDRA
MedDRA:10004482,Beriberi,MedDRA
MedDRA:10057473,Bernard-Soulier syndrome,MedDRA
MedDRA:10004484,Berry aneurysm,MedDRA
MedDRA:10004485,Berylliosis,MedDRA
MedDRA:10004505,Beta thalassemia,MedDRA
MedDRA:10004606,Bile duct disorders,MedDRA
MedDRA:10008637,Cholestasis extrahepatic,MedDRA
MedDRA:10003650,Atresia biliary,MedDRA
MedDRA:10056529,Biliary dyskinesia,MedDRA
MedDRA:10004665,Biliary fistula,MedDRA
MedDRA:10004676,Biliary tract disease,MedDRA
MedDRA:10028982,Neoplasm biliary tract,MedDRA
MedDRA:10061696,Biliary tract operation,MedDRA
MedDRA:10065265,Biliopancreatic bypass,MedDRA
MedDRA:10004718,"Binocular vision disorder, unspecified",MedDRA
MedDRA:10071444,Biofeedback therapy,MedDRA
MedDRA:10004720,Biopsy,MedDRA
MedDRA:10049569,Needle biopsy NOS,MedDRA
MedDRA:10057667,Bipolar disorder,MedDRA
MedDRA:10004936,Bipolar depression,MedDRA
MedDRA:10004941,Bird fancier's lung,MedDRA
MedDRA:10004954,Birth trauma,MedDRA
MedDRA:10004963,Bisexuality,MedDRA
MedDRA:10004966,Bite,MedDRA
MedDRA:10020428,Human bite,MedDRA
MedDRA:10004984,Blackwater fever,MedDRA
MedDRA:10005001,Bladder calculus,MedDRA
MedDRA:10005013,Bladder neoplasms malignant,MedDRA
MedDRA:10045774,Unspecified disorder of bladder,MedDRA
MedDRA:10049731,Bladder distension,MedDRA
MedDRA:10048597,Bladder exstrophy,MedDRA
MedDRA:10051263,Bladder fistula,MedDRA
MedDRA:10005053,Bladder neck obstruction,MedDRA
MedDRA:10028983,Neoplasm bladder,MedDRA
MedDRA:10005059,Bladder neurogenic,MedDRA
MedDRA:10053747,Blast cell crisis,MedDRA
MedDRA:10056379,Blast injury,MedDRA
MedDRA:10005098,Blastomycosis,MedDRA
MedDRA:10005136,Bleeding time,MedDRA
MedDRA:10005148,Blepharitis,MedDRA
MedDRA:10005152,Blepharochalasis,MedDRA
MedDRA:10005153,Blepharoconjunctivitis,MedDRA
MedDRA:10005155,Blepharophimosis,MedDRA
MedDRA:10005157,Blepharoptosis,MedDRA
MedDRA:10005158,Blepharorrhaphy,MedDRA
MedDRA:10005159,Blepharospasm,MedDRA
MedDRA:10005166,Blind loop syndrome,MedDRA
MedDRA:10005176,Blindness congenital,MedDRA
MedDRA:10006554,Bullae,MedDRA
MedDRA:10005207,"Blister of other, multiple, and unspecified sites, without mention of infection",MedDRA
MedDRA:10005344,Blood bactericidal activity,MedDRA
MedDRA:10064196,Blood count,MedDRA
MedDRA:10009677,Clotting,MedDRA
MedDRA:10012116,Defect coagulation (NOS),MedDRA
MedDRA:10061653,Apheresis,MedDRA
MedDRA:10005494,Blood donor,MedDRA
MedDRA:10005537,Blood gases,MedDRA
MedDRA:10043553,Thrombocytopathy,MedDRA
MedDRA:10005727,Blood pressure,MedDRA
MedDRA:10005728,Blood pressure abnormal,MedDRA
MedDRA:10005783,Blood protein electrophoresis,MedDRA
MedDRA:10005835,Blood transfusion,MedDRA
MedDRA:10059891,Autologous blood transfusion,MedDRA
MedDRA:10005569,Blood grouping,MedDRA
MedDRA:10005852,Blood urea nitrogen,MedDRA
MedDRA:10060917,Volume blood,MedDRA
MedDRA:10059649,Bloodletting,MedDRA
MedDRA:10005871,Bloodshot eye,MedDRA
MedDRA:10073032,Bloom syndrome,MedDRA
MedDRA:10052793,Body dysmorphic disorder,MedDRA
MedDRA:10005891,Body height,MedDRA
MedDRA:10005894,Body mass index,MedDRA
MedDRA:10050311,Body surface area,MedDRA
MedDRA:10005907,Body temperature altered,MedDRA
MedDRA:10004735,Biopsy bone,MedDRA
MedDRA:10011742,Cyst of bone,MedDRA
MedDRA:10031268,Osteopathy,MedDRA
MedDRA:10072611,Bone dysplasia,MedDRA
MedDRA:10027425,Metabolic bone disorders,MedDRA
MedDRA:10005983,Bone marrow biopsy,MedDRA
MedDRA:10061729,Bone marrow disorder,MedDRA
MedDRA:10005988,Bone marrow examination,MedDRA
MedDRA:10026851,Marrow hyperplasia,MedDRA
MedDRA:10061730,Bone marrow transplant,MedDRA
MedDRA:10005995,Bone neoplasm,MedDRA
MedDRA:10005971,Bone graft,MedDRA
MedDRA:10006034,Borderline personality disorder,MedDRA
MedDRA:10006024,Bordetella infections,MedDRA
MedDRA:10048909,Boredom,MedDRA
MedDRA:10050108,Borrelia infection NOS,MedDRA
MedDRA:10006039,Bottle feeding,MedDRA
MedDRA:10006041,Botulism,MedDRA
MedDRA:10006045,Boutonneuse fever,MedDRA
MedDRA:10006059,Bowen's disease,MedDRA
MedDRA:10006075,Brachial plexus lesion,MedDRA
MedDRA:10061018,Brachytherapy,MedDRA
MedDRA:10006105,Brain abscess,MedDRA
MedDRA:10010254,Concussion,MedDRA
MedDRA:10006151,Brain syndrome chronic,MedDRA
MedDRA:10049054,Brain death,MedDRA
MedDRA:10045690,Unspecified condition of brain,MedDRA
MedDRA:10062190,Metabolic encephalopathy,MedDRA
MedDRA:10014217,Edema cerebral,MedDRA
MedDRA:10006132,Brain neoplasm NOS,MedDRA
MedDRA:10038822,Retinal arterial branch occlusion,MedDRA
MedDRA:10006164,Branchial cyst,MedDRA
MedDRA:10025541,Malignant breast neoplasm,MedDRA
MedDRA:10011736,Cyst breast,MedDRA
MedDRA:10061021,Breast disorder,MedDRA
MedDRA:10006247,Breast feeding,MedDRA
MedDRA:10006312,Breast swelling,MedDRA
MedDRA:10006356,Breech presentation,MedDRA
MedDRA:10006357,Breech presentation without mention of version,MedDRA
MedDRA:10073271,Brenner tumor,MedDRA
MedDRA:10006366,Brill Zinsser disease,MedDRA
MedDRA:10006404,Bromoderma,MedDRA
MedDRA:10064913,Bronchial disorder,MedDRA
MedDRA:10016720,Fistula bronchial,MedDRA
MedDRA:10052245,Bronchial neoplasm,MedDRA
MedDRA:10041378,Spasm bronchial,MedDRA
MedDRA:10006445,Bronchiectasis,MedDRA
MedDRA:10006448,Bronchiolitis,MedDRA
MedDRA:10049202,Bronchiolitis obliterans,MedDRA
MedDRA:10006451,Bronchitis,MedDRA
MedDRA:10063064,Bronchial cyst,MedDRA
MedDRA:10006468,Bronchography,MedDRA
MedDRA:10006469,Bronchopneumonia,MedDRA
MedDRA:10006475,Bronchopulmonary dysplasia,MedDRA
MedDRA:10059160,Pulmonary sequestration,MedDRA
MedDRA:10006479,Bronchoscopy,MedDRA
MedDRA:10006492,Brucella abortus,MedDRA
MedDRA:10006496,Brucella melitensis,MedDRA
MedDRA:10006500,Brucellosis,MedDRA
MedDRA:10006514,Bruxism,MedDRA
MedDRA:10006549,Bulimia,MedDRA
MedDRA:10005268,Block bundle branch,MedDRA
MedDRA:10006585,Bunion,MedDRA
MedDRA:10006595,Burkitt's lymphoma,MedDRA
MedDRA:10006712,Burn of internal organs,MedDRA
MedDRA:10006733,"Burn of unspecified degree of eye (with other parts of face, head, and neck)",MedDRA
MedDRA:10068065,Burning mouth syndrome,MedDRA
MedDRA:10006634,Burn,MedDRA
MedDRA:10008420,Chemical burn,MedDRA
MedDRA:10069808,Electrical burn,MedDRA
MedDRA:10006811,Bursitis,MedDRA
MedDRA:10006822,Byssinosis,MedDRA
MedDRA:10006895,Cachexia,MedDRA
MedDRA:10006938,Calcinosis,MedDRA
MedDRA:10051714,Calciphylaxis,MedDRA
MedDRA:10006959,Calcium deposits in tendon and bursa,MedDRA
