Interactor1,Category1,Interactor2,Category2,Methods,Databases_source,References,Score
ACE,mRNA,TCF7L2,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,E2F6,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,LIN28B,protein,CLIP-seq,starBase,None,0.5483
ACE,mRNA,CTCF,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,SIRT6,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,SMARCB1,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,FUS,protein,CLIP-seq,starBase,None,0.5483
ACE,mRNA,REST,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,CDX2,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,EIF4A3,protein,CLIP-seq,starBase,None,0.5483
ACE,mRNA,E2F4,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,TAF1,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,JUN,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,TCF12,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,SPI1,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,NANOG,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,U2AF2,protein,CLIP-seq,RAID,26641092,0.5483
ACE,mRNA,GATA6,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,FOXA1,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,STAT1,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,NFYB,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,ERG,protein,ChIP-seq,ChIPBase,None,0.5483
ACE,mRNA,NFYA,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,AR,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,FOS,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,RXRA,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,CEBPB,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,EP300,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,SMARCC1,protein,ChIP-seq,ChIPBase,None,0.5483
ACE2,mRNA,LIN28A,protein,CLIP-seq,starBase,None,0.5483
ACKR3,mRNA,AR,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,SMARCB1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,CDX2,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,EBF1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,TAF1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,BATF,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,U2AF2,protein,CLIP-seq,RAID,26641092,0.5483
ACKR3,mRNA,SPI1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,BCL11A,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,BCL3,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,MYC,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,PBX3,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,NANOG,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,FUS,protein,CLIP-seq,starBase,None,0.5483
ACKR3,mRNA,POU5F1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,PTBP1,protein,CLIP-seq,starBase,None,0.5483
ACKR3,mRNA,LIN28A,protein,CLIP-seq,starBase,None,0.5483
ACKR3,mRNA,ETS1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,EIF4A3,protein,CLIP-seq,starBase,None,0.5483
ACKR3,mRNA,TIAL1,protein,CLIP-seq,starBase,None,0.5483
ACKR3,mRNA,MAX,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,TCF12,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,ERG,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,FOXH1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,POU2F2,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,IRF4,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,TIA1,protein,CLIP-seq,starBase,None,0.5483
ACKR3,mRNA,E2F4,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,SP1,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,CEBPA,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,REST,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,RAD21,protein,ChIP-seq,ChIPBase,None,0.5483
ACKR3,mRNA,CTCF,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,SP1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,ZBTB33,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,E2F1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,ERG,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,SMARCA4,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,MAX,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,TFAP2A,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,TCF7L2,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,FMR1,protein,CLIP-seq,starBase,None,0.5483
ACTA2,mRNA,E2F6,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,UPF1,protein,CLIP-seq,starBase,None,0.5483
ACTA2,mRNA,LIN28B,protein,CLIP-seq,starBase,None,0.5483
ACTA2,mRNA,POU2F2,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,EBF1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,FUS,protein,CLIP-seq,starBase,None,0.5483
ACTA2,mRNA,SMARCB1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,PTBP1,protein,CLIP-seq,starBase,None,0.5483
ACTA2,mRNA,REST,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,HEY1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,SMARCC2,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,CEBPB,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,BCL3,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,EIF4A3,protein,CLIP-seq,starBase,None,0.5483
ACTA2,mRNA,ETS1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,E2F4,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,TAF1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,AR,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,CEBPA,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,TCF12,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,SPI1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,JUND,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,DGCR8,protein,CLIP-seq,starBase,None,0.5483
ACTA2,mRNA,CDX2,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,FOSL2,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,SMARCC1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,PBX3,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,NANOG,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,GATA6,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,MYC,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,BATF,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,IRF4,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,STAT1,protein,ChIP-seq,ChIPBase,None,0.5483
ACTA2,mRNA,BCL11A,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,SPI1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,CAPRIN1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,SMARCC2,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,ZC3H7B,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,U2AF2,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,PUM2,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,UPF1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,TIAL1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,E2F1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,SMARCB1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,MYC,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,CDX2,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,ZNF263,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,BHLHE40,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,TNRC6A,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,LIN28B,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,ERG,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,TAF1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,IGF2BP3,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,EBF1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,ELAVL1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,TIA1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,LIN28A,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,EIF4A3,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,HEY1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,MOV10,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,EP300,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,FUS,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,NANOG,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,STAT1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,IGF2BP2,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,FMR1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,HNRNPC,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,IGF2BP1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,DGCR8,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,TCF7L2,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,E2F4,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,PTBP1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,EWSR1,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,FXR2,protein,CLIP-seq,starBase,None,0.5483
ACVR1B,mRNA,SMARCC1,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,MAX,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,E2F6,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,SIRT6,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,AR,protein,ChIP-seq,ChIPBase,None,0.5483
ACVR1B,mRNA,GATA6,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,DGCR8,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,JUN,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,JUND,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,NR3C1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,NANOG,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,SP1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,ETS1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,ALKBH5,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,SMARCC1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,E2F1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,LIN28A,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,TCF12,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,TAF15,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,GTF2B,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,FXR2,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,RXRA,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,TIAL1,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,HEY1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,HNRNPC,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,BCL11A,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,STAT2,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,ELAVL1,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,IGF2BP3,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,IRF4,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,E2F4,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,BATF,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,FOXP2,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,PTBP1,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,SMARCC2,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,BCL3,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,REST,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,AR,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,MYC,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,ZNF263,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,U2AF2,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,CEBPB,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,TCF7L2,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,FUS,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,NCBP3,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,EP300,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,TIA1,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,STAT1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,CDX2,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,CTCF,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,POU2F2,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,EBF1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,ZC3H7B,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,TAF1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,FOSL2,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,MAX,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,EIF4A3,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,E2F6,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,SRSF1,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,ERG,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,UPF1,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,SPI1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,FMR1,protein,CLIP-seq,starBase,None,0.5483
ADAM17,mRNA,ELF1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,NELFE,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,TFAP2A,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,SMARCA4,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,YY1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,PBX3,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,SREBF1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,SMARCB1,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,GATA6,protein,ChIP-seq,ChIPBase,None,0.5483
ADAM17,mRNA,RAD21,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOQ,mRNA,AR,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOQ,mRNA,FOXA1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOQ,mRNA,FOXH1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOQ,mRNA,PPARG,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOQ,mRNA,CEBPA,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOQ,mRNA,GATA6,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOQ,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,TCF7L2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,NFYB,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,FXR2,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,ZNF711,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,GATA6,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,E2F4,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,TIA1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,U2AF2,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,SMARCC2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,EWSR1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,TAF15,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,HNF4A,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,MYC,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,MOV10,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,HNRNPC,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,ELAVL1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,TFAP2A,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,FUS,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,CDX2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,FXR1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,EIF4A3,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,LIN28A,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,TAF1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,DGCR8,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,E2F6,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,MAX,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,ERG,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,UPF1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,FMR1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,RTCB,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,SMARCA4,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,CAPRIN1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,PTBP1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,FOS,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,IGF2BP3,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,SMARCB1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,POU2F2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,TIAL1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,ZC3H7B,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,TNRC6A,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,CEBPB,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,TCF12,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,JUN,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,HEY1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,JUND,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,FOXP2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,STAT1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,ETS1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,SP1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,SMARCC1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,FOXH1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,IGF2BP2,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,E2F1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,ZNF263,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,FOSL2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,LIN28B,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,SRSF1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,POLR3A,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR1,mRNA,IGF2BP1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR1,mRNA,GATA2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,IGF2BP1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,HNRNPC,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,UPF1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,ELAVL1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,TFAP2A,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,FMR1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,SPI1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,ELF1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,LIN28B,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,PTBP1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,TIAL1,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,SMARCC2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,EIF4A3,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,EP300,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,TCF12,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,SIX5,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,HEY1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,ETS1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,STAT1,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,DGCR8,protein,CLIP-seq,starBase,None,0.5483
ADIPOR2,mRNA,SREBF2,protein,ChIP-seq,ChIPBase,None,0.5483
ADIPOR2,mRNA,E2F1,protein,ChIP-seq,ChIPBase,None,0.5483
