resource	label	id	name	synonyms	description	xrefs	taxid	pmids
KEGG	Pathway	KEGG:hsa00030	Pentose phosphate pathway - Homo sapiens (human)		The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equivalents and pentoses as essential parts of nucleotides. There are two different phases in the pathway. One is irreversible oxidative phase in which glucose-6P is converted to ribulose-5P by oxidative decarboxylation, and NADPH is generated [MD:M00006]. The other is reversible non-oxidative phase in which phosphorylated sugars are interconverted to generate xylulose-5P, ribulose-5P, and ribose-5P [MD:M00007]. Phosphoribosyl pyrophosphate (PRPP) formed from ribose-5P [MD:M00005] is an activated compound used in the biosynthesis of histidine and purine/pyrimidine nucleotides. This pathway map also shows the Entner-Doudoroff pathway where 6-P-gluconate is dehydrated and then cleaved into pyruvate and glyceraldehyde-3P [MD:M00008].		9606	12700258|16788179|16428816|23279921|16458304|20023024
KEGG	Pathway	KEGG:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)				9606	11741871|15697206|10572115|10913097|15901685
KEGG	Pathway	KEGG:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00052	Galactose metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)				9606	17222174|15564123|10517845|16595667|17462988|14996803|12644495
KEGG	Pathway	KEGG:hsa00500	Starch and sucrose metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)				9606	2793832|8071227|8444803|9811644|10931327|10984043|11447132|12562791|14450717|15134748|15489439|15695810|15809294|16237198|16277754|16452451|16995900|17085508|17190829|17827295|18199744|18304669|11479276
KEGG	Pathway	KEGG:hsa00620	Pyruvate metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)				9606	10978349|18065535|18819910|9596633|16407450|21252347|11513957
KEGG	Pathway	KEGG:hsa00640	Propanoate metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00650	Butanoate metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00562	Inositol phosphate metabolism - Homo sapiens (human)				9606	14993306|18310071
KEGG	Pathway	KEGG:hsa00190	Oxidative phosphorylation - Homo sapiens (human)				9606	16469879|16584177
KEGG	Pathway	KEGG:hsa00910	Nitrogen metabolism - Homo sapiens (human)		The biological process of the nitrogen cycle is a complex interplay among many microorganisms catalyzing different reactions, where nitrogen is found in various oxidation states ranging from +5 in nitrate to -3 in ammonia. The core nitrogen cycle involves four reduction pathways and two oxidation pathways. Nitrogen fixation [MD:M00175] is the process of reducing atmospheric molecular nitrogen to ammonia, a biologically useful reduced form incorporated into amino acids and other vital compounds. The ability of fixing atmospheric nitrogen by the nitrogenase enzyme complex is present in restricted prokaryotes (diazotrophs). The other reduction pathways are assimilatory nitrate reduction [MD:M00531] and dissimilatory nitrate reduction [MD:M00530] both for conversion to ammonia, and denitrification [MD:M00529]. Denitrification is a respiration in which nitrate or nitrite is reduced as a terminal electron acceptor under low oxygen or anoxic conditions, producing gaseous nitrogen compounds (N2, NO and N2O) to the atmosphere. The two oxidation pathways are nitrification [MD:M00528] and anaerobic ammonium oxidation (anammox) [MD:M00973]. Nitrification is the oxidation of ammonia (NH3) with oxygen into nitrite followed by the oxidation of nitrite into nitrate. The first step is performed by ammonia-oxidizing microorganisms (e.g., Nitrosomonas and Nitrosococcus) and the second step by nitrite-oxidizing microorganisms (e.g., Nitrobacter). Anammox is a biochemical process of oxidizing ammonium (NH4+) into dinitrogen gas (N2) using nitrite as an electron acceptor. It occurs in the anammoxosome, a membrane bound compartment inside the cytoplasm, of anammox bacteria (e.g., Planctomycetes).		9606	14702404|17408485|11004450|15528644|11921398|18021072|19247843|22221911|26610024|26610025
KEGG	Pathway	KEGG:hsa00920	Sulfur metabolism - Homo sapiens (human)		Sulfur is an essential element for life and the metabolism of organic sulfur compounds plays an important role in the global sulfur cycle. Sulfur occurs in various oxidation states ranging from +6 in sulfate to -2 in sulfide (H2S). Sulfate reduction can occur in both an energy consuming assimilatory pathway and an energy producing dissimilatory pathway. The assimilatory pathway, which is found in a wide range of organisms, produces reduced sulfur compounds for the biosynthesis of S-containing amino acids and does not lead to direct excretion of sulfide. In the dissimilatory pathway, which is restricted to obligatory anaerobic bacterial and archaeal lineages, sulfate (or sulfur) is the terminal electron acceptor of the respiratory chain producing large quantities of inorganic sulfide. Both pathways start from the activation of sulfate by reaction with ATP to form adenylyl sulfate (APS). In the assimilatory pathway [MD:M00176] APS is converted to 3'-phosphoadenylyl sulfate (PAPS) and then reduced to sulfite, and sulfite is further reduced to sulfide by the assimilatory sulfite reductase. In the dissimilatory pathway [MD:M00596] APS is directly reduced to sulfite, and sulfite is further reduced to sulfide by the dissimilatory sulfite reductase. The capacity for oxidation of sulfur is quite widespread among bacteria and archaea, comprising phototrophs and chemolithoautotrophs. The SOX (sulfur-oxidation) system [MD:M00595] is a well-known sulfur oxidation pathway and is found in both photosynthetic and non-photosynthetic sulfur-oxidizing bacteria. Green sulfur bacteria and purple sulfur bacteria carry out anoxygenic photosynthesis with reduced sulfur compounds such as sulfide and elemental sulfur, as well as thiosulfate (in some species with the SOX system), as the electron donor for photoautotrophic growth. In some chemolithoautotrophic sulfur oxidizers (such as Thiobacillus denitrificans), it has been suggested that dissimilatory sulfur reduction enzymes operate in the reverse direction, forming a sulfur oxidation pathway from sulfite to APS and then to sulfate.		9606	22982583|22633058|20143161|22092713|21833341|16452431|9695921|18929068
KEGG	Pathway	KEGG:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)				9606	12061798|12518017|11337402|17573542|30201289|25203508|19686777|27553474
KEGG	Pathway	KEGG:hsa00062	Fatty acid elongation - Homo sapiens (human)				9606	4387390|7150615|8190743|16564093|16765910|16866954|17719534|19649180
KEGG	Pathway	KEGG:hsa00071	Fatty acid degradation - Homo sapiens (human)				9606	869535
KEGG	Pathway	KEGG:hsa00100	Steroid biosynthesis - Homo sapiens (human)				9606	16531502|12777052
KEGG	Pathway	KEGG:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)		Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile acids, cholic acid and chenodeoxycholic acid, are synthesized in the liver and conjugated with taurine or glycine before secretion via bile into the intestine. The conversion from cholesterol to cholic and chenodeoxycholic acids involves four steps: 1) the initiation of synthesis by 7alpha-hydroxylation of sterol precursors, 2) further modifications to the ring structures, 3) side-chain oxidation and shortening (cleavage) by three carbons, and 4) conjugation of the bile acid with taurine or glycine.		9606	12543708|17346171|10198776|18081658|18488143|11067870|16299351|9292932
KEGG	Pathway	KEGG:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)		Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrates. The cholesterol side-chain cleavage enzyme CYP11A1 catalyzes conversion of cholesterol, a C27 compound, to the first C21 steroid, pregnenolone, which is converted by a bifunctional enzyme complex to the gestagen hormone, progesterone [MD:M00107]. Pregnenolone and progesterone are the starting materials for the three groups of steroids: C21 steroids of glucocorticoids and mineralocorticoids, C19 steroids of androgens, and C18 steroids of estrogens. (i) Progesterone is converted by hydroxylations at carbons 21 and 11 to corticosterone, which is further modified by hydroxylation and oxydoreduction at carbon 18 to yield aldosterone, a mineralcorticoid [MD:M00108]. Cortisol, the main glucocorticoid, is formed from 17alpha-hydroxyprogesterone with 11-deoxycortisol as an intermediate [MD:M00109]. (ii) Male hormone testosterone is formed from pregnenolone by two pathways, delta5 pathway via dehydroepiandrosterone and delta4 pathway via androstenedione [MD:M00110]. The enzyme CYP17A1 is responsible for the 17,20 lyase and 17alpha-hydroxylase activities in respective pathways. (iii) Female hormones estrone and estradiol are formed from testosterone and 4-androstene-3,17-dione by oxidative removal of the C19 methyl group and subsequent aromatization of ring A [MD:M00111]. In addition to these three groups, recent studies show that there is another group, termed neurosteroids, synthesized in the brain rather than the peripheral endocrine gland.		9606	10998348|11469811|12604236|12832414|15642792|16413106|16547389|17459698|17475203|17926129
KEGG	Pathway	KEGG:hsa00561	Glycerolipid metabolism - Homo sapiens (human)				9606	8662716|8995384|11294844
KEGG	Pathway	KEGG:hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)				9606	1512203|10092508|10542045|12431977|14663079|15522832|1649829|10938271
KEGG	Pathway	KEGG:hsa00565	Ether lipid metabolism - Homo sapiens (human)				9606	11275267|11015622|15788404
KEGG	Pathway	KEGG:hsa00600	Sphingolipid metabolism - Homo sapiens (human)				9606	12011104|10652340|11305904|1495423|8457204|10366774
KEGG	Pathway	KEGG:hsa00590	Arachidonic acid metabolism - Homo sapiens (human)				9606	14636671|15292194|15205388|14660610|14626496|14622984|11679404|11328810|10908295|9812980
KEGG	Pathway	KEGG:hsa00591	Linoleic acid metabolism - Homo sapiens (human)				9606	14757320|12909723|12324235|11302930|9694817|1634517|12226220|8765137
KEGG	Pathway	KEGG:hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)				9606	17172287|15141068|17215350|16116284|15670154|14522973
KEGG	Pathway	KEGG:hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)				9606	16564093|12482854|12087109|11500517|16766224|17719544|24184513|20018209|22158834|28784662|20937905|21959040|19826053|22562166|11734571
KEGG	Pathway	KEGG:hsa00230	Purine metabolism - Homo sapiens (human)				9606	10601204|10986234
KEGG	Pathway	KEGG:hsa00240	Pyrimidine metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)				9606	9687539
KEGG	Pathway	KEGG:hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)		Serine is derived from 3-phospho-D-glycerate, an intermediate of glycolysis [MD:M00020], and glycine is derived from serine. Threonine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, threonine is derived from aspartate [MD:M00018].		9606	11823218|10473374|17636255|16707670|15470257|7639721|11341914|15520012
KEGG	Pathway	KEGG:hsa00270	Cysteine and methionine metabolism - Homo sapiens (human)		Cysteine and methionine are sulfur-containing amino acids. Cysteine is synthesized from serine through different pathways in different organism groups. In bacteria and plants, cysteine is converted from serine (via acetylserine) by transfer of hydrogen sulfide [MD:M00021]. In animals, methionine-derived homocysteine is used as sulfur source and its condensation product with serine (cystathionine) is converted to cysteine [MD:M00338]. Cysteine is metabolized to pyruvate in multiple routes. Methionine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, methionine is synthesized from aspartate [MD:M00017]. S-Adenosylmethionine (SAM), synthesized from methionine and ATP, is a methyl group donor in many important transfer reactions including DNA methylation for regulation of gene expression. SAM may also be used to regenerate methionine in the methionine salvage pathway [MD:M00034].		9606	15102328|14551435|12022921|12670965|17169919|17030798|18625006|18391471|10613873|12644499|18520135|19270684
KEGG	Pathway	KEGG:hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)				9606	15292141
KEGG	Pathway	KEGG:hsa00310	Lysine degradation - Homo sapiens (human)				9606	11802770|1682209
KEGG	Pathway	KEGG:hsa00220	Arginine biosynthesis - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00330	Arginine and proline metabolism - Homo sapiens (human)				9606	5288244|16499623|15590624
KEGG	Pathway	KEGG:hsa00340	Histidine metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00350	Tyrosine metabolism - Homo sapiens (human)				9606	8550403|1194238|18435614|11171088
KEGG	Pathway	KEGG:hsa00360	Phenylalanine metabolism - Homo sapiens (human)				9606	10537203|9603882|9098055|19016485|20660314
KEGG	Pathway	KEGG:hsa00380	Tryptophan metabolism - Homo sapiens (human)				9606	15749753
KEGG	Pathway	KEGG:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00410	beta-Alanine metabolism - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human)				9606	12471498|11082195|12358600|15073291|15340795|15184572|15883781|4297098
KEGG	Pathway	KEGG:hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human)		Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos.		9606	19489722|19053721|17168571|15616300|15574905
KEGG	Pathway	KEGG:hsa00450	Selenocompound metabolism - Homo sapiens (human)				9606	21190829|19051051|20383543|17451884|11782468
KEGG	Pathway	KEGG:hsa00470	D-Amino acid metabolism - Homo sapiens (human)				9606	33788945|27230378
KEGG	Pathway	KEGG:hsa00480	Glutathione metabolism - Homo sapiens (human)				9606	12675513|18482986|14583094|11157967|15610825|12049631|9677355|12750367|12967709|12121990|15537651|7813456|12751784|18395526|8892297|11150302|12949079|9851611|12446213|10713147|17922848|12466271|14982633|6798961
KEGG	Pathway	KEGG:hsa00510	N-Glycan biosynthesis - Homo sapiens (human)		N-glycans or asparagine-linked glycans are major constituents of glycoproteins in eukaryotes. N-glycans are covalently attached to asparagine with the consensus sequence of Asn-X-Ser/Thr by an N-glycosidic bond, GlcNAc b1- Asn. Biosynthesis of N-glycans begins on the cytoplasmic face of the ER membrane with the transferase reaction of UDP-GlcNAc and the lipid-like precursor P-Dol (dolichol phosphate) to generate GlcNAc a1- PP-Dol. After sequential addition of monosaccharides by ALG glycosyltransferases [MD:M00055], the N-glycan precursor is attached by the OST (oligosaccharyltransferase) complex to the polypeptide chain that is being synthesized and translocated through the ER membrane. The protein-bound N-glycan precursor is subsequently trimmed, extended, and modified in the ER and Golgi by a complex series of reactions catalyzed by membrane-bound glycosidases and glycosyltransferases. N-glycans thus synthesized are classified into three types: high-mannose type, complex type, and hybrid type. Defects in N-glycan biosynthesis lead to a variety of human diseases known as congenital disorders of glycosylation [DS:H00118 H00119].		9606	9111134|12200473|12684507|11278778|15987956|16878994
KEGG	Pathway	KEGG:hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)				9606	11412862|9878803|9878780|9218445|9756928|10037752|8253757|20233335
KEGG	Pathway	KEGG:hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)		O-glycans are a class of glycans that modify serine or threonine residues of proteins. Biosynthesis of O-glycans starts from the transfer of N-acetylgalactosamine (GalNAc) to serine or threonine. The first GalNAc may be extended with sugars including galactose, N-acetylglucosamine, fucose, or sialic acid, but not mannose, glucose, or xylose. Depending on the sugars added, there are four common O-glycan core structures, cores 1 through 4, and an additional four, cores 5 though 8. Mucins are highly O-glycosylated glycoproteins ubiquitous in mucous secretions on cell surfaces and in body fluids. Mucin O-glycans can be branched, and many sugars or groups of sugars are antigenic. Important modifications of mucin O-glycans include O-acetylation of sialic acid and O-sulfation of galactose and N-acetylglucosamine.		9606	10580130|11821425|12626393|10350056|15466199|10207017|25727146|11439191
KEGG	Pathway	KEGG:hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)		Biosynthesis of mammalian O-mannosyl glycans is initiated by the transfer of mannose from mannose-P-Dol to serine or threonine residue, followed by extensions with N-acetylglucosamine (GlcNAc) and galactose (Gal) to generate core M1, M2 and M3 glycans. Core M1 and M2 glycans can then be further attached by fucose residues, sialic acid terminals and sulfatded glucuroinc acid terminals. Core M3 glycan is involved in the synthesis of alpha-dystroglycan, a heavily glycosylated protein found in muscle and brain tissues. Core M3 glycan contains a tandem repeat of ribitol 5-phosphate (Rbo5P) and -alpha3-GlcA-beta3-Xyl- repeating structures. Defects of genes encoding core glycans and modified core M3 glycans are associated with various congenital diseases, such as muscular dystrophies caused by reduced O-mannosylation of alpha-dystroglycan in skeletal muscles [DS:H00120].		9606	24786756|21945038|26923585|27733679
KEGG	Pathway	KEGG:hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)		O-linked glycosylation is the attachment of monosaccharides to the hydroxyl groups of amino acids, mostly serine and threonine, and is found in eukaryotes, archaea and bacteria. O-glycans exhibit diverse types of modifications where the innermost monosaccharide is N-acetylgalactosamine (map00512), mannose in mammals (map00515), and others (this map) including N-acetylglucosamine, fucose, glucose, galactose, mannose in yeast and arabinose in plants.		9606	22669261|19429925
KEGG	Pathway	KEGG:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)		Glycosaminoglycans (GAGs) are linear polysaccharide chains consisting of repeating disaccharide units and form proteglycans by covalently attaching to their core proteins. Chondroitin sulfate (CS) is a glycosaminoglycan with the disaccharide unit of beta-D-galactosamine (GalNAc) and beta-D-glucuronic acid (GlcA), and often modified with ester-linked sulfate at certain positions. Dermatan sulfate (DS) is a modified form of CS, in which a portion of D-glucuronate residues is epimerized to L-iduronates (IdoA). CS and DS are linked to serine residues in core proteins via a linkage tetrasaccharide formed by the transfer of xylose and three more residues [MD:M00057]. The assembly process of CS is initiated by transferring GalNAc residue to the linkage tetrasaccharide. The polymerization is catalyzed by bifunctional enzymes (chondroitin synthases) possessing both beta 1,3 glucuronosyltransferase and beta 1,4 N-acetylgalactosaminyltransferase activities [MD:M00058]. Chondroitin polymerization also requires the action of the chondroitin polymerizing factor. There are various O-sulfation patterns in CS and DS, where 4-O sulfation and 6-O sulfation of GalNAc and 2-O-sulfation of the uronic acids (GlcA / IdoA) are mainly found.		9606	11042448|11274177|11099377|10473568|11551958|9506957|12512856|17253960|12716890|21138417|22899863|17928217|14568616|19661164|17239763|12847091
KEGG	Pathway	KEGG:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)		Heparan sulfate (HS) and heparin (Hep) are glycosaminoglycans with repeating disaccharide units that consist of alternating residues of alpha-D-glucosamine (GlcN) and uronic acid, the latter being either beta-D-glucuronic acid (GlcA) or alpha-L-iduronic acid (IdoA). In these sugar residues, sulfation modification may be performed at various positions. Structural studies show that Hep possesses a higher degree of sulfation than HS. The biosynthesis of HS/Hep occurs with the addition of the first GlcNAc residue by EXTL3 glycosyltransferase after completion of tetrasaccharide linkage region attached to serine residue of a core protein. The chain polymeraization is then catalyzed by EXT1 and EXT2 transferases. As the chain polymerizes, HS/Hep undergoes a series of modification reactions including N-deacetylation, N-sulfation, epimerization, and subsequently O-sulfation. As final products of biosynthesis, HS is present in the form of hepran sulfate proteoglycan (HSPG) whereas Hep exists as a sugar chain without a core protein. The proteoglycan families with HS, as well as CS (chondroitin sulfate), DS (dermatan sulfate), and KS (keratan sulfate), are composed of two main types depending on the subcellular locations: cell membrane and extracellular matrix [BR:00535]. HS/Hep has been shown to bind to a variety of molecules, such as growth factors, chemokines, morphogens, and extracellular matrix components [BR:00536].		9606	11390981|10318803|9756849|11274177|10742590|9151776|9988768|10520990|15304505|16099108
KEGG	Pathway	KEGG:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)		Keratan sulfate (KS) is a glycosaminoglycan with the basic disaccharide unit of N-acetyllactosamine, Gal(b1-4)GlcNAc(b1-3), with sulfate esters at C-6 of GlcNAc and Gal residues. There are two types of KS distinguished by the protein linkage: type I for N-linked via the N-glycan core structure and type II for O-linked via the O-glycan core 2 structure.		9606	11030741|14706853|12511560
KEGG	Pathway	KEGG:hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)				9606	27570|3161730
KEGG	Pathway	KEGG:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)		Cell surface proteins can be attached to the cell membrane via the glycolipid structure called glycosylphosphatidylinositol (GPI) anchor. Hundreds of GPI-anchored proteins have been identified in many eukaryotes ranging from protozoa and fungi to mammals. All protein-linked GPI anchors share a common core structure, characterized by the substructure Man (a1-4) GlcN (a1-6) myo-inositol-1P-lipid. Biosynthesis of GPI anchors proceeds in three stages: (i) preassembly of a GPI precursor in the ER membrane, (ii) attachment of the GPI to the C-terminus of a newly synthesized protein in the lumen of the ER, and (iii) lipid remodeling and/or carbohydrate side-chain modifications in the ER and the Golgi. Defects of GPI anchor biosynthesis gene result in a genetic disorder, paroxysmal nocturnal hemoglobinuria.		9606	12655644|11102867|8253761|14517336|10329735|14734546|12802054|12807000|15623507|15635094|24364251|25509331|19837036|26563290
KEGG	Pathway	KEGG:hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)				9606	12716912|10837462|10748143|10854428|10854427
KEGG	Pathway	KEGG:hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00511	Other glycan degradation - Homo sapiens (human)				9606	
KEGG	Pathway	KEGG:hsa00730	Thiamine metabolism - Homo sapiens (human)				9606	15614489|14567704|22616866|12777485|22031445|19348578
KEGG	Pathway	KEGG:hsa00740	Riboflavin metabolism - Homo sapiens (human)				9606	12136096|11856310|12867427|16042598
KEGG	Pathway	KEGG:hsa00750	Vitamin B6 metabolism - Homo sapiens (human)				9606	10753941|9696782|12269807|10225425|16157873|22276911
KEGG	Pathway	KEGG:hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)				9606	13475371|16894175|11514508|16321959|5835946|21953451
KEGG	Pathway	KEGG:hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)				9606	
