relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid
Hetionet::DuG::Disease:Gene	transforming growth factor beta	Gene	ENTREZ:7040	long COVID	Disease	MONDO:0100233	"Moreover, long COVID patients with neurological symptoms exhibited higher levels of neurofilament light chain and glial fibrillary acidic protein whereas those with pulmonary symptoms exhibited a higher level of transforming growth factor beta."	36744129
GNBR::Md::Gene:Disease	Interleukin 6	Gene	ENTREZ:3570	long COVID	Disease	MONDO:0100233	"Of these, up-regulated Interleukin 6, C-reactive protein, and tumor necrosis factor alpha might serve as the potential diagnostic biomarkers for long COVID."	36744129
GNBR::Md::Gene:Disease	C-reactive protein	Gene	ENTREZ:1401	long COVID	Disease	MONDO:0100233	"Of these, up-regulated Interleukin 6, C-reactive protein, and tumor necrosis factor alpha might serve as the potential diagnostic biomarkers for long COVID."	36744129
GNBR::Md::Gene:Disease	tumor necrosis factor alpha	Gene	ENTREZ:7124	long COVID	Disease	MONDO:0100233	"Of these, up-regulated Interleukin 6, C-reactive protein, and tumor necrosis factor alpha might serve as the potential diagnostic biomarkers for long COVID."	36744129
increased_by	MDA	Metabolite	HMDB:HMDB0006112	PM2.5	Compound	MESH:D052638	"PM2.5 inhibited Mn superoxide dismutase (MnSOD), Na(+)K(+)-ATPase, and Ca(2+)-ATPase activities and elevated malondialdehyde (MDA) content in rat lung mitochondria;"	25560372
increased_by	effector memory CD8+ T cell	BiologicalProcess	GO:0035709	ME/CFS	Disease	MONDO:0005404	"In contrast, the T cell compartment was altered in ME/CFS, with increased proportions of effector memory CD8+ T cells and decreased proportions of terminally differentiated effector CD8+ T cells."	31057538
associated_with	kynurenine pathway (KP)	Pathway	KEGG:hsa00380	nicotinamide adenine dinucleotide (NAD+)	Metabolite	HMDB:HMDB0002012	"Hyperactivation of the KP, whether compensatory or a driving mechanism of degeneration can limit the availability of NAD+ and exacerbate the symptoms of ME/CFS."	35656104
increased_by	JNK	Gene	ENTREZ:26419	PM	Compound	MESH:D052638	"The results found that PM mice displayed higher IL-6, TNF-α, NF-κB, and JNK expression and lower AMPK, GLUT4, and UCP-1 when compared with FA mice."	32270451
reduced_by	GLUT4	Gene	ENTREZ:20528	PM	Compound	MESH:D052638	"The results found that PM mice displayed higher IL-6, TNF-α, NF-κB, and JNK expression and lower AMPK, GLUT4, and UCP-1 when compared with FA mice."	32270451
associated_with	liver	Anatomy	MESH:D008099	PM	Compound	MESH:D052638	AMPK activation can ameliorate most of the harmful effects and might become the potential target for treating PM2.5-induced hepatic injury.	32270451
associated_with	kidney	Anatomy	MESH:D007668	PM2.5	Compound	MESH:D052638	"Taken together, our findings indicated that iRhom2 played an essential role in regulating PM2.5-induced chronic renal damage, thus revealing a potential target for preventing chronic kidney diseases development."	30165303
associated_with	chronic renal diseases	Disease	MONDO:0005300	iRhom2	Gene	ENTREZ:217344	"The inactive rhomboid protein 2 (iRhom2), also known as rhomboid family member 2 (Rhbdf2), is a necessary modulator for shedding of tumor necrosis factor-α (TNF-α) in immune cells, and has been explored in the pathogenesis of chronic renal diseases."	30165303
increased_by	IL-6	Gene	ENTREZ:16193	iRhom2	Gene	ENTREZ:217344	"iRhom2-/- mice exhibited reduced inflammatory response, as evidenced by the reduction of interleukin 1β (IL-1β), IL-6, tumor necrosis factor-α (TNF-α) and IL-18 in kidney samples, which might be, at least partly, through inactivating TNF-α converting enzyme/TNF-α receptors (TACE/TNFRs) and inhibitor of α/nuclear factor κ B (IκBα/NF-κB) signaling pathways."	30165303
activated_by	nuclear factor κ B (IκBα/NF-κB) signaling pathway	Pathway	KEGG:hsa04064	iRhom2	Gene	ENTREZ:217344	"iRhom2-/- mice exhibited reduced inflammatory response, as evidenced by the reduction of interleukin 1β (IL-1β), IL-6, tumor necrosis factor-α (TNF-α) and IL-18 in kidney samples, which might be, at least partly, through inactivating TNF-α converting enzyme/TNF-α receptors (TACE/TNFRs) and inhibitor of α/nuclear factor κ B (IκBα/NF-κB) signaling pathways."	30165303
associated_with	PM2.5	Compound	MESH:D052638	Membranous nephropathy (MN)	Disease	MONDO:0005376	"Furthermore, we demonstrated the possibility that PM2.5, malignancy, and gene expression specifically induce exposure of these antigens through conformational changes, molecular mimicry, or increased expression eliciting autoimmune responses."	34337081
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Remdesivir	Compound	DrugBank:DB14761	"Remdesivir had a very large effect at regulating levels of C-reactive protein, moderate effects at increasing lymphocyte levels, and a negligible dysregulating effect on ferritin levels."	34588793
Hetionet::DlA::Disease:Anatomy	chronic fatigue syndrome	Disease	MONDO:0005404	heart	Anatomy	UBERON:0000948	"CFS is a unique disorder in that it is often a multisystem disorder, causing direct damage to major organs such as the kidney, heart, and lungs [2]."	37128534
Hetionet::DlA::Disease:Anatomy	chronic fatigue syndrome	Disease	MONDO:0005404	lung	Anatomy	UBERON:0002048	"CFS is a unique disorder in that it is often a multisystem disorder, causing direct damage to major organs such as the kidney, heart, and lungs [2]."	37128534
Hetionet::DrD::Disease:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	premature menopause	Disease	MONDO:0001119	"See Figure 1 for a summary of the female reproductive conditions we review in Long COVID, ME/CFS, POTS, and EDS."	37234076
associated_with	OPA1	Gene	ENTREZ:74143	PM2.5	Compound	MESH:D052638	"PM2.5 inhibited Mn superoxide dismutase (MnSOD), Na(+)K(+)-ATPase, and Ca(2+)-ATPase activities and elevated malondialdehyde (MDA) content in rat lung mitochondria;"	25560372
reduced_by	terminally differentiated effector CD8+ T cell	BiologicalProcess	GO:0043374	ME/CFS	Disease	MONDO:0005404	"In contrast, the T cell compartment was altered in ME/CFS, with increased proportions of effector memory CD8+ T cells and decreased proportions of terminally differentiated effector CD8+ T cells."	31057538
Hetionet::DuG::Disease:Gene	IL-10	Gene	ENTREZ:3586	CFS/ME	Disease	MONDO:0005404	"Interestingly, following mitogenic stimulation, cytokine secretion revealed significant increases in IL-10, IFN-γ and TNF-α at T1 in the CFS/ME group."	22571715
GNBR::T::Compound:Disease	molecular hydrogen	Compound	DrugBank:DB15127	ME/CFS	Disease	MONDO:0005404	"In this paper, these pathways are summarised, and data regarding promising therapeutic options that target these pathways are highlighted; they include coenzyme Q10, melatonin, curcumin, molecular hydrogen and N-acetylcysteine."	31509764
associated_with	Mfn2	Gene	ENTREZ:170731	PM2.5	Compound	MESH:D052638	"PM2.5 significantly affected the expression of specific mitochondrial fission/fusion markers (OPA1, Mfn1, Mfn2, Fis1, and Drp1) in rat lung;"	25560372
Hetionet::DuG::Disease:Gene	IFN-γ	Gene	ENTREZ:3458	CFS/ME	Disease	MONDO:0005404	"Interestingly, following mitogenic stimulation, cytokine secretion revealed significant increases in IL-10, IFN-γ and TNF-α at T1 in the CFS/ME group."	22571715
reduced_by	IL-10	Gene	ENTREZ:3586	CFS/ME	Disease	MONDO:0005404	"A significant decrease was observed at T2 in the CFS/ME group for IL-10 and IL-17A while at T3, IL-2 was increased in the CFS/ME group in comparison to the non-fatigued controls."	22571715
increased_by	CD8(-)CD4(-)	BiologicalProcess	GO:0043369	CFS/ME	Disease	MONDO:0005404	"Naïve CD8(+)T cells, CD8(-)CD4(-) and CD56(-)CD16(-) iNKT phenotypes, γδ2T cells and effector memory subsets were significantly increased in severe CFS/ME patients at 6 months."	26370228
associated_with	Drp1	Gene	ENTREZ:74006	PM2.5	Compound	MESH:D052638	"PM2.5 significantly affected the expression of specific mitochondrial fission/fusion markers (OPA1, Mfn1, Mfn2, Fis1, and Drp1) in rat lung;"	25560372
reduced_by	actin	Gene	ENTREZ:11459	PM2.5	Compound	MESH:D052638	Our findings suggest that dysregulation of actin cytoskeleton and down-regulation of miR-802 expression might be the underlying mechanism involved in the adverse effects of PM2.5 exposure.	27144337
Hetionet::DuG::Disease:Gene	IL-10	Gene	ENTREZ:3586	chronic fatigue syndrome	Disease	MONDO:0005404	IL-10 levels were higher in the patients with abnormal spinal fluids than in those with normal fluid or controls	15642984
associated_with	lung cancer	Disease	MONDO:0008903	PM2.5	Compound	MESH:D052638	"In addition, long-term exposure to PM2.5 demonstrated strong associations with malignant pulmonary disorders."	27144337
increased_by	PM2.5	Compound	MESH:D052638	chronic kidney disease (CKD)	Disease	MONDO:0005300	"Exposure to PM2.5, even at relatively low concentrations, is a risk factor for a lower estimated glomerular filtration rate and a faster decline in glomerular filtration rate. It has been estimated that the global burden of CKD attributable to PM2.5 is 6.95 million incident cases of CKD per year."	34343988
associated_with	kidney	Anatomy	MESH:D007668	PM2.5	Compound	MESH:D052638	"Female NZBW mice exposed to CAP showed decreased survival, increased circulating neutrophils, early onset of proteinuria and increased kidney weight with renal cortex enlargement when compared to NZBW mice exposed to FA."	33766080
INTACT::ASSOCIATION::Compound:Gene	BCL2	Gene	ENTREZ:596	Palmitic Acid	Compound	DrugBank:DB03796	TABLE 6 Prediction of top 10 candidate drugs for Long COVID and ME/CFS.	36189286
GNBR::Pa::Compound:Disease	long COVID	Disease	MONDO:0100233	Magnesium	Compound	DrugBank:DB14513	"Intriguingly, populations exhibiting low magnesium ion levels were found to be more susceptible to COVID-19, and magnesium supplementation has shown benefits in SARS-CoV-2 therapy, ME/CFS, and in maintaining endothelial cell function."	36043493
GNBR::J::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Vitamin E	Compound	DrugBank:DB00163	" In relation to the long COVID-19 problem, it was reported that a low level of serum alpha-tocopherol(Vitamin E) improved during the remission phase, as compared to the exacerbation phase, in patients with chronic fatigue syndrome."	35454144
associated_with	Interleukin-10	Compound	DrugBank:DB12880	chronic fatigue syndrome	Disease	MONDO:0005404	"increased complement split products, oxidative stress, and gene expression of interleukin-10."	34454716
increased_by	nitrosative stress	BiologicalProcess	GO:0051409	ME/CFS	Disease	MONDO:0005404	"Such abnormalities include extensive data showing that at least a subgroup has a pro-inflammatory state, increased oxidative and nitrosative stress, disruption of gut mucosal barriers and mitochondrial dysfunction together with dysregulated bioenergetics."	31509764
Hetionet::DdG::Disease:Gene	IL-7	Gene	ENTREZ:3574	ME/CFS	Disease	MONDO:0005404	"In combination with previous data, our work suggests that the clustered reduction of IL-7, IL-16 and VEGF-A may have physiological relevance to ME/CFS disease."	26615570
associated_with	Mfn1	Gene	ENTREZ:67414	PM2.5	Compound	MESH:D052638	"PM2.5 significantly affected the expression of specific mitochondrial fission/fusion markers (OPA1, Mfn1, Mfn2, Fis1, and Drp1) in rat lung;"	25560372
associated_with	Fis1	Gene	ENTREZ:66437	PM2.5	Compound	MESH:D052638	"PM2.5 significantly affected the expression of specific mitochondrial fission/fusion markers (OPA1, Mfn1, Mfn2, Fis1, and Drp1) in rat lung;"	25560372
induced_by	respiratory diseases	Disease	MONDO:0005087	PM2.5	Compound	MESH:D052638	"Damage to lung mitochondria may be one of the important mechanisms by which PM2.5 induces lung injury, contributing to respiratory diseases."	25560372
reduced_by	miR-802	Gene	ENTREZ:791074	PM2.5	Compound	MESH:D052638	Our findings suggest that dysregulation of actin cytoskeleton and down-regulation of miR-802 expression might be the underlying mechanism involved in the adverse effects of PM2.5 exposure.	27144337
activated_by	TGF-β/Smad3	Pathway	REACT:R-MMU-2173796	PM2.5	Compound	MESH:D052638	These results suggest that EMT up-regulation mediated by the TGF-β/Smad3 pathway plays a role in postnatal pulmonary dysfunction associated with maternal exposure to PM2.5.	28041981
increased_by	Systemic lupus erythematosus (SLE)	Disease	MONDO:0007915	PM2.5	Compound	MESH:D052638	This work shows that air pollution aggravates some SLE manifestations in lupus-prone mice.	33766080
upregulated_in	STAT3	Gene	ENTREZ:6774	TPO	Gene	ENTREZ:7173	The levels of TPO mRNA and protein increased by PBMT via the Src/ERK/STAT3 signaling pathway in hepatic cells	33501731
increased_by	depression	Disease	MESH:D003863	O3	Compound	DrugBank:DB12510	"Short-term changes to O3 exposure may increase the risk of depression related hospitalizations, especially on warm days."	37950397
increased_by	autism	Disease	MONDO:0005260	O3	Compound	DrugBank:DB12510	"Overall, our study indicates that prenatal exposure to environmentally relevant O3 may exacerbate the symptoms of autism, shedding light on possible molecular mechanisms and providing valuable insights into the pathogenesis of autism, especially concerning low-dose levels of those pollutants."	37676697
HSDN::has_symptom:Disease:Symptom	lethargy	Symptom	SYMP:0000075	long COVID	Disease	MONDO:0100233	"Among the reported symptoms, 59% of patients experienced fatigue or lethargy, 48.9% reported decreased stamina, 32.6% reported shortness of breath, 16.8% had a persistent cough, and 23.7% experienced anxiety following recovery from COVID-19."	37128534
alleviated_by	SCF	Compound	MESH:D019089	thrombocytopenia	Disease	MONDO:0002049	"SCF treatment can prevent the occurrence of chemotherapy-induced anemia and thrombocytopenia in mice, indicating a potential use of this cytokine in the supportive therapy of cancer patients."	21868766
associated_with	ATP	Compound	DrugBank:DB00171	chronic fatigue syndrome	Disease	MONDO:0005404	"Evidence suggests that problems generating and using the main energy molecule, adenosine triphosphate (ATP), may be a fundamental driver of ME/CFS."	34454716
associated_with	Lactic acid	Compound	DrugBank:DB04398	chronic fatigue syndrome	Disease	MONDO:0005404	"Other studies have reported high levels of lactate, or increased acidosis in the blood, cerebrospinal fluid, and muscles."	34454716
associated_with	Memory Disorders	Symptom	SYMP:0000719	chronic fatigue syndrome	Disease	MONDO:0005404	"Other abnormalities include decreased reaction time, working memory, and attention."	34454716
associated_with	Sleep Disorders	Symptom	SYMP:0000566	chronic fatigue syndrome	Disease	MONDO:0005404	"Patients experience various sleep disturbances, such as problems in falling or staying asleep."	34454716
GNBR::J::Compound:Disease	Hyperhomocysteinemia	Disease	MONDO:0004743	Homocysteine	Compound	DrugBank:DB04422	 Long COVID may be associated with an elevation of the biomarker homocysteine(Hcy) with resulting hyperhomocysteinemia (HHcy).	35056324
increased_by	oxidative	BiologicalProcess	GO:0006979	ME/CFS	Disease	MONDO:0005404	"Such abnormalities include extensive data showing that at least a subgroup has a pro-inflammatory state, increased oxidative and nitrosative stress, disruption of gut mucosal barriers and mitochondrial dysfunction together with dysregulated bioenergetics."	31509764
increased_by	glucose	Metabolite	HMDB:HMDB0000122	PM2.5	Compound	MESH:D052638	"PM2.5 exposure induced impaired glucose tolerance and inhibited glycogen synthesis, leading to hepatic insulin resistance indicated by higher glucose levels, higher area under the curve (AUC), and homeostasis model assessment of insulin resistance (HOMA-IR) values. We further found that PM2.5 exposure significantly increased the expressions of Nrf2 and Nrf2-regulated antioxidant genes."	28708100
increased_by	Nrf2	Gene	ENTREZ:18024	PM2.5	Compound	MESH:D052638	We further found that PM2.5 exposure significantly increased the expressions of Nrf2 and Nrf2-regulated antioxidant genes.	28708100
associated_with	PM2.5	Compound	MESH:D052638	male reproductive function	Disease	MONDO:0003150	PM2.5 exposure leads to oxidative stress impairment via PI3K/Akt signaling pathway on male reproduction in rats.	26115885
downregulated_in	Cx43	Gene	ENTREZ:14609	PM2.5	Compound	MESH:D052638	"After PM2.5 exposure, the levels of Cx43 was significantly downregulated, and SOD was upregulated and downregulated significantly with different dose, respectively. Protein expression of PI3K and p-Akt dramatically enhanced, and the later one being located in Sertoli cells, the upward or declining trend was in dose dependent."	26115885
downregulated_in	FOXO1	Gene	ENTREZ:56458	PM2.5	Compound	MESH:D052638	"PM2.5 exposure significantly increased the expression of the major components of the NACHT, LRR and PYD domains-containing protein3 (NALP3) inflammasome, accompanied by the increased expression of miR-183/96/182 targeting FOXO1 in testes."	30476817
increased_by	LRR	Gene	ENTREZ:69706	PM2.5	Compound	MESH:D052638	"PM2.5 exposure significantly increased the expression of the major components of the NACHT, LRR and PYD domains-containing protein3 (NALP3) inflammasome, accompanied by the increased expression of miR-183/96/182 targeting FOXO1 in testes."	30476817
induced_by	IL-6/STAT3 pathway	Pathway	REACT:R-HSA-9701898	PM2.5	Compound	MESH:D052638	"Our study suggests that PM2.5 could induce early renal tubule cell injury, contributing to EMT change, and the induction of IL-6/STAT3 pathway may play an important role in this process."	34884542
upregulated_in	STAT3	Gene	ENTREZ:6774	PM2.5	Compound	MESH:D052638	"Exposure to PM2.5 in the HK-2 cells could lead to an increase in interleukin-6 (IL-6) levels and cause the activation of signal transducer and activator of transcription 3 (STAT3), which is involved in EMT features of HK-2 cells."	34884542
associated_with	kidney disease	Disease	MONDO:0005300	PM2.5	Compound	MESH:D052638	Accumulating evidence suggests that PM2.5 (particulate matter with a diameter less than 2.5 μm) is associated with increased risk of kidney disease	34884542
increased_by	Bax	Gene	ENTREZ:581	PM2.5	Compound	MESH:D052638	"Our data showed that PM2.5 treatment significantly increased the disorganization of F-actin stress fibers, the damaged structural integrity of nucleus, the deranged and dissociated cytoskeleton in podocytes, increased the podocytes apoptosis rate, the levels of MDA and LDH, markedly up-regulated the protein expression of Bax, NF-κB/p65 and p-IκBα, down-regulated the protein expression of nephrin, podocin and Bcl-2"	32013860
associated_with	p-IκBα	Gene	ENTREZ:4792	PM2.5	Compound	MESH:D052638	"Our data showed that PM2.5 treatment significantly increased the disorganization of F-actin stress fibers, the damaged structural integrity of nucleus, the deranged and dissociated cytoskeleton in podocytes, increased the podocytes apoptosis rate, the levels of MDA and LDH, markedly up-regulated the protein expression of Bax, NF-κB/p65 and p-IκBα, down-regulated the protein expression of nephrin, podocin and Bcl-2"	32013860
reduced_by	podocin	Gene	ENTREZ:7827	PM2.5	Compound	MESH:D052638	"Our data showed that PM2.5 treatment significantly increased the disorganization of F-actin stress fibers, the damaged structural integrity of nucleus, the deranged and dissociated cytoskeleton in podocytes, increased the podocytes apoptosis rate, the levels of MDA and LDH, markedly up-regulated the protein expression of Bax, NF-κB/p65 and p-IκBα, down-regulated the protein expression of nephrin, podocin and Bcl-2"	32013860
inhibited_by	NF-κB	Pathway	KEGG:hsa04064	triptolide	Compound	DrugBank:DB12025	These results suggest that triptolide could prevent against PM2.5-induced podocytes injury via suppressing NF-κB signaling pathway.	32013860
Hetionet::CtD::Compound:Disease	romiplostim	Compound	DrugBank:DB05332	CIT	Disease	MONDO:0002049	"In conclusion, romiplostim was safe and effective for CIT in most solid tumor patients"	32499239
downregulated_in	PSD-95	Gene	ENTREZ:13385	O3	Compound	DrugBank:DB12510	"The results showed an aggravated risk of autism in mice offspring, which was embodied in decreased antioxidant contents, disturbed energy generation in mitochondria, as well as reduced expressions of protein kinase Mζ (PKMζ) and synaptic proteins [e.g., Synapsin 1 (SYN 1), postsynaptic density protein-95 (PSD-95)]."	37676697
INTACT::ASSOCIATION::Compound:Gene	SOD1	Gene	ENTREZ:6647	Copper	Compound	DrugBank:DB09130	TABLE 6 Prediction of top 10 candidate drugs for Long COVID and ME/CFS.	36189286
associated_with	coenzyme A	Metabolite	HMDB:HMDB0001423	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"They exhibited proteome alterations, including altered mitochondrial metabolism, centred on pyruvate dehydrogenase and coenzyme A metabolism, leading to a decreased capacity to provide adequate intracellular ATP levels."	34209852
associated_with	mitochondrial metabolism	Pathway	REACT:R-HSA-1592230	CFS	Disease	MONDO:0005404	Patients with CFS showed abnormalities in 20 metabolic pathways.	27573827
activated_by	JNK-mediated inhibitory signaling pathway	Pathway	KEGG:hsa_M00688	PM2.5	Compound	MESH:D052638	"Taken together, our study demonstrated PM2.5 exposure triggered Nrf2-mediated oxidative responses and activated the JNK-mediated inhibitory signaling pathway, resulting in hepatic insulin resistance."	28708100
activated_by	PI3K/Akt	Pathway	KEGG:hsa_M00676	PM2.5	Compound	MESH:D052638	PM2.5 exposure leads to oxidative stress impairment via PI3K/Akt signaling pathway on male reproduction in rats.	26115885
increased_by	PI3K	Gene	ENTREZ:18708	PM2.5	Compound	MESH:D052638	"After PM2.5 exposure, the levels of Cx43 was significantly downregulated, and SOD was upregulated and downregulated significantly with different dose, respectively. Protein expression of PI3K and p-Akt dramatically enhanced, and the later one being located in Sertoli cells, the upward or declining trend was in dose dependent."	26115885
associated_with	male reproductive disorders	Disease	MONDO:0003150	PM2.5	Compound	MESH:D052638	Exposure to ambient fine particular matter (PM2.5) has been clearly associated with male reproductive disorders.	30476817
increased_by	NACHT	Gene	ENTREZ:319555	PM2.5	Compound	MESH:D052638	"PM2.5 exposure significantly increased the expression of the major components of the NACHT, LRR and PYD domains-containing protein3 (NALP3) inflammasome, accompanied by the increased expression of miR-183/96/182 targeting FOXO1 in testes."	30476817
increased_by	NALP3	Gene	ENTREZ:216799	PM2.5	Compound	MESH:D052638	"PM2.5 exposure significantly increased the expression of the major components of the NACHT, LRR and PYD domains-containing protein3 (NALP3) inflammasome, accompanied by the increased expression of miR-183/96/182 targeting FOXO1 in testes."	30476817
upregulated_in	IL-6	Gene	ENTREZ:16193	PM2.5	Compound	MESH:D052638	"Exposure to PM2.5 in the HK-2 cells could lead to an increase in interleukin-6 (IL-6) levels and cause the activation of signal transducer and activator of transcription 3 (STAT3), which is involved in EMT features of HK-2 cells."	34884542
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Fluvoxamine	Compound	DrugBank:DB00176	It is proposed that the potent sigma-1 receptor agonist fluvoxamine [a selective serotonin reuptake inhibitor (SSRI)] may be a potential therapeutic drug for long COVID.	37402856
GNBR::Pa::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Oxaloacetate Ion	Compound	DrugBank:DB02637	"Potential clinical applications with anhydrous enol-oxaloacetate, currently a commercial nutritional supplement, may help reduce fatigue in ME/CFS and Long-COVID patients."	35764955
GNBR::Pa::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Tocilizumab	Compound	DrugBank:DB06273	34588793	34588793
Hetionet::DpS::Disease:Symptom	chronic fatigue syndrome	Disease	MONDO:0005404	breathing problems	Symptom	SYMP:0000868	"TABLE 3 Comparison of symptoms, ME/CFS, and Long COVID."	37342500
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Clopidogrel	Compound	DrugBank:DB00758	Long COVID patients might be treated by one month of dual antiplatelet therapy (DAPT) (Clopidogrel 75 mg/Aspirin 75 mg) once a day.	35195253
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Nitroaspirin	Compound	DrugBank:DB12445	 Long COVID patients might be treated by one month of dual antiplatelet therapy (DAPT) (Clopidogrel 75 mg/Aspirin 75 mg) once a day.	35195253
GNBR::T::Compound:Disease	long COVID	Disease	MONDO:0100233	Pantoprazole	Compound	DrugBank:DB00213	Long COVID patients might be treated by one month of a proton pump inhibitor (PPI) (e.g. pantoprazole 40 mg/day for gastric protection).	35195253
GNBR::J::Compound:Disease	chronic fatigue syndrome	Disease	MONDO:0005404	Magnesium	Compound	DrugBank:DB14513	Latent magnesium deficiency is associated with myalgic encephalomyelitis/chronic fatigue syndrome(ME/CFS).	35454144
Hetionet::DpS::Disease:Symptom	long COVID	Disease	MONDO:0100233	Diarrhea	Symptom	SYMP:0000570	"These symptoms include fatigue, cognitive problems, headaches, disrupted sleep, myalgias and arthralgias, post-exertional malaise, orthostatic intolerance, tachyarrhythmias and gastrointestinal complaints such as diarrhea."	37342500
INTACT::ASSOCIATION::Compound:Gene	EGF	Gene	ENTREZ:1950	Dexamethasone	Compound	DrugBank:DB01234	TABLE 6 Prediction of top 10 candidate drugs for Long COVID and ME/CFS.	36189286
INTACT::ASSOCIATION::Compound:Gene	BCL2	Gene	ENTREZ:596	Dexamethasone	Compound	DrugBank:DB01234	 TABLE 6 Prediction of top 10 candidate drugs for Long COVID and ME/CFS.	36189286
INTACT::ASSOCIATION::Compound:Gene	S100A9	Gene	ENTREZ:6280	Dexamethasone	Compound	DrugBank:DB01234	TABLE 6 Prediction of top 10 candidate drugs for Long COVID and ME/CFS.	36189286
