relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmids	resource
BioMedGPS::AssociatedWith::Gene:Symptom	aspartate transaminase	Gene	ENTREZ:2805	dyspnea	Symptom	SYMP:0019153	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Compound	Extracellular vesicles (EVs)	BiologicalProcess	GO:0140112	phosphatidylserine (PS)	Compound	MESH:D010718	"Furthermore, EVs express tissue factor and phosphatidylserine (PS) which aggravate thrombosis."	35449732	CustomKB
BioMedGPS::AssociatedWith::Metabolite:BiologicalProcess	glucose	Metabolite	HMDB:HMDB0000122	immunosuppression	BiologicalProcess	GO:0002683	"This immunosuppression, along with observed enhancement of compensatory antibody responses to counter the microbial translocation, was associated with and may be mediated by alterations in glucose and citrate metabolism and an IL-10 immunoregulatory response."	37396339	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Compound	Natural Killer cells	BiologicalProcess	GO:0002228	fatty acids	Compound	MESH:D005227	"We examined samples obtained from at least 8 and as many as 20 subjects for immune cell fatty acid characterization in a variety of experiments and found that all three isolated cell types increased their utilization of lipids and levels of pertinent proteins involved in this metabolic pathway in ME/CFS samples, particularly during higher energy demands and activation."	36768336	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Compound	CD4+ T cells	BiologicalProcess	GO:0035710	fatty acids	Compound	MESH:D005227	"We examined samples obtained from at least 8 and as many as 20 subjects for immune cell fatty acid characterization in a variety of experiments and found that all three isolated cell types increased their utilization of lipids and levels of pertinent proteins involved in this metabolic pathway in ME/CFS samples, particularly during higher energy demands and activation."	36768336	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Compound	CD8+ T cells	BiologicalProcess	GO:0035710	fatty acids	Compound	MESH:D005227	"We examined samples obtained from at least 8 and as many as 20 subjects for immune cell fatty acid characterization in a variety of experiments and found that all three isolated cell types increased their utilization of lipids and levels of pertinent proteins involved in this metabolic pathway in ME/CFS samples, particularly during higher energy demands and activation."	36768336	CustomKB
BioMedGPS::AssociatedWith::Gene:BiologicalProcess	ATG13	Gene	ENTREZ:9776	observed stress response in microglial cells	BiologicalProcess	GO:0002282	"ME/CFS patients evoke the production of reactive oxygen species (ROS) and nitric oxide in human HMC3 microglial cells, whereas neutralization of ATG13 strongly diminishes the production of ROS and NO, suggesting that ATG13 plays a role in the observed stress response in microglial cells."	35487443	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	cerebral blood flow	BiologicalProcess	GO:0120275	post-acute sequelae COVID	Disease	MONDO:0100233	"Because the two key features - post exertional malaise and decreased cerebral blood flow - are also recognized in a subset of patients with post-acute sequelae COVID, we suggest that our findings may also be pertinent to this entity."	35614970	CustomKB
BioMedGPS::AssociatedWith::Pathway:Metabolite	kynurenine pathway (KP)	Pathway	KEGG:hsa00380	nicotinamide adenine dinucleotide (NAD+)	Metabolite	HMDB:HMDB0002012	"Hyperactivation of the KP, whether compensatory or a driving mechanism of degeneration can limit the availability of NAD+ and exacerbate the symptoms of ME/CFS."	35656104	CustomKB
BioMedGPS::AssociatedWith::Pathway:Disease	kynurenine pathway (KP)	Pathway	KEGG:hsa00380	ME/CFS	Disease	MONDO:0005404	"Hyperactivation of the KP, whether compensatory or a driving mechanism of degeneration can limit the availability of NAD+ and exacerbate the symptoms of ME/CFS."	35656104	CustomKB
BioMedGPS::AssociatedWith::Disease:Compound	ME/CFS	Disease	MONDO:0005404	plasmalogen	Compound	MESH:D010955	"Along with the promising outcomes of plasmalogen replacement therapy (PRT) for various neurodegenerative/neuropsychiatric disorders, we sought to propose PRT as a simple, effective, and safe strategy for the potential relief of the debilitating symptoms associated with ME/CFS and post-COVID-19 syndrome."	37423295	CustomKB
BioMedGPS::AssociatedWith::Disease:Compound	post-COVID-19	Disease	MONDO:0100233	plasmalogen	Compound	MESH:C022403	"Along with the promising outcomes of plasmalogen replacement therapy (PRT) for various neurodegenerative/neuropsychiatric disorders, we sought to propose PRT as a simple, effective, and safe strategy for the potential relief of the debilitating symptoms associated with ME/CFS and post-COVID-19 syndrome."	37423295	CustomKB
BioMedGPS::AssociatedWith::Pathway:Metabolite	kynurenine pathway	Pathway	KEGG:hsa00380	nicotinamide adenine dinucleotide (NADH)	Metabolite	HMDB:HMDB0001487	KP plays a central role in cellular energy production through the production of nicotinamide adenine dinucleotide (NADH).	35821534	CustomKB
BioMedGPS::AssociatedWith::Pathway:BiologicalProcess	kynurenine pathway	Pathway	KEGG:hsa00380	immune response	BiologicalProcess	GO:0006955	"In addition, this pathway has been shown to mediate immune response and neuroinflammation through its metabolites. This review, we will discuss the pathology and management of ME/CFS and provide evidence pertaining KP abnormalities and symptoms that are classic characteristics of ME/CFS."	35821534	CustomKB
BioMedGPS::AssociatedWith::Pathway:Symptom	kynurenine pathway	Pathway	KEGG:hsa00380	neuroinflammation	Symptom	MESH:D020078	"In addition, this pathway has been shown to mediate immune response and neuroinflammation through its metabolites. This review, we will discuss the pathology and management of ME/CFS and provide evidence pertaining KP abnormalities and symptoms that are classic characteristics of ME/CFS."	35821534	CustomKB
BioMedGPS::AssociatedWith::Pathway:Disease	Tryptophan catabolism	Pathway	REACT:R-HSA-71240	chronic fatigue syndrome	Disease	MONDO:0005404	"Hyperactivation of the kynurenine pathway, which is the main catabolic route for tryptophan, whether compensatory or a driving mechanism of degeneration can limit the availability of NAD+ and exacerbate the symptoms of ME/CFS."	35656104	CustomKB
BioMedGPS::AssociatedWith::Compound:Disease	ATP	Compound	DrugBank:DB00171	chronic fatigue syndrome	Disease	MONDO:0005404	"Evidence suggests that problems generating and using the main energy molecule, adenosine triphosphate (ATP), may be a fundamental driver of ME/CFS."	34454716	CustomKB
BioMedGPS::AssociatedWith::Compound:Disease	Lactic acid	Compound	DrugBank:DB04398	chronic fatigue syndrome	Disease	MONDO:0005404	"Other studies have reported high levels of lactate, or increased acidosis in the blood, cerebrospinal fluid, and muscles."	34454716	CustomKB
BioMedGPS::AssociatedWith::Compound:Disease	Interleukin-10	Compound	DrugBank:DB12880	chronic fatigue syndrome	Disease	MONDO:0005404	"increased complement split products, oxidative stress, and gene expression of interleukin-10."	34454716	CustomKB
BioMedGPS::AssociatedWith::Symptom:Disease	Sleep Disorders	Symptom	SYMP:0000566	chronic fatigue syndrome	Disease	MONDO:0005404	"Patients experience various sleep disturbances, such as problems in falling or staying asleep."	34454716	CustomKB
BioMedGPS::AssociatedWith::Symptom:Disease	Memory Disorders	Symptom	SYMP:0000719	chronic fatigue syndrome	Disease	MONDO:0005404	"Other abnormalities include decreased reaction time, working memory, and attention."	34454716	CustomKB
BioMedGPS::AssociatedWith::Disease:BiologicalProcess	Chronic Fatigue Syndrome (CFS/ME)	Disease	MONDO:0005404	NK-cells	BiologicalProcess	GO:0039671	"Transfecting primary NK cells with hsa-miR-99b or hsa-miR-330-3p, resulted in gene expression changes consistent with NK cell activation but diminished cytotoxicity, suggesting that defective NK cell function contributes to CFS/ME pathology."	26967895	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Gene	impairment of autophagy	BiologicalProcess	GO:0010507	ATG13	Gene	ENTREZ:9776	"ME/CFS patients evoke the production of reactive oxygen species (ROS) and nitric oxide in human HMC3 microglial cells, whereas neutralization of ATG13 strongly diminishes the production of ROS and NO, suggesting that ATG13 plays a role in the observed stress response in microglial cells."	35487443	CustomKB
BioMedGPS::AssociatedWith::Anatomy:Compound	epipharyngeal mucosa	Anatomy	MESH:D009305	zinc chloride	Compound	DrugBank:DB14533	These results suggest that EAT has potential as a novel method for long COVID treatment.	35632649	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	immunoglobulin levels	BiologicalProcess	GO:0048305	Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)	Disease	MONDO:0005404	"Immune dysregulation in ME/CFS has been frequently described including changes in cytokine profiles and immunoglobulin levels, T- and B-cell phenotype and a decrease of natural killer cell cytotoxicity."	29635081	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	changes in cytokine profiles	BiologicalProcess	GO:0000910	Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)	Disease	MONDO:0005404	"Immune dysregulation in ME/CFS has been frequently described including changes in cytokine profiles and immunoglobulin levels, T- and B-cell phenotype and a decrease of natural killer cell cytotoxicity."	29635081	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	T- and B-cell phenotype	BiologicalProcess	GO:0036166	Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)	Disease	MONDO:0005404	"Immune dysregulation in ME/CFS has been frequently described including changes in cytokine profiles and immunoglobulin levels, T- and B-cell phenotype and a decrease of natural killer cell cytotoxicity."	29635081	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	natural killer cell cytotoxicity	BiologicalProcess	GO:0002728	Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)	Disease	MONDO:0005404	"Immune dysregulation in ME/CFS has been frequently described including changes in cytokine profiles and immunoglobulin levels, T- and B-cell phenotype and a decrease of natural killer cell cytotoxicity."	29635081	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:BiologicalProcess	mitochondrial membrane potential	BiologicalProcess	GO:0010917	CD8+ T cell	BiologicalProcess	GO:0036037	"Both CD4+ and CD8+ T cells from patients with ME/CFS had reduced glycolysis at rest, whereas CD8+ T cells also had reduced glycolysis following activation."	31830003	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Compound	DNA methylation modifications	BiologicalProcess	GO:0006306	glucocorticoid	Compound	MESH:D005938	"Among ME/CFS patients, glucocorticoid sensitivity was associated with differential methylation at 13 loci."	28231836	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	NK cytotoxic activity	BiologicalProcess	GO:0051132	CFS/ME	Disease	MONDO:0005404	"Furthermore, NK cytotoxic activity may be a suitable biomarker for diagnosing CFS/ME as it was consistently decreased during the course of the 12 months study."	22571715	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	regulatory T (Tregs)	BiologicalProcess	GO:0032834	Chronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME)	Disease	MONDO:0005404	We observed a significant increase in Tregs in the CFS/ME group (p≤0.05) compared to the healthy control group.	27001659	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	invariant Natural Killer T (iNKT)	BiologicalProcess	GO:0030101	Chronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME)	Disease	MONDO:0005404	"Conversely, CD4+iNKT percentage of iNKT, was significantly increased in the CFS/ME group compared with healthy controls and the double-negative iNKT percentage of iNKT significantly decreased compared with the healthy control group."	27001659	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	redox status	BiologicalProcess	GO:0009455	ME/CFS	Disease	MONDO:0005404	"In ME/CFS patients, severe alterations of the muscle excitability, the redox status, as well as the CD26-expression level are correlated with a marked impairment of the quality-of-life."	27580693	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	hypothalamic-pituitary-adrenal (HPA) axis function	BiologicalProcess	GO:0006950	ME/CFS	Disease	MONDO:0005404	"Our results indicate DNA methylation modifications in cellular metabolism in ME/CFS despite a heterogeneous patient population, implicating these processes in immune and HPA axis dysfunction in ME/CFS."	28231836	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	hyperosmotic stress	BiologicalProcess	GO:0006972	ME/CFS	Disease	MONDO:0005404	We believe the observed robust impedance modulation difference of the samples in response to hyperosmotic stress can potentially provide us with a unique indicator of ME/CFS.	31036648	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	NK cell cytotoxicity	BiologicalProcess	GO:0042267	ME/CFS	Disease	MONDO:0005404	"A consistent finding among all papers included in this review was impaired NK cell cytotoxicity, suggesting that it is a reliable and appropriate cellular model for continued research in ME/CFS patients."	31727160	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	CD8+ T cell	BiologicalProcess	GO:0036037	ME/CFS	Disease	MONDO:0005404	We found that ME/CFS CD8+ T cells had reduced mitochondrial membrane potential compared with those from healthy controls.	31830003	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	extracellular vesicles (EVs)	BiologicalProcess	GO:0140112	ME/CFS	Disease	MONDO:0005404	"Our results show that routine creatine kinase (CK) blood values, plasma EVs physical characteristics (including counts, size and zeta-potential), and a limited number of differentially expressed PBMC and EV miRNAs appear significantly associated with severe ME/CFS (p < 0.05)."	32034172	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	chronic fatigue syndrome/myalgic encephalomyelitis (ME/CFS)	Disease	MONDO:0005404	cerebral blood flow (CBF)	BiologicalProcess	GO:0120275	"During HUT, extracranial Doppler measurements demonstrate that CBF is reduced in ME/CFS patients with POTS, dOH, and even in those without HR/BP abnormalities."	32140630	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	cerebral blood flow (CBF)	BiologicalProcess	GO:0120275	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	Using a less demanding 20 degree tilt test for 15 min in severe ME/CFS patients resulted in a mean CBF decline of 27%.	32545797	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	long-haul COVID-19	Disease	MONDO:0100233	cerebral blood flow	BiologicalProcess	GO:0120275	The cerebral blood flow reduction was larger in the long-haul COVID-19 patients compared with the ME/CFS patients with a normal heart rate and blood pressure response.	35056336	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	ME/CFS	Disease	MONDO:0005404	Cerebral blood flow	BiologicalProcess	GO:0120275	Cerebral blood flow and cardiac index reductions during tilt were more severely impaired than in many patients with ME/CFS.	35056336	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	TRPM3-dependent Ca2+ influx	BiologicalProcess	GO:0070509	ME/CFS	Disease	MONDO:0005404	TRPM3-dependent Ca2+ influx was restored in ME/CFS patients following overnight treatment of isolated NK cells with NTX in vitro.	35172836	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	activation of microglia	BiologicalProcess	GO:0001774	long COVID-19	Disease	MONDO:0100233	The case is made that this shared chronicity arises from a positive feedback loop causing the persistence of the activation of microglia by the TNF that these cells generate.	35174650	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	platelet aggregation	BiologicalProcess	GO:0070527	ME/CFS	Disease	MONDO:0005404	"Lastly, we observed a slight increase in platelet aggregation in stimulated cells, suggestive of a possible role of platelet activity in ME/CFS pathophysiology and disease severity."	35943990	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	apoptotic and necrotic cell death in T cells	BiologicalProcess	GO:0006924	ME/CFS	Disease	MONDO:0005404	TEM analysis of CD3/CD28-stimulated T cells suggested a significant increase in the levels of apoptotic and necrotic cell death in T cells from ME/CFS patients (over 2-fold).	35943990	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	lipid storage	BiologicalProcess	GO:0019915	ME/CFS	Disease	MONDO:0005404	We also found a large increase in intracellular giant lipid droplet-like organelles in the stimulated PBMCs from the extremely severe ME/CFS patient potentially indicative of a lipid storage disorder.	35943990	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	CD4+iNKT	BiologicalProcess	GO:0045224	Chronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME)	Disease	MONDO:0005404	"CD4+iNKT percentage of iNKT, was significantly increased in the CFS/ME group compared with healthy controls and the double-negative iNKT percentage of iNKT significantly decreased compared with the healthy control group."	27001659	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	CD8(-)CD4(-)	BiologicalProcess	GO:0043369	CFS/ME	Disease	MONDO:0005404	"Naïve CD8(+)T cells, CD8(-)CD4(-) and CD56(-)CD16(-) iNKT phenotypes, γδ2T cells and effector memory subsets were significantly increased in severe CFS/ME patients at 6 months."	26370228	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	terminally differentiated effector CD8+ T cell	BiologicalProcess	GO:0043374	ME/CFS	Disease	MONDO:0005404	"In contrast, the T cell compartment was altered in ME/CFS, with increased proportions of effector memory CD8+ T cells and decreased proportions of terminally differentiated effector CD8+ T cells."	31057538	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	mucosal associated invariant T cells (MAIT) cell	BiologicalProcess	GO:0002403	ME/CFS	Disease	MONDO:0005404	"Conversely, there was a significantly increased proportion of mucosal associated invariant T cells (MAIT) cells, especially in severely affected ME/CFS patients."	31057538	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	effector memory CD8+ T cell	BiologicalProcess	GO:0035709	ME/CFS	Disease	MONDO:0005404	"In contrast, the T cell compartment was altered in ME/CFS, with increased proportions of effector memory CD8+ T cells and decreased proportions of terminally differentiated effector CD8+ T cells."	31057538	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	nitrosative stress	BiologicalProcess	GO:0051409	ME/CFS	Disease	MONDO:0005404	"Such abnormalities include extensive data showing that at least a subgroup has a pro-inflammatory state, increased oxidative and nitrosative stress, disruption of gut mucosal barriers and mitochondrial dysfunction together with dysregulated bioenergetics."	31509764	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	oxidative	BiologicalProcess	GO:0006979	ME/CFS	Disease	MONDO:0005404	"Such abnormalities include extensive data showing that at least a subgroup has a pro-inflammatory state, increased oxidative and nitrosative stress, disruption of gut mucosal barriers and mitochondrial dysfunction together with dysregulated bioenergetics."	31509764	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	cerebral blood flow	BiologicalProcess	GO:0120275	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"Overall, controls had higher BOLD signals suggesting reduced global cerebral blood flow in ME/CFS."	34975370	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	cerebral blood flow (CBF)	BiologicalProcess	GO:0120275	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"In ME/CFS patients with orthostatic intolerance symptoms, cardiac output and CBF are significantly reduced during a tilt test."	35056360	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Disease	innate immune response	BiologicalProcess	GO:0045087	ME/CFS	Disease	MONDO:0005404	"Relying on data from two independent pairs of ME/CFS and control cohorts, one at rest and one undergoing an exercise challenge, we identify a state of suppressed acute-phase innate immune response to microbial translocation in conjunction with a compromised gut epithelium in ME/CFS."	37396339	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Symptom	orthostatic intolerance	Symptom	MESH:D054971	cerebral blood flow (CBF)	BiologicalProcess	GO:0120275	"This study shows that orthostatic intolerance symptoms are related to CBF reduction, and that the majority of ME/CFS patients (90%) show an abnormal cerebral flow reduction during orthostatic stress testing."	32140630	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Symptom	glutamate metabolism	BiologicalProcess	GO:0006536	Post-exertional malaise (PEM)	Symptom	SYMP:0019176	"Numerous altered pathways were observed to depend on glutamate metabolism, a crucial component of the homeostasis of many organs in the body, including the brain."	35358096	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Symptom	platelet	BiologicalProcess	GO:0030168	dyspnea	Symptom	SYMP:0019153	"The multivariate regression analyses revealed that a lower platelet count and lower LDH levels were associated but just explaining 4.5% of the variance, of suffering from post-COVID fatigue and dyspnea, respectively."	35381597	CustomKB
BioMedGPS::AssociatedWith::BiologicalProcess:Symptom	platelet	BiologicalProcess	GO:0030168	fatigue	Symptom	SYMP:0019177	"The multivariate regression analyses revealed that a lower platelet count and lower LDH levels were associated but just explaining 4.5% of the variance, of suffering from post-COVID fatigue and dyspnea, respectively."	35381597	CustomKB
BioMedGPS::AssociatedWith::CellularComponent:Disease	extracellular vesicles (EVs)	CellularComponent	GO:1903561	CFS/ME	Disease	MONDO:0005404	These findings provide preliminary evidence that blood-derived EVs may distinguish CFS/ME patients from HCs.	29696075	CustomKB
BioMedGPS::AssociatedWith::Compound:Disease	TBARS	Compound	MESH:D017392	Myalgic encephalomyelitis chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"the LHS score was negatively correlated with the exercise-induced TBARS increase and positively correlated with CD26-expression while the pain component of SF-36 was negatively correlated with CD26-expression; (4) the TBARS increase and the M-wave decrease were the highest, and the CD26-expression level the lowest in patients who had been submitted to infectious stressors."	27580693	CustomKB
BioMedGPS::AssociatedWith::Compound:Disease	glucocorticoids	Compound	MESH:D005938	Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)	Disease	MONDO:0005404	"We detected 12,608 differentially methylated sites between ME/CFS patients and healthy controls predominantly localized to cellular metabolism genes, some of which were also related to self-reported quality of life health scores. Among ME/CFS patients, glucocorticoid sensitivity was associated with differential methylation at 13 loci."	28231836	CustomKB
BioMedGPS::AssociatedWith::Gene:Symptom	fatigue	Symptom	SYMP:0019177	WASF3	Gene	ENTREZ:10810	"In particular, the gene WASF3 (aka WAVE3) possibly regulates brain cytokines involved in the mechanism of fatigue through the p38 MAPK regulatory pathway."	21584188	CustomKB
BioMedGPS::AssociatedWith::Gene:Symptom	CXCL9 (MIG)	Gene	ENTREZ:4283	fatigue	Symptom	MESH:D005221	Only CXCL9 (MIG) inversely correlated with fatigue duration.	28760971	CustomKB
BioMedGPS::AssociatedWith::Gene:Symptom	lactate dehydrogenase (LDH)	Gene	ENTREZ:3939	fatigue	Symptom	SYMP:0019177	"The multivariate regression analyses revealed that a lower platelet count and lower LDH levels were associated but just explaining 4.5% of the variance, of suffering from post-COVID fatigue and dyspnea, respectively."	35381597	CustomKB
BioMedGPS::AssociatedWith::Gene:Symptom	lactate dehydrogenase (LDH)	Gene	ENTREZ:3939	dyspnea	Symptom	SYMP:0019153	"The multivariate regression analyses revealed that a lower platelet count and lower LDH levels were associated but just explaining 4.5% of the variance, of suffering from post-COVID fatigue and dyspnea, respectively."	35381597	CustomKB
