source_id	ttd_source_id	source_name	target_id	target_name	ttd_target_id	source_type	target_type	relation_type	resource
SYMBOL:CEP290	T01674	CEP290	ICD-11:9B70	Inherited retinal dystrophy	ICD-11:9B70	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ADRA2C	T01777	ADRA2C	ICD-11:CA08	Vasomotor/allergic rhinitis	ICD-11:CA08	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T01822		ICD-11:1F40-1F45	Malaria	ICD-11:1F40-1F45	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T01840		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ITGB1	T01851	ITGB1	ICD-11:9B71	Retinopathy	ICD-11:9B71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Malaria ht1	T01865	Malaria ht1	ICD-11:1F40-1F45	Malaria	ICD-11:1F40-1F45	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KLK2	T01908	KLK2	ICD-11:2C82	Prostate cancer	ICD-11:2C82	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Malaria FabZ	T01943	Malaria FabZ	ICD-11:DB93	Hepatic fibrosis/cirrhosis	ICD-11:DB93	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MST1R	T01973	MST1R	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PDE4D	T02001	PDE4D	ICD-11:5B55-5B5F	Vitamin deficiency	ICD-11:5B55-5B5F	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ARSB	T02119	ARSB	ICD-11:5C56	Lysosomal disease	ICD-11:5C56	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GCLM	T02134	GCLM	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Stre-coc parC	T02228	Stre-coc parC	ICD-11:AA00-AA13	Otitis externa	ICD-11:AA00-AA13	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T02246		ICD-11:3A50	Thalassaemia	ICD-11:3A50	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:POLQ	T02258	POLQ	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:POLN	T02258	POLN	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:POLB	T02258	POLB	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:POLG2	T02258	POLG2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:POLG	T02258	POLG	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:POLE2	T02258	POLE2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:POLD4	T02258	POLD4	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:;POLD1	T02258	;POLD1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KCNT1	T02262	KCNT1	ICD-11:2B30	Hodgkin lymphoma	ICD-11:2B30	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TNFSF13B	T02318	TNFSF13B	ICD-11:3B64	Thrombocytopenia	ICD-11:3B64	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GHR	T02333	GHR	ICD-11:5B11	Short stature	ICD-11:5B11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PIKFYVE	T02469	PIKFYVE	ICD-11:2A82	Mature B-cell leukaemia	ICD-11:2A82	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CD2	T02532	CD2	ICD-11:EA90	Psoriasis	ICD-11:EA90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SCN4A	T02546	SCN4A	ICD-11:MG30-MG3Z	Pain	ICD-11:MG30-MG3Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DRD3	T02551	DRD3	ICD-11:6C4Z	Unspecific substance use disorder	ICD-11:6C4Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PTGES	T02562	PTGES	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MycB leuS	T02584	MycB leuS	ICD-11:1B10-1B14	HIV-infected patients with tuberculosis	ICD-11:1B10-1B14	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HIV env	T02591	HIV env	ICD-11:1C60-1C62	Human immunodeficiency virus disease	ICD-11:1C60-1C62	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T02598		ICD-11:1A00-CA43	Postoperative inflammation	ICD-11:1A00-CA43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TF	T02617	TF	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:BIRC5	T02677	BIRC5	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Bact DHFR	T02702	Bact DHFR	ICD-11:CA40	Pneumonia	ICD-11:CA40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NOS2	T02703	NOS2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GRM3	T02719	GRM3	ICD-11:6A20	Schizophrenia	ICD-11:6A20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NTSR1	T02728	NTSR1	ICD-11:6C40	Substance abuse	ICD-11:6C40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CCR3	T02752	CCR3	ICD-11:CA08	Vasomotor/allergic rhinitis	ICD-11:CA08	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ABCC9	T02777	ABCC9	ICD-11:5A11	Type 2 diabetes mellitus	ICD-11:5A11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DMD	T02779	DMD	ICD-11:8C70	Muscular dystrophy	ICD-11:8C70	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IFNB1	T02808	IFNB1	ICD-11:5A11	Type 2 diabetes mellitus	ICD-11:5A11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL1RAP	T02974	IL1RAP	ICD-11:2C25	Lung cancer	ICD-11:2C25	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T03006		ICD-11:1A00-CA43	Postoperative inflammation	ICD-11:1A00-CA43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KRAS	T03046	KRAS	ICD-11:2C10	Pancreatic cancer	ICD-11:2C10	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PRAME	T03189	PRAME	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:RPS6KA3	T03279	RPS6KA3	ICD-11:2A82	Mature B-cell leukaemia	ICD-11:2A82	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL2RA	T03313	IL2RA	ICD-11:NE84	Transplant rejection	ICD-11:NE84	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL4R	T03346	IL4R	ICD-11:4A42	Systemic sclerosis	ICD-11:4A42	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PTGS1	T03403	PTGS1	ICD-11:GC2Z	Urinary system disease	ICD-11:GC2Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PTGS2	T03403	PTGS2	ICD-11:GC2Z	Urinary system disease	ICD-11:GC2Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MycB mmpL3	T03410	MycB mmpL3	ICD-11:1B10-1B14	HIV-infected patients with tuberculosis	ICD-11:1B10-1B14	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CFB	T03485	CFB	ICD-11:MF8Y	Urinary system clinical sympton	ICD-11:MF8Y	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MMP12	T03500	MMP12	ICD-11:2C90	Renal cell carcinoma	ICD-11:2C90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T03513		ICD-11:2B72	Stomach cancer	ICD-11:2B72	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FCGR2B	T03573	FCGR2B	ICD-11:4A43	Sjogren syndrome	ICD-11:4A43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CREBBP	T03634	CREBBP	ICD-11:4A42	Systemic sclerosis	ICD-11:4A42	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SNCA	T03644	SNCA	ICD-11:8A00	Parkinsonism	ICD-11:8A00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ADA	T03661	ADA	ICD-11:8A40	Multiple sclerosis	ICD-11:8A40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ADAM9	T03672	ADAM9	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:LTA4H	T03691	LTA4H	ICD-11:DD71	Ulcerative colitis	ICD-11:DD71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:BCL2L2	T03755	BCL2L2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PPARG	T03818	PPARG	ICD-11:5A11	Type 2 diabetes mellitus	ICD-11:5A11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HRAS	T03871	HRAS	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HCV NS3/4A	T03896	HCV NS3/4A	ICD-11:1E50-1E51	Hepatitis virus infection	ICD-11:1E50-1E51	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATP1A1	T03917	ATP1A1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATP1A2	T03917	ATP1A2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATP1A3	T03917	ATP1A3	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATP1B1	T03917	ATP1B1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATP1B2	T03917	ATP1B2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATP1B3	T03917	ATP1B3	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T03963		ICD-11:8C0Z	Neuropathy	ICD-11:8C0Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PJ top2	T03985	PJ top2	ICD-11:1C60-1C62	Human immunodeficiency virus disease	ICD-11:1C60-1C62	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T04079		ICD-11:1F40-1F45	Malaria	ICD-11:1F40-1F45	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ERBB3	T04084	ERBB3	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Stap-coc hly	T04321	Stap-coc hly	ICD-11:CA40	Pneumonia	ICD-11:CA40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MAP3K7	T04361	MAP3K7	ICD-11:2A85	Mature B-cell lymphoma	ICD-11:2A85	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KCNN3	T04388	KCNN3	ICD-11:8B42	Myelopathy	ICD-11:8B42	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T04389		ICD-11:DD71	Ulcerative colitis	ICD-11:DD71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T04394		ICD-11:BD10-BD1Z	Heart failure	ICD-11:BD10-BD1Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DLG4	T04507	DLG4	ICD-11:8B20	Ischaemic/haemorrhagic stroke	ICD-11:8B20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CHRNA1	T04689	CHRNA1	ICD-11:MB47	Tonus and reflex abnormality	ICD-11:MB47	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATIC	T04741	ATIC	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CXCL12	T04773	CXCL12	ICD-11:9B71	Retinopathy	ICD-11:9B71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Malaria Pfmrk	T04820	Malaria Pfmrk	ICD-11:1F40-1F45	Malaria	ICD-11:1F40-1F45	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CCL20	T04894	CCL20	ICD-11:FA21	Psoriatic arthritis	ICD-11:FA21	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CAPN2	T04902	CAPN2	ICD-11:1F8Y	Trematode disease	ICD-11:1F8Y	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HCV NS4B	T04911	HCV NS4B	ICD-11:1E50-1E51	Hepatitis virus infection	ICD-11:1E50-1E51	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T04977		ICD-11:5C51	Inborn carbohydrate metabolism error	ICD-11:5C51	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PIK3CB	T05031	PIK3CB	ICD-11:DB61-GB90	Thrombosis	ICD-11:DB61-GB90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T05034		ICD-11:5B80-5B81	Obesity	ICD-11:5B80-5B81	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ANO1	T05089	ANO1	ICD-11:1A2Z	Viral intestinal infection	ICD-11:1A2Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HDAC3	T05090	HDAC3	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CMA1	T05114	CMA1	ICD-11:BA41-BA43	Myocardial infarction	ICD-11:BA41-BA43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HCV NS5B	T05152	HCV NS5B	ICD-11:1A24-1D9Z	Virus infection	ICD-11:1A24-1D9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T05196		ICD-11:FA25	Gout	ICD-11:FA25	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MARCKS	T05351	MARCKS	ICD-11:2C25	Lung cancer	ICD-11:2C25	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TGM2	T05387	TGM2	ICD-11:DB92	Non-alcoholic fatty liver disease	ICD-11:DB92	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MME	T05409	MME	ICD-11:HA00-HA01	Sexual dysfunction	ICD-11:HA00-HA01	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:LINGO1	T05643	LINGO1	ICD-11:8A40	Multiple sclerosis	ICD-11:8A40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:LCAT	T05661	LCAT	ICD-11:BA41-BA43	Myocardial infarction	ICD-11:BA41-BA43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CCKBR	T05849	CCKBR	ICD-11:DD71	Ulcerative colitis	ICD-11:DD71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:EV GP	T05876	EV GP	ICD-11:1D60	Filovirus disease	ICD-11:1D60	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:APH1A-APH1B	T05880	APH1A-APH1B	ICD-11:1F00	Herpes simplex infection	ICD-11:1F00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PDE8A	T05904	PDE8A	ICD-11:1A00-CA43	Postoperative inflammation	ICD-11:1A00-CA43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MUC16	T05938	MUC16	ICD-11:2C51	Peritoneal cancer	ICD-11:2C51	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T06011		ICD-11:2C92	Ureteral cancer	ICD-11:2C92	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FCGRT	T06020	FCGRT	ICD-11:4A43	Sjogren syndrome	ICD-11:4A43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MAPK9	T06037	MAPK9	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T06042		ICD-11:BA40	Angina pectoris	ICD-11:BA40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NOS3	T06046	NOS3	ICD-11:BB01	Pulmonary hypertension	ICD-11:BB01	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ROCK2	T06093	ROCK2	ICD-11:4A42	Systemic sclerosis	ICD-11:4A42	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IRS2	T06128	IRS2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:VIPR2	T06182	VIPR2	ICD-11:BB01	Pulmonary hypertension	ICD-11:BB01	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PARP1	T06273	PARP1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Klebsiella mrkA	T06281	Klebsiella mrkA	ICD-11:CA40	Pneumonia	ICD-11:CA40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
