id,name,label,resource,accession_numbers,cas_number,unii,synonyms,inchi_key
DrugBank:DB00011,Interferon alfa-n1,Compound,DrugBank,BIOD00096|BTD00096|DB00084,74899-72-2,41697D4Z5C,Interferon alpha-n1 (INS),
DrugBank:DB00012,Darbepoetin alfa,Compound,DrugBank,BIOD00032|BTD00032,209810-58-2,15UQ94PT4P,"Darbepoetin|Darbepoetin alfa,recombinant|Darbepoetina alfa",
DrugBank:DB00013,Urokinase,Compound,DrugBank,BIOD00030|BTD00030,9039-53-6,83G67E21XI,"Kinase (enzyme-activating), uro-urokinase|TCUK|Tissue culture urokinase|Two-chain urokinase|Urochinasi|Urokinase|Urokinasum|Uroquinasa",
DrugBank:DB00014,Goserelin,Compound,DrugBank,BIOD00113|BTD00113,65807-02-5,0F65R8P09N,Goserelin|Goserelina,BLCLNMBMMGCOAS-URPVMXJPSA-N
DrugBank:DB00015,Reteplase,Compound,DrugBank,BIOD00013|BTD00013,133652-38-7,DQA630RIE9,"Human t-PA (residues 1-3 and 176-527)|Reteplasa|Reteplase, recombinant|Reteplase,recombinant",
DrugBank:DB00016,Erythropoietin,Compound,DrugBank,BIOD00103|BTD00103|DB08923,11096-26-7,64FS3BFH5W,"E.P.O.|Epoetin alfa|Epoetin alfa rDNA|Epoetin alfa-epbx|Epoetin alfa, recombinant|Epoetin beta|Epoetin beta rDNA|Epoetin epsilon|Epoetin gamma|Epoetin gamma rDNA|Epoetin kappa|Epoetin omega|Epoetin theta|Epoetin zeta|Epoetina alfa|Epoetina beta|Epoetina dseta|Epoetina zeta|Epoétine zêta|Epoetinum zeta|Erythropoiesis stimulating factor|Erythropoietin (human, recombinant)|Erythropoietin (recombinant human)|ESF|SH-polypeptide-72",
DrugBank:DB00017,Salmon calcitonin,Compound,DrugBank,BIOD00025|BTD00025,47931-85-1,7SFC6U2VI5,"Calcitonin (Salmon Synthetic)|Calcitonin salmon|Calcitonin salmon recombinant|Calcitonin-salmon|Calcitonin, salmon|Calcitonina salmón sintética|Recombinant salmon calcitonin|Salmon calcitonin",
DrugBank:DB00018,Interferon alfa-n3,Compound,DrugBank,BIOD00023|BTD00023,,47BPR3V3MP,,
DrugBank:DB00019,Pegfilgrastim,Compound,DrugBank,BIOD00094|BTD00094,208265-92-3,3A58010674,Granulocyte colony-stimulating factor pegfilgrastim|peg-filgrastim|pegfilgrastim-apgf|pegfilgrastim-bmez|pegfilgrastim-cbqv|pegfilgrastim-jmdb,
DrugBank:DB00020,Sargramostim,Compound,DrugBank,BIOD00035|BTD00035,123774-72-1,5TAA004E22,Recombinant human granulocyte-macrophage colony stimulating factor|rGM-CSF|rHu GM-CSF|Sargramostim,
DrugBank:DB00022,Peginterferon alfa-2b,Compound,DrugBank,BIOD00048|BTD00048,215647-85-1,G8RGG88B68,,
DrugBank:DB00023,Asparaginase Escherichia coli,Compound,DrugBank,BIOD00011|BTD00011,9015-68-3,G4FQ3CKY5R,Asparaginase|Asparaginase (E. coli)|Colaspase|Escherichia coli L-asparaginase|L-asparaginase|L-asparagine amidohydrolase,
DrugBank:DB00024,Thyrotropin alfa,Compound,DrugBank,BIOD00020|BTD00020,194100-83-9,AVX3D5A4LM,Recombinant Human Thyroid Stimulating Hormone|Recombinant thyrotropin alfa|rhTSH|rTSH|Thyrotropin alpha,
DrugBank:DB00025,"Antihemophilic factor, human recombinant",Compound,DrugBank,BIOD00029|BTD00029|DB13162|DBSALT002413,139076-62-3,P89DR4NY54,"Antihemophilic factor (recombinant)|Antihemophilic factor recombinant|Antihemophilic factor, human recombinant|Antihemophilic factor, recombinant|Factor VIII (rDNA)|Factor VIII (Recombinant)|Factor VIII recombin|Factor VIII, recombinant|Human Factor VIII (Recombinant)|Human factor VIII recombinant|Octocog alfa|rAHF|Recombinant antihemophilic factor VIII",
DrugBank:DB00026,Anakinra,Compound,DrugBank,BIOD00060|BTD00060,143090-92-0,9013DUQ28K,Anakinra|IL-1RA|Interleukin-1 receptor antagonist anakinra,
DrugBank:DB00027,Gramicidin D,Compound,DrugBank,BIOD00036|BTD00036,1405-97-6,5IE62321P4,Bacillus brevis gramicidin D|Gramicidin|Gramicidin A|Gramicidin B|Gramicidin C|Gramicidina|Gramicidine,NDAYQJDHGXTBJL-MWWSRJDJSA-N
DrugBank:DB00028,Human immunoglobulin G,Compound,DrugBank,BIOD00091|BTD00091,308067-58-5,66Y330CJHS,"Human IGG|Human immunoglobulin G|Human normal immunoglobulin|Immune globulin (human)|Immune globulin human|Immunoglobulin (human)|Immunoglobulin G (human)|Immunoglobulin G, human|IVIg",
DrugBank:DB00029,Anistreplase,Compound,DrugBank,BIOD00102|BTD00102,81669-57-0,5O8V541HJ6,Anisoylated plasminogen streptokinase activator complex|APSAC,
DrugBank:DB00030,Insulin human,Compound,DrugBank,BIOD00105|BTD00105|DB01383|DB05215|DB05278|DB05283|DB08914,11061-68-0,1Y17CTI5SR,"High molecular weight insulin human|Human insulin|human insulin (rDNA)|Insulin (human)|Insulin human|Insulin human [rDNA origin]|Insulin Human Regular|Insulin human regular (rDNA)|Insulin human, rDNA origin|Insulin recombinant human|Insulin recombinant purified human|Insulin regular|Insulin, human|Insulina regular|Regular Insulin, human",
DrugBank:DB00031,Tenecteplase,Compound,DrugBank,BIOD00019|BTD00019,191588-94-0,WGD229O42W,Tenecteplasa|TNK-tPA,
DrugBank:DB00032,Menotropins,Compound,DrugBank,BIOD00018|BTD00018,9002-68-0,8FYM5179QJ,Human menopausal gonadotrophin|Menotrophin|Menotropin|Menotropina|Menotropins (FSH;LH),
DrugBank:DB00033,Interferon gamma-1b,Compound,DrugBank,BIOD00017|BTD00017,98059-61-1,21K6M2I7AG,"IFN-gamma 1b|IFN-gamma-1b|Interferon gamma 1-b|Interferon gamma-1b|Interferon gamma-1b, recombinant|Interferon gamma-2a",
DrugBank:DB00034,"Interferon alfa-2a, Recombinant",Compound,DrugBank,BIOD00012|BIOD00095|BTD00012|BTD00095|DB00037,76543-88-9,47RRR83SK7,"Interferon alfa-2a|Interferon alfa-2a (recombinant)|Interferon alfa-2a, recombinant|Interferon alfa-2a,recombinant|Interferon alpha-2a|Interferon-alfa-2a|Recombinant human interferon alfa-2a|Recombinant human interferon-alfa-2a|rIFN-alpha-2a|SH-polypeptide-46",
DrugBank:DB00035,Desmopressin,Compound,DrugBank,BIOD00061|BIOD00112|BTD00061|BTD00112,16679-58-6,ENR1LLB0FP,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin|1-deamino-8-D-arginine vasopressin|1-desamino-8-D-arginine vasopressin|dDAVP|Desmopresina|Desmopressin|Desmopressine|Desmopressinum,NFLWUMRGJYTJIN-PNIOQBSNSA-N
DrugBank:DB00036,Coagulation factor VIIa Recombinant Human,Compound,DrugBank,BIOD00006|BTD00006,102786-61-8,AC71R787OV,Coagulation factor VIIa|Coagulation factor VIIa (recombinant)|Coagulation factor VIIa (recombinant)-jncw|Eptacog alfa|Eptacog alfa (activated)|rFVIIa,
DrugBank:DB00038,Oprelvekin,Compound,DrugBank,BIOD00021|BTD00021,145941-26-0,HM5641GA6F,IL-11|Interleukin 11|Interleukin-11|Oprelvekin|Recombinant interleukin-11,
DrugBank:DB00039,Palifermin,Compound,DrugBank,BIOD00042|BTD00042,162394-19-6,QMS40680K6,24-163 fibroblast growth factor 7 (human)|Palifermina,
DrugBank:DB00040,Glucagon,Compound,DrugBank,BIOD00057|BTD00057,16941-32-5,76LA80IG2G,"Glucagon|Glucagon (recombinant dna origin)|Glucagon recombinant|Glucagon, human|Glucagon, porcine|Glucagone|Glucagonum",
DrugBank:DB00041,Aldesleukin,Compound,DrugBank,BIOD00082|BTD00082,110942-02-4,M89N0Q7EQR,"125-L-serine-2-133-interleukin 2 (human reduced)|Aldesleukina|Interleukin-2 aldesleukin|Interleukin-2(2-133),125-ser|Recombinant interleukin-2 human",
DrugBank:DB00042,Botulinum Toxin Type B,Compound,DrugBank,BIOD00070|BTD00070,93384-44-2,0Y70779M1F,Botulin B|Botulinum B toxin|Botulinum neurotoxin type B precursor|BTX-B|RimabotulinumtoxinB|Toxina botulínica B,
DrugBank:DB00043,Omalizumab,Compound,DrugBank,BIOD00081|BTD00081,242138-07-4,2P471X1Z11,,
DrugBank:DB00044,Lutropin alfa,Compound,DrugBank,BIOD00056|BTD00056,152923-57-4,3JGY52XJNA,Lutropin alfa|Lutropin alpha|Lutropina alfa,
DrugBank:DB00045,Lyme disease vaccine (recombinant OspA),Compound,DrugBank,BIOD00054|BTD00054,,TA735GI14L,Lipoprotein OspA antigen recombinant|Lipoprotein outer surface a borrelia burgdorferi antigen|OspA lipoprotein,
DrugBank:DB00046,Insulin lispro,Compound,DrugBank,BIOD00065|BTD00065|DB01310,133107-64-9,GFX7QIS1II,"Insulin lispro (genetical recombination)|Insulin lispro (rDNA origin)|Insulin lispro protamine|Insulin lispro protamine recombinant|Insulin lispro recombinant|insulin lispro-aabc|Insulin,lispro,human/rDNA|Insulin,lispro,protamine/rDNA|Insulina lispro",
DrugBank:DB00047,Insulin glargine,Compound,DrugBank,BIOD00045|BTD00045|DB01308,160337-95-1,2ZM8CX04RZ,Insulin glargine|Insulin Glargine (rDNA origin)|Insulin glargine recombinant|Insulina glargina,
DrugBank:DB00048,Collagenase clostridium histolyticum,Compound,DrugBank,BIOD00010|BTD00010|DB11249,12/1/9001,9X7O8V25IT,Clostridium histolyticum enzymes|Collagenase|Collagenase clostridium histolyticum|collagenase clostridium histolyticum-aaes,
DrugBank:DB00049,Rasburicase,Compound,DrugBank,BIOD00090|BTD00090,134774-45-1,08GY9K1EUO,Rasburicasa|Rasburicase|Urate oxidase,
DrugBank:DB00050,Cetrorelix,Compound,DrugBank,APRD00686|BIOD00115|BTD00115,120287-85-6,OON1HFZ4BA,Cetrorelix|Cetrorelixum,SBNPWPIBESPSIF-MHWMIDJBSA-N
DrugBank:DB00051,Adalimumab,Compound,DrugBank,BIOD00049|BTD00049,331731-18-1,FYS6T7F842,Adalimumab (genetical recombination)|adalimumab-adaz|adalimumab-adbm|adalimumab-afzb|adalimumab-atto|adalimumab-bwwd|adalimumab-fkjp,
DrugBank:DB00052,Somatotropin,Compound,DrugBank,BIOD00086|BTD00086|DB06417,12629-01-5,NQX9KB6PCL,Growth hormone|Growth hormone (human)|hGH|Human growth hormone|Recombinant human growth hormone|rhGH|Somatotropin (human)|Somatotropin human|Somatotropin human growth hormone|Somatropin|Somatropin (rDNA origin)|Somatropin (recombinant DNA origin)|Somatropin [rDNA origin]|Somatropin recombinant|Somatropin(recombinant DNA origin)|Somatropina,
DrugBank:DB00053,Imiglucerase,Compound,DrugBank,BIOD00026|BTD00026,154248-97-2,Q6U6J48BWY,Imiglucerasa,
DrugBank:DB00054,Abciximab,Compound,DrugBank,BIOD00041|BTD00041,143653-53-6,X85G7936GV,Abciximab|Abciximab (genetical recombination)|c7E3,
DrugBank:DB00055,Drotrecogin alfa,Compound,DrugBank,BIOD00068|BTD00068,98530-76-8,JGH8MYC891,"Activated protein C|Blood coagulation factor XIV (human)|Drotrecogin alfa (activated)|Drotrecogin alfa (activated), lyophilized|Drotrecogin alfa activated|Drotrecogin alfa, activated|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)",
DrugBank:DB00056,Gemtuzumab ozogamicin,Compound,DrugBank,BIOD00077|BTD00077,220578-59-6,8GZG754X6M,,
DrugBank:DB00057,Indium In-111 satumomab pendetide,Compound,DrugBank,BIOD00108|BTD00108,138955-27-8,7V9926378A,Indium (111In) satumomab pendetide|Indium In 111 satumomab pendetide|Indium-111 satumomab pendetide,
DrugBank:DB00058,Alpha-1-proteinase inhibitor,Compound,DrugBank,BIOD00002|BTD00002,9041-92-3,F43I396OIS,"Alfa 1-proteinase inhibitor (human)|Alfa-1-antitripsina|Alfa1 antitrypsin|Alpha 1-antitrypsin|Alpha 1-Proteinase Inhibitor|Alpha 1-proteinase inhibitor (human)|Alpha 1-proteinase inhibitor, human|Alpha-1 protease inhibitor|Alpha-1 proteinase inhibitor (human)|Alpha-1-antiproteinase|Alpha-1-antitrypsin|Alpha-1-proteinase Inhibitor (human)|Alpha-1-proteinase inhibitor human|Alpha-1-proteinase Inhibitor, Human|Alpha-1-proteinase inhibitor,human|Alpha1-proteinase Inhibitor|Alpha1-proteinase inhibitor (human)|alpha1-proteinase inhibitor human|API",
DrugBank:DB00059,Pegaspargase,Compound,DrugBank,BIOD00079|BTD00079,130167-69-0,7D96IR0PPM,Peg-asparaginase|Peg/L-asparaginase|Pegaspargasa,
DrugBank:DB00060,Interferon beta-1a,Compound,DrugBank,BIOD00093|BTD00093,145258-61-3,XRO4566Q4R,"Interferon beta 1-a|Interferon beta 1a|Interferon beta-1a (recombinant human)|Interferon beta-1a,recombinant|Interferon-beta-1a",
DrugBank:DB00061,Pegademase,Compound,DrugBank,BIOD00100|BTD00100,130167-68-9,HW3H7D91F6,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase|PEG-adenosine deaminase|pegADA|Pegademase|Pegademase bovine,
DrugBank:DB00062,Albumin human,Compound,DrugBank,BIOD00059|BIOD00089|BIOD00101|BTD00059|BTD00089|BTD00101|DB00064|DB00096,9048-46-8,ZIF514RVZR,"Albumin (human)|Albumin human|Albumin, blood|Albumin, human|Albumin, human-kjda|Human albumin|Human serum albumin|Serum albumin",
DrugBank:DB00063,Eptifibatide,Compound,DrugBank,BIOD00063|BTD00063,188627-80-7,NA8320J834,Eptifibatida|Eptifibatide|Integrelin|Intrifiban,
DrugBank:DB00065,Infliximab,Compound,DrugBank,BIOD00004|BTD00004,170277-31-3,B72HH48FLU,Infliximab (genetical recombination)|Infliximab-abda|Infliximab-axxq|Infliximab-dyyb|Infliximab-qbtx,
DrugBank:DB00066,Follitropin,Compound,DrugBank,BIOD00064|BIOD00099|BTD00064|BTD00099|DB09024,146479-72-3,076WHW89TW,Folitropina alfa|Folitropina beta|Folitropina delta|Follicle stimulating hormone|Follitrophin alfa|Follitrophin alpha|Follitrophin beta|Follitropin alfa|Follitropin alfa/beta|Follitropin alpha|Follitropin beta|Follitropin delta|Follitropin gamma|Follotropin recombinant|FSH|FSH alpha|FSH-a|FSH-b|FSH-beta|Recombinant human follicle stimulating hormone beta|Recombinant human follicle-stimulating hormone (r-HFSH)|rFSH-alpha,
DrugBank:DB00067,Vasopressin,Compound,DrugBank,BIOD00110|BTD00110|DB09392,11000-17-2,Y87Y826H08,"Vasopressin, unspecified|Vasopressina",JLTCWSBVQSZVLT-UHFFFAOYSA-N
DrugBank:DB00068,Interferon beta-1b,Compound,DrugBank,BIOD00078|BTD00078,145155-23-3,TTD90R31WZ,"Interferon beta 1b (recombinant)|Interferon beta-1b,recombinant|Interferon-beta-1b|Recombinant interferon beta-1b",
DrugBank:DB00069,Interferon alfacon-1,Compound,DrugBank,BIOD00062|BTD00062,118390-30-0,56588OP40D,IFN Alfacon-1|IFN-Con1|Interferon alfacon-1,
DrugBank:DB00070,Hyaluronidase (ovine),Compound,DrugBank,BIOD00022|BTD00022,488712-31-8,64R4OHP8T0,"Hyaluronidase (glycoprotein, sheep testis isoenzyme)|Hyaluronidase (ovine)|Hyaluronidase (sheep testis isoenzyme)|Hyaluronidase, ovine|Ovine hyaluronidase",
DrugBank:DB00071,Insulin pork,Compound,DrugBank,BIOD00031|BTD00031,12584-58-6,AVT680JB39,"Insulin (pork)|Insulin porcine|Insulin purified porcine|Insulin purified pork|Insulin, porcine|Insulin, regular, pork|Porcine insulin",
DrugBank:DB00072,Trastuzumab,Compound,DrugBank,BIOD00098|BTD00098,180288-69-1,P188ANX8CK,RHUMAB HER2|trastuzumab-anns|trastuzumab-dkst|trastuzumab-dttb|trastuzumab-pkrb|trastuzumab-qyyp,
DrugBank:DB00073,Rituximab,Compound,DrugBank,BIOD00014|BTD00014,174722-31-7,4F4X42SYQ6,rituximab-abbs|rituximab-arrx|rituximab-pvvr,
DrugBank:DB00074,Basiliximab,Compound,DrugBank,BIOD00073|BTD00073,179045-86-4,9927MT646M,Basiliximab,
DrugBank:DB00075,Muromonab,Compound,DrugBank,BIOD00005|BTD00005,140608-64-6,JGA39ICE2V,Anti-CD3|Muromonab-CD3,
DrugBank:DB00076,Digoxin Immune Fab (Ovine),Compound,DrugBank,BIOD00027|BIOD00046|BTD00027|BTD00046,,YB12NQZ1YN,"Digitalis antitoxin|Digoxin Immune Fab, Ovine|Digoxin-specific Antibody Fragments|Ovine digoxin immune fab",
DrugBank:DB00078,Ibritumomab tiuxetan,Compound,DrugBank,BIOD00069|BTD00069,206181-63-7,4Q52C550XK,Ibritumomab|mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),
DrugBank:DB00080,Daptomycin,Compound,DrugBank,BIOD00111|BTD00111,103060-53-3,NWQ5N31VKK,Daptomicina|Daptomycin|Daptomycine|Daptomycinum,DOAKLVKFURWEDJ-QCMAZARJSA-N
DrugBank:DB00081,Tositumomab,Compound,DrugBank,BIOD00085|BTD00085|DB09557,208921-02-2,0343IGH41U,,
DrugBank:DB00082,Pegvisomant,Compound,DrugBank,BIOD00044|BTD00044,218620-50-9,N824AOU5XV,,
DrugBank:DB00083,Botulinum toxin type A,Compound,DrugBank,BIOD00092|BTD00092,93384-43-1,E211KPY694,AbobotulinumtoxinA|Botulinum A neurotoxin|Botulinum toxin A|Botulinum toxin type A|BTX-A|Evabotulinumtoxina|IncobotulinumtoxinA|OnabotulinumtoxinA|Prabotulinumtoxin A|Toxina botulínica A|Toxine botulinique A,
DrugBank:DB00085,Pancrelipase,Compound,DrugBank,BIOD00067|BTD00067|DB05356,53608-75-6,FQ3DRG0N5K,Pancrealipase|Pancreatic extract pancrelipase|Pancreatic protease|Pancreatin|Pancreatinum|Pancrelipase (amylase;lipase;protease),
DrugBank:DB00086,Streptokinase,Compound,DrugBank,BIOD00028|BTD00028,1/1/9002,8X1OXL3SNU,Estreptoquinasa|Streptochinasi|Streptococcal fibrinolysin|Streptokinase|Streptokinasum,
DrugBank:DB00087,Alemtuzumab,Compound,DrugBank,BIOD00109|BTD00109,216503-57-0,3A189DH42V,,
DrugBank:DB00088,Alglucerase,Compound,DrugBank,BIOD00037|BTD00037,143003-46-7,27T56C7KK0,,
DrugBank:DB00089,Capromab pendetide,Compound,DrugBank,BIOD00080|BTD00080,145464-28-4,BDO5072GRX,(111In)-Capromab pendetide|Indium (111In) capromab pendetide|Indium 111 Capromab Pendetide|Indium In 111 capromab pendetide,
DrugBank:DB00090,Laronidase,Compound,DrugBank,BIOD00008|BTD00008,210589-09-6,WP58SVM6R4,alpha-L-Idosiduronase|Human Recombinant alpha-L-iduronidase|Laronidasa|Laronidase|Laronidase (genetical recombination),
DrugBank:DB00091,Cyclosporine,Compound,DrugBank,BIOD00003|BTD00003,59865-13-3,83HN0GTJ6D,Ciclosporin|Ciclosporina|Ciclosporine|Ciclosporinum|CsA|CyA|Cyclosporin|Cyclosporin A|Cyclosporine,PMATZTZNYRCHOR-CGLBZJNRSA-N
DrugBank:DB00092,Alefacept,Compound,DrugBank,BIOD00055|BTD00055,222535-22-0,ELK3V90G6C,,
DrugBank:DB00093,Felypressin,Compound,DrugBank,BIOD00114|BTD00114,56-59-7,17N2918V6G,2-(L-phenylalanine)-8-L-lysinevasopressin|Felipresina|Felypressin|Felypressine|Felypressinum|PLV-2,SFKQVVDKFKYTNA-DZCXQCEKSA-N
DrugBank:DB00094,Urofollitropin,Compound,DrugBank,BIOD00104|BTD00104,97048-13-0,W9BB98U6HP,Follitropin human|Urofollitrophin,
DrugBank:DB00095,Efalizumab,Compound,DrugBank,BIOD00074|BTD00074,214745-43-4,XX2MN88N5D,anti-CD11a|antiCD11 alpha|Efalizumab,
DrugBank:DB00097,Choriogonadotropin alfa,Compound,DrugBank,BIOD00034|BTD00034,177073-44-8,6413W06WR3,Choriogonadotropin alpha|Chorionic gonadotropin (recombinant),
DrugBank:DB00098,Antithymocyte immunoglobulin (rabbit),Compound,DrugBank,BIOD00040|BTD00040,308067-60-9,D7RD81HE4W,"Anti-human thymocyte immunoglobulin, rabbit|Anti-T-lymphocyte immune globulin, rabbit|Anti-thymocyte globulin (rabbit)|Anti-thymocyte globulin rabbit|Antithymocyte immunoglobulin|Lapine T-lymphocyte immune globulin|Rabbit anti-human thymocyte globulin|Rabbit anti-human thymocyte globulin (rATG)|Rabbit anti-human thymocyte immunoglobulin|Rabbit anti-thymocyte immunoglobulin|Rabbit antithymocyte globulin|Rabbit ATG|rATG|Thymoglobulin|Thymoglobuline",
DrugBank:DB00099,Filgrastim,Compound,DrugBank,BIOD00072|BTD00072|DB09560,121181-53-1,PVI5M0M1GW,Filgrastim-aafi|Filgrastim-sndz|G-CSF |Granulocyte Colony Stimulating Factor |Tbo-filgrastim,
DrugBank:DB00100,Coagulation Factor IX (Recombinant),Compound,DrugBank,BIOD00038|BTD00038,181054-95-5,382L14738L,Coagulation factor IX (recombinant)|Coagulation factor IX recombinant human|Factor IX (Recombinant)|nonacog alfa|nonacog gamma|Recombinant factor IX,
DrugBank:DB00102,Becaplermin,Compound,DrugBank,BIOD00053|BTD00053,165101-51-9,1B56C968OA,"Becaplermin|PDGF-2|PDGF-BB|PDGFB|Platelet-derived growth factor BB, recombinant|Platelet-derived growth factor beta polypeptide|Recombinant platelet-derived growth factor BB|rhPDGF-BB|rPDGF-BB|SH-POLYPEPTIDE-59",
DrugBank:DB00103,Agalsidase beta,Compound,DrugBank,BIOD00075|BTD00075,,RZD65TSM9U,Agalsidasa beta|Agalsidase beta (genetical recombination),
DrugBank:DB00104,Octreotide,Compound,DrugBank,BIOD00088|BTD00088,83150-76-9,RWM8CCW8GP,Octreotida|Octreotide|Octreotidum|Octrotide,DEQANNDTNATYII-OULOTJBUSA-N
DrugBank:DB00105,Interferon alfa-2b,Compound,DrugBank,BIOD00066|BTD00066|DB05600,98530-12-2,43K1W2T1M6,"Interferon alfa-2b|Interferon alfa-2b, recombinant|Interferon alpha-2B|Interferon α-2b|Intron (Interferon α2b)|Intron A|Intron A (Interferon α2b)|r-INF-alpha|rIFN-alpha-2b",
DrugBank:DB00106,Abarelix,Compound,DrugBank,BIOD00051|BTD00051,183552-38-7,W486SJ5824,Abarelix,AIWRTTMUVOZGPW-HSPKUQOVSA-N
DrugBank:DB00107,Oxytocin,Compound,DrugBank,BIOD00016|BTD00016,50-56-6,1JQS135EYN,Oxitocina|Oxytocin,
DrugBank:DB00108,Natalizumab,Compound,DrugBank,BIOD00083|BTD00083,189261-10-7,3JB47N2Q2P,Anti-alpha4 integrin|Anti-VLA4,
DrugBank:DB00109,Enfuvirtide,Compound,DrugBank,BIOD00106|BTD00106,159519-65-0,19OWO1T3ZE,Enfuvirtida,
DrugBank:DB00110,Palivizumab,Compound,DrugBank,BIOD00097|BTD00097,188039-54-5,DQ448MW7KS,Palivizumab,
DrugBank:DB00111,Daclizumab,Compound,DrugBank,BIOD00007|BTD00007,152923-56-3,CUJ2MVI71Y,Dacliximab|Daclizumab beta,
DrugBank:DB00112,Bevacizumab,Compound,DrugBank,BIOD00087|BTD00087,216974-75-3,2S9ZZM9Q9V,Anti-VEGF Humanized Monoclonal Antibody|Anti-VEGF monoclonal antibody|Bevacizumab|bevacizumab-awwb|rhuMAb-VEGF,
DrugBank:DB00113,Technetium Tc-99m arcitumomab,Compound,DrugBank,BIOD00107|BTD00107,154361-49-6,029JF1SCU8,Arcitumomab technetium-99m|Technetium (99mTc) arcitumomab|Technetium Tc 99m arcitumomab|Technetium-99m arcitumomab,
DrugBank:DB00114,Pyridoxal phosphate,Compound,DrugBank,NUTR00045,54-47-7,F06SGE49M6,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde|3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate|Codecarboxylase|PLP|Pyridoxal 5-monophosphoric acid ester|Pyridoxal 5-phosphate|Pyridoxal 5'-phosphate|Pyridoxal P|Pyridoxal phosphate anhydrous|Pyridoxal-5P|Pyridoxal-P,NGVDGCNFYWLIFO-UHFFFAOYSA-N
DrugBank:DB00115,Cyanocobalamin,Compound,DrugBank,APRD00326|EXPT00965|NUTR00004,68-19-9,P6YC3EG204,Cianocobalamina|Cyanocob(III)alamin|Cyanocobalamin|Cyanocobalamine|Cyanocobalaminum|Vitamin B12|Vitamin B12 complex|Vitamin B12 NOS,RMRCNWBMXRMIRW-WZHZPDAFSA-L
DrugBank:DB00116,Tetrahydrofolic acid,Compound,DrugBank,NUTR00056,135-16-0,43ZWB253H4,"5,6,7,8-tetrahydrofolate|5,6,7,8-tetrahydrofolic acid|Tetrahydrofolate",MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DrugBank:DB00117,Histidine,Compound,DrugBank,NUTR00030,71-00-1,4QD397987E,(S)-4-(2-Amino-2-carboxyethyl)imidazole|(S)-a-Amino-1H-imidazole-4-propanoic acid|(S)-alpha-amino-1H-Imidazole-4-propanoic acid|(S)-alpha-Amino-1H-imidazole-4-propionic acid|(S)-α-amino-1H-Imidazole-4-propanoic acid|HIS|Histidina|Histidine|L-(−)-histidine|L-Histidin|L-Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N
