source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource
TUBA1B	Gene	HGNC:18809	PACLITAXEL	Compound	RXCUI:56946	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CACNA1H	Gene	HGNC:1395	PREGABALIN	Compound	RXCUI:187832	DGIDB::MODULATOR::Gene:Compound	DGIDB
AGTR1	Gene	HGNC:336	TASOSARTAN	Compound	NCIT:C152517	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ANGPT2	Gene	HGNC:485	FARICIMAB	Compound	RXCUI:2591519	DGIDB::INHIBITOR::Gene:Compound	DGIDB
RPMJ	Gene	HGNC:14490	CLINDAMYCIN HYDROCHLORIDE	Compound	RXCUI:81982	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ADRA1D	Gene	HGNC:280	SERTINDOLE	Compound	RXCUI:41996	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ADRA1A	Gene	HGNC:277	PRAZOSIN HYDROCHLORIDE	Compound	RXCUI:203210	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CD4	Gene	HGNC:1678	PRILIXIMAB	Compound	NCIT:C188634	DGIDB::MODULATOR::Gene:Compound	DGIDB
GABRG1	Gene	HGNC:4086	PADSEVONIL	Compound	NCIT:C166432	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:293	Gene	HGNC:10992	AZD6538	Compound	iuphar.ligand:6440	DGIDB::MODULATOR::Gene:Compound	DGIDB
NCBIGENE:333	Gene	HGNC:597	LV-2172	Compound	iuphar.ligand:9442	DGIDB::AGONIST::Gene:Compound	DGIDB
NCSTN	Gene	HGNC:17091	TARENFLURBIL	Compound	NCIT:C26666	DGIDB::MODULATOR::Gene:Compound	DGIDB
VDR	Gene	HGNC:12679	2MD	Compound	iuphar.ligand:2776	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:27	Gene	HGNC:77	WB 4101	Compound	iuphar.ligand:499	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:390	Gene	HGNC:671	ALPROSTADIL	Compound	RXCUI:598	DGIDB::ACTIVATOR::Gene:Compound	DGIDB
CHRM1	Gene	HGNC:1950	PROPANTHELINE BROMIDE	Compound	RXCUI:8762	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:560	Gene	ENTREZ:560	R-L3	Compound	iuphar.ligand:2595	DGIDB::ACTIVATOR::Gene:Compound	DGIDB
NCBIGENE:927	Gene	HGNC:1708	COMPOUND 58 [PMID: 25037917]	Compound	iuphar.ligand:8520	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:11	Gene	HGNC:15	THIORIDAZINE	Compound	RXCUI:10502	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:13	Gene	HGNC:17	(-)-YM796	Compound	iuphar.ligand:287	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:582	Gene	HGNC:966	GNE-131	Compound	iuphar.ligand:10003	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:368	Gene	HGNC:57	TOLVAPTAN	Compound	RXCUI:358257	DGIDB::INHIBITOR::Gene:Compound	DGIDB
HTR1A	Gene	HGNC:5286	BEFIRADOL	Compound	NCIT:C81392	DGIDB::AGONIST::Gene:Compound	DGIDB
RPL35	Gene	HGNC:10344	MT-3724	Compound	CHEMBL:CHEMBL4297789	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:6	Gene	ENTREZ:6	NEFAZODONE	Compound	RXCUI:31565	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CDK20	Gene	HGNC:21420	AT-7519	Compound	DrugBank:DB08142	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GABRA2	Gene	HGNC:4076	GLUTETHIMIDE	Compound	RXCUI:4903	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
RPMJ	Gene	HGNC:14490	CETHROMYCIN	Compound	NCIT:C83613	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2650	Gene	HGNC:4203	PINOMETOSTAT	Compound	NCIT:C103179	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:360	Gene	HGNC:636	ROLAPITANT	Compound	RXCUI:1665496	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1813	Gene	HGNC:3023	AXITINIB	Compound	RXCUI:1242999	DGIDB::INHIBITOR::Gene:Compound	DGIDB
OPRK1	Gene	HGNC:8154	NALTREXONE HYDROCHLORIDE	Compound	RXCUI:105069	DGIDB::INHIBITOR::Gene:Compound	DGIDB
LPAR1	Gene	HGNC:3166	BMS-986020	Compound	DrugBank:DB14948	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:7	Gene	ENTREZ:7	METHYLERGONOVINE	Compound	RXCUI:6883	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:1787	Gene	HGNC:2977	COMPOUND 13R [PMID: 23639540]	Compound	iuphar.ligand:8144	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:317	Gene	HGNC:576	NOR-BINALTORPHIMINE	Compound	iuphar.ligand:1642	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GLP1R	Gene	HGNC:4324	LIRAGLUTIDE	Compound	RXCUI:475968	DGIDB::AGONIST::Gene:Compound	DGIDB
RPS10	Gene	HGNC:10383	MT-3724	Compound	CHEMBL:CHEMBL4297789	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:20	Gene	HGNC:32	AS95	Compound	iuphar.ligand:441	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:415	Gene	HGNC:719	PICROTOXIN	Compound	DrugBank:DB00466	DGIDB::BLOCKER::Gene:Compound	DGIDB
ADRA1B	Gene	HGNC:278	TERAZOSIN HYDROCHLORIDE	Compound	RXCUI:235224	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1993	Gene	HGNC:3313	COMPOUND 17 [PMID: 23642479]	Compound	iuphar.ligand:8161	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:664	Gene	HGNC:1084	ANDROGRAPHOLIDE	Compound	DrugBank:DB05767	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:580	Gene	HGNC:952	VERATRIDINE	Compound	iuphar.ligand:2626	DGIDB::ACTIVATOR::Gene:Compound	DGIDB
NCBIGENE:1	Gene	HGNC:5	(R)-UH 301	Compound	iuphar.ligand:3218	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:2628	Gene	HGNC:4175	GLOFITAMAB	Compound	iuphar.ligand:12758	DGIDB::ANTIBODY::Gene:Compound	DGIDB
NCBIGENE:697	Gene	ENTREZ:697	HG2+	Compound	iuphar.ligand:4215	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NR3C2	Gene	HGNC:7979	FLUDROCORTISONE ACETATE	Compound	RXCUI:165516	DGIDB::AGONIST::Gene:Compound	DGIDB
ITGA2B	Gene	HGNC:6138	EPTIFIBATIDE	Compound	RXCUI:75635	DGIDB::INHIBITOR::Gene:Compound	DGIDB
IMPDH2	Gene	HGNC:6053	MYCOPHENOLATE	Compound	RXCUI:265323	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:299	Gene	HGNC:16454	CPN-219	Compound	iuphar.ligand:11491	DGIDB::AGONIST::Gene:Compound	DGIDB
HCN4	Gene	HGNC:16882	IVABRADINE HYDROCHLORIDE	Compound	RXCUI:1649479	DGIDB::BLOCKER::Gene:Compound	DGIDB
AR	Gene	HGNC:644	METHANDROSTENOLONE	Compound	RXCUI:6818	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:368	Gene	HGNC:57	[PHAA1,D-TYR(ET)2,VAL4,LYS6,TYR-NH28,DES-GLY9]AVP	Compound	iuphar.ligand:2209	DGIDB::INHIBITOR::Gene:Compound	DGIDB
KCNJ11	Gene	HGNC:6257	DIAZOXIDE	Compound	RXCUI:3327	DGIDB::AGONIST::Gene:Compound	DGIDB
RPSA	Gene	HGNC:6502	AMIKACIN	Compound	RXCUI:641	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CHRNB2	Gene	HGNC:1962	ABT-560	Compound	DrugBank:DB06093	DGIDB::MODULATOR::Gene:Compound	DGIDB
DHCR24	Gene	HGNC:2859	TRIPARANOL	Compound	NCIT:C152752	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1	Gene	HGNC:5	(-)-TERTATOLOL	Compound	iuphar.ligand:64	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2353	Gene	HGNC:3796	ODANACATIB	Compound	iuphar.ligand:6478	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:29	Gene	HGNC:81	BI-167107	Compound	iuphar.ligand:12065	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:2603	Gene	HGNC:2861	TRIMETREXATE	Compound	RXCUI:42333	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GABRA5	Gene	HGNC:4079	PAGOCLONE	Compound	NCIT:C74529	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
GPC3	Gene	HGNC:4451	CODRITUZUMAB	Compound	NCIT:C80043	DGIDB::INHIBITOR::Gene:Compound	DGIDB
PIK3R5	Gene	HGNC:30035	PAXALISIB	Compound	NCIT:C116877	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:20	Gene	HGNC:32	BW-A1433	Compound	iuphar.ligand:443	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1637	Gene	HGNC:2708	MARIMASTAT	Compound	NCIT:C1652	DGIDB::INHIBITOR::Gene:Compound	DGIDB
PPARG	Gene	HGNC:9236	ARHALOFENATE	Compound	NCIT:C83536	DGIDB::MODULATOR::Gene:Compound	DGIDB
SIRT3	Gene	HGNC:14931	PANOBINOSTAT	Compound	RXCUI:1603350	DGIDB::INHIBITOR::Gene:Compound	DGIDB
PARP2	Gene	HGNC:272	2X-121	Compound	DrugBank:DB16063	DGIDB::INHIBITOR::Gene:Compound	DGIDB
DHFR	Gene	HGNC:2861	METHOTREXATE	Compound	RXCUI:6851	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:3015	Gene	HGNC:4741	ERW1041E	Compound	iuphar.ligand:10048	DGIDB::INHIBITOR::Gene:Compound	DGIDB
IL13	Gene	HGNC:5973	LEBRIKIZUMAB	Compound	NCIT:C87767	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CACNG7	Gene	HGNC:13626	SULOCTIDIL	Compound	NCIT:C152466	DGIDB::BLOCKER::Gene:Compound	DGIDB
NCBIGENE:1801	Gene	HGNC:3003	BMS-536924	Compound	iuphar.ligand:9386	DGIDB::INHIBITOR::Gene:Compound	DGIDB
MTOR	Gene	HGNC:3942	VISTUSERTIB	Compound	NCIT:C88329	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:21	Gene	HGNC:33	MRS1505	Compound	iuphar.ligand:473	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:688	Gene	HGNC:6349	5-HYDROXYMETHYL-2-FURFURAL	Compound	iuphar.ligand:10939	DGIDB::BLOCKER::Gene:Compound	DGIDB
NCBIGENE:1797	Gene	HGNC:2992	ERLOTINIB	Compound	RXCUI:337525	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2397	Gene	HGNC:3908	COMPOUND 9 [PMID: 3514912]	Compound	iuphar.ligand:8559	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:869	Gene	HGNC:1543	THREO-3-METHYLGLUTAMATE	Compound	iuphar.ligand:4573	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:319	Gene	HGNC:615	PZM21	Compound	iuphar.ligand:9286	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:4	Gene	ENTREZ:4	ZIPRASIDONE	Compound	RXCUI:115698	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:1479	Gene	HGNC:2485	PIFUSERTIB	Compound	iuphar.ligand:12084	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1807	Gene	HGNC:3013	PF-562271	Compound	iuphar.ligand:9381	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:458	Gene	HGNC:4587	L689560	Compound	iuphar.ligand:4239	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GABRQ	Gene	HGNC:14454	BUTALBITAL	Compound	RXCUI:19860	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
NCBIGENE:2030	Gene	HGNC:11003	LADUVIGLUSIB	Compound	NCIT:C177060	DGIDB::INHIBITOR::Gene:Compound	DGIDB
DRD2	Gene	HGNC:3023	QUINAGOLIDE	Compound	RXCUI:76887	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:2149	Gene	HGNC:3537	N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE	Compound	DrugBank:DB06836	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GRIN1	Gene	HGNC:4584	ESKETAMINE	Compound	RXCUI:2119365	DGIDB::MODULATOR::Gene:Compound	DGIDB
RPSA	Gene	HGNC:6502	CHLORAMPHENICOL SODIUM SUCCINATE	Compound	RXCUI:47998	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GRIN3A	Gene	HGNC:16767	AV-101	Compound	DrugBank:DB12878	DGIDB::INHIBITOR::Gene:Compound	DGIDB
TUBB8	Gene	HGNC:20773	DAVUNETIDE	Compound	NCIT:C169878	DGIDB::MODULATOR::Gene:Compound	DGIDB
NCBIGENE:1936	Gene	HGNC:3211	KW-2449	Compound	iuphar.ligand:5691	DGIDB::INHIBITOR::Gene:Compound	DGIDB
IL23A	Gene	HGNC:15488	BRIAKINUMAB	Compound	NCIT:C95321	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:724	Gene	HGNC:1327	CARBENOXOLONE	Compound	NCIT:C63669	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ITGA2B	Gene	HGNC:6138	ZALUNFIBAN	Compound	NCIT:C180665	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2371	Gene	HGNC:3879	NTE-1	Compound	iuphar.ligand:8596	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:217	Gene	HGNC:404	SERTINDOLE	Compound	RXCUI:41996	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:2660	Gene	HGNC:4223	DACINOSTAT	Compound	NCIT:C81158	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CACNB1	Gene	HGNC:1401	PHLOROGLUCINOL	Compound	RXCUI:8196	DGIDB::BLOCKER::Gene:Compound	DGIDB
NCBIGENE:256	Gene	HGNC:4421	ALARELIN	Compound	iuphar.ligand:9342	DGIDB::AGONIST::Gene:Compound	DGIDB
P2RY12	Gene	HGNC:18124	TICLOPIDINE HYDROCHLORIDE	Compound	RXCUI:97	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ABL1	Gene	HGNC:76	NILOTINIB	Compound	RXCUI:662281	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:585	Gene	HGNC:969	AM-6120	Compound	iuphar.ligand:10119	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1483	Gene	ENTREZ:1483	G&OUML; 6983	Compound	iuphar.ligand:5192	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:3	Gene	HGNC:8	XANOMELINE	Compound	NCIT:C152926	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:343	Gene	HGNC:642	MISOPROSTOL	Compound	RXCUI:42331	DGIDB::AGONIST::Gene:Compound	DGIDB
PIK3C2A	Gene	HGNC:8971	DACTOLISIB	Compound	NCIT:C74072	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:27	Gene	HGNC:77	APOMORPHINE	Compound	RXCUI:1043	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GABRE	Gene	HGNC:4085	METHOHEXITAL SODIUM	Compound	RXCUI:91185	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
RXRG	Gene	HGNC:10479	MOFAROTENE	Compound	NCIT:C63667	DGIDB::MODULATOR::Gene:Compound	DGIDB
NCBIGENE:31	Gene	HGNC:84	CASOXIN C	Compound	iuphar.ligand:10224	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:2153	Gene	HGNC:3542	AZD8835	Compound	iuphar.ligand:8915	DGIDB::INHIBITOR::Gene:Compound	DGIDB
SLC6A2	Gene	HGNC:11048	ORPHENADRINE HYDROCHLORIDE	Compound	RXCUI:202723	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GABRG2	Gene	HGNC:4087	SEVOFLURANE	Compound	RXCUI:36453	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
TUBB2B	Gene	HGNC:30829	LEXIBULIN	Compound	NCIT:C77882	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CSF1R	Gene	HGNC:2433	PEXIDARTINIB HYDROCHLORIDE	Compound	RXCUI:2183103	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:11	Gene	HGNC:15	E6801	Compound	iuphar.ligand:3217	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:21	Gene	HGNC:33	MRS1041	Compound	iuphar.ligand:392	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:26	Gene	HGNC:80	XYLAZINE	Compound	NCIT:C75049	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:213	Gene	HGNC:399	[125I]SAUVAGINE (FROG)	Compound	iuphar.ligand:916	DGIDB::AGONIST::Gene:Compound	DGIDB
GABRD	Gene	HGNC:4084	ETHCHLORVYNOL	Compound	RXCUI:4118	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
NCBIGENE:24	Gene	HGNC:34	CYPROHEPTADINE HYDROCHLORIDE	Compound	RXCUI:104592	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GABRQ	Gene	HGNC:14454	PRAZEPAM	Compound	RXCUI:8627	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
PDE4A	Gene	HGNC:8780	THEOPHYLLINE SODIUM GLYCINATE	Compound	RXCUI:155075	DGIDB::INHIBITOR::Gene:Compound	DGIDB
DRD2	Gene	HGNC:3023	SULPIRIDE	Compound	RXCUI:10239	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:19	Gene	HGNC:29	N(6)-CYCLOHEXYLADENOSINE	Compound	iuphar.ligand:423	DGIDB::AGONIST::Gene:Compound	DGIDB
SCN7A	Gene	HGNC:10594	DRONEDARONE HYDROCHLORIDE	Compound	RXCUI:736680	DGIDB::BLOCKER::Gene:Compound	DGIDB
NCBIGENE:1375	Gene	HGNC:2329	FR122047	Compound	iuphar.ligand:5191	DGIDB::INHIBITOR::Gene:Compound	DGIDB
GABRA2	Gene	HGNC:4076	BREXANOLONE	Compound	RXCUI:2121777	DGIDB::POSITIVE ALLOSTERIC MODULATOR::Gene:Compound	DGIDB
NCBIGENE:2327	Gene	HGNC:3770	COMPOUND 9 [PMID: 3514912]	Compound	iuphar.ligand:8559	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:360	Gene	HGNC:636	R116031	Compound	iuphar.ligand:5754	DGIDB::INHIBITOR::Gene:Compound	DGIDB
KDR	Gene	HGNC:6307	ORANTINIB	Compound	NCIT:C1884	DGIDB::INHIBITOR::Gene:Compound	DGIDB
PIK3R5	Gene	HGNC:30035	PF-04691502	Compound	iuphar.ligand:7936	DGIDB::INHIBITOR::Gene:Compound	DGIDB
PIK3C3	Gene	HGNC:8974	VOXTALISIB	Compound	NCIT:C71704	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:288	Gene	HGNC:494	GR 196429	Compound	iuphar.ligand:1349	DGIDB::AGONIST::Gene:Compound	DGIDB
TUBB3	Gene	HGNC:20772	KOS-1584	Compound	DrugBank:DB05903	DGIDB::MODULATOR::Gene:Compound	DGIDB
NCBIGENE:262	Gene	HGNC:457	UR-PG131A	Compound	iuphar.ligand:1198	DGIDB::AGONIST::Gene:Compound	DGIDB
NCBIGENE:322	Gene	HGNC:581	FILOREXANT	Compound	NCIT:C169980	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:262	Gene	HGNC:457	QUETIAPINE FUMARATE	Compound	RXCUI:221153	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:1504	Gene	HGNC:2521	HSD1590	Compound	iuphar.ligand:10424	DGIDB::INHIBITOR::Gene:Compound	DGIDB
PDGFRB	Gene	HGNC:8804	IMATINIB	Compound	RXCUI:282388	DGIDB::INHIBITOR::Gene:Compound	DGIDB
ABL	Gene	HGNC:76	NILOTINIB	Compound	RXCUI:662281	DGIDB::INHIBITOR::Gene:Compound	DGIDB
TUBA1C	Gene	HGNC:20768	RG-7600	Compound	CHEMBL:CHEMBL2109281	DGIDB::INHIBITOR::Gene:Compound	DGIDB
RPSA	Gene	HGNC:6502	CLINDAMYCIN	Compound	RXCUI:2582	DGIDB::INHIBITOR::Gene:Compound	DGIDB
TUBA1B	Gene	HGNC:18809	FOSBRETABULIN TROMETHAMINE	Compound	NCIT:C83721	DGIDB::MODULATOR::Gene:Compound	DGIDB
SCN7A	Gene	HGNC:10594	ORPHENADRINE HYDROCHLORIDE	Compound	RXCUI:202723	DGIDB::BLOCKER::Gene:Compound	DGIDB
FGFR1	Gene	HGNC:3688	PD-0166285	Compound	CHEMBL:CHEMBL3545196	DGIDB::INHIBITOR::Gene:Compound	DGIDB
CA2	Gene	HGNC:1373	ACETAZOLAMIDE	Compound	RXCUI:167	DGIDB::INHIBITOR::Gene:Compound	DGIDB
NCBIGENE:71	Gene	HGNC:144	CXCL12-(1-17)	Compound	iuphar.ligand:846	DGIDB::AGONIST::Gene:Compound	DGIDB
