Biomarker ID	Biomarker Name	Disease	ICD Code	Biomarker Type	Conclusion	UniProt ID	REF 1	Biomarker Location	Specific Aim	Molecular Type	Biomarker Measure	Treatment	Specific Conclusion	Biomarker Phase	Objective	Research Method	Research Results
BM002473	Pepsin	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent		P0DJD8 ; P0DJD7 ; P0DJD9	Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	tracheal aspirates									
BM002640	Regulated upon activation of normal T cell expressed and secreted (RANTES)	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Infant blood									
BM000559	spectrophotometry	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Oral mucosa									
BM000577	Thymus	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Chest radiograph									
BM000602	unconjugated estriol	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Maternal blood									
BM002938	Vascular endothelial growth factor (VEGF)	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent		P15692 ; P49765 ; P49767 ; O43915	Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	Infant blood						Clinical trial			
BM000687	8-hydroxy-2-deoxyguanosine (8-OHdG)	Bronchopulmonary dysplasia	ICD-11: KB29.0 ; ICD-10: P27.1 ; ICD-9: 770.7	Antecedent			Biomarkers in bronchopulmonary dysplasia. Paediatr Respir Rev. 2013 Sep;14(3):173-9.	urine									
BM000913	NT-proBNP	Persistent pulmonary hypertension of the newborn	ICD-11: KB42 ; ICD-10: P29.3 ; ICD-9: 747.83	Diagnostic			Use of cardiac biomarkers in neonatology. Pediatr Res. 2012 Oct;72(4):337-43.				Elevated level						
BM000911	NT-proBNP	Patent ductus arteriosus	ICD-11: LA8B.4 ; ICD-10: Q25.0 ; ICD-9: 747	Diagnostic			Use of cardiac biomarkers in neonatology. Pediatr Res. 2012 Oct;72(4):337-43.				Elevated level						
BM001258	Troponin I, cardiac muscle	Patent ductus arteriosus	ICD-11: LA8B.4 ; ICD-10: Q25.0 ; ICD-9: 747	Diagnostic		P19429	Use of cardiac biomarkers in neonatology. Pediatr Res. 2012 Oct;72(4):337-43.				Elevated level						
BM001259	Troponin T, cardiac muscle isoforms	Patent ductus arteriosus	ICD-11: LA8B.4 ; ICD-10: Q25.0 ; ICD-9: 747	Diagnostic		P45379	Use of cardiac biomarkers in neonatology. Pediatr Res. 2012 Oct;72(4):337-43.				Elevated level						
BM000917	NT-proBNP	Asphyxia	ICD-11: MD11.1 ; ICD-10: R09.0 ; ICD-9: 799	Prognostic			Use of cardiac biomarkers in neonatology. Pediatr Res. 2012 Oct;72(4):337-43.		Outcome								
BM000915	Troponin I, cardiac muscle	Asphyxia	ICD-11: MD11.1 ; ICD-10: R09.0 ; ICD-9: 799	Prognostic		P19429	Use of cardiac biomarkers in neonatology. Pediatr Res. 2012 Oct;72(4):337-43.		Outcome								
BM000916	Troponin T, cardiac muscle isoforms	Asphyxia	ICD-11: MD11.1 ; ICD-10: R09.0 ; ICD-9: 799	Prognostic		P45379	Use of cardiac biomarkers in neonatology. Pediatr Res. 2012 Oct;72(4):337-43.		Outcome								
BM001983	iL-1R1	Hypoxia	ICD-11: MD11.1 ; ICD-10: R09.0 ; ICD-9: 799.02	Diagnostic			Biomarkers for chronic fatigue. Brain Behav Immun. 2012 Nov;26(8):1202-10.	plasma	Fatigue		Elevated level						
BM001984	L-1I	Hypoxia	ICD-11: MD11.1 ; ICD-10: R09.0 ; ICD-9: 799.02	Diagnostic			Biomarkers for chronic fatigue. Brain Behav Immun. 2012 Nov;26(8):1202-10.	plasma	Fatigue		Elevated level						
BM002569	pro-ANP	Acute lung injury	ICD-11: NB32.3 ; ICD-10: S27.3 ; ICD-9: 518	Prognostic	Similarly, pro-ANP levels have been shown to predict severity of acute lung inju ry and survival in patients in the ICU requiring mechanical ventilation		Cardiac biomarkers in the critically ill. Crit Care Clin. 2011 Apr;27(2):327-43.		Severity								
BM001216	Creatinine	Kidney injury	ICD-11: NB92.0 ; ICD-10: S37.0 ; ICD-9: 584	Diagnostic			Biomarkers of acute kidney injury in pediatric cardiac patients. Biomark Med. 2012 Jun;6(3):273-82.										
BM000965	Carbonyl sulfide	Graft rejection	ICD-11: NE84 ; ICD-9: 996	Monitoring	Carbonyl sulfide may also be a useful non-invasive marker for monitoring pulmona ry allograft dysfunction		Breath biomarkers in diagnosis of pulmonary diseases. Clin Chim Acta. 2012 Nov 12;413(21-22):1770-80.	breath	Pulmonary allograft dysfunction		Elevated level						
BM002485	Granzyme B	Kidney transplant rejection	ICD-11: NE84 ; ICD-9: 996.81	Diagnostic		P10144	Biomarkers in native and transplant kidneys: opportunities to improve prediction of outcomes in chronic kidney disease. Curr Opin Nephrol Hypertens. 2012 Nov;21(6):619-27.	blood;urine		Gene							
BM002474	Peptide/proteome panels	Kidney transplant rejection	ICD-11: NE84 ; ICD-9: 996.81	Diagnostic			Biomarkers in native and transplant kidneys: opportunities to improve prediction of outcomes in chronic kidney disease. Curr Opin Nephrol Hypertens. 2012 Nov;21(6):619-27.	urine		Combination							
BM000016	calcium	Hemodialysis	ICD-11: QB94.1 ; ICD-10: Z49.1	Differentiation	As compared with conventional dialysis, NHD was associated with a nonstatistical ly significant increase in dietary intake for some nutrients, with maintenance o f serum levels for potassium, calcium, and phosphorus. Whether increased dietary intake translates into improvement in morbidity and mortality remains to be det ermined.		The effect of nocturnal and conventional hemodialysis on markers of nutritional status: results from a randomized trial. J Ren Nutr. 2011 May;21(3):271-6.	serum	Nutritional status	Small molecule			As compared with conventional dialysis, NHD was associated with a nonstatistical ly significant increase in dietary intake for some nutrients, with maintenance o f serum levels for potassium, calcium, and phosphorus.	Clinical trial	More frequent dialysis may improve nutrition and remove dietary restrictions in hemodialysis (HD) patients. We present results from a trial comparing nutritiona l parameters between nocturnal hemodialysis (NHD) and conventional HD patients.	Patients were randomized to conventional thrice weekly HD or NHD for a 6-month s tudy period. Dietary intake was recorded by patients using a 3-day food record a t baseline and study exit.	Of 51 patients, 23 completed baseline and exit food records and were included in the analysis. Although dietary intake of calcium, potassium, and lipids increas ed in the NHD group, serum levels of calcium and potassium remained within targe t limits. The majority of NHD subjects were able to reduce or discontinue their phosphate binders and maintain serum phosphate levels within target limits. Seru m albumin improved among the NHD group (0.7 g/L) and declined for the convention al group (-1.6 g/L). None of the between group differences achieved statistical significance.
BM000017	phosphorus	Hemodialysis	ICD-11: QB94.1 ; ICD-10: Z49.1	Differentiation	As compared with conventional dialysis, NHD was associated with a nonstatistical ly significant increase in dietary intake for some nutrients, with maintenance o f serum levels for potassium, calcium, and phosphorus. Whether increased dietary intake translates into improvement in morbidity and mortality remains to be det ermined.		The effect of nocturnal and conventional hemodialysis on markers of nutritional status: results from a randomized trial. J Ren Nutr. 2011 May;21(3):271-6.	serum	Nutritional status	Small molecule			As compared with conventional dialysis, NHD was associated with a nonstatistical ly significant increase in dietary intake for some nutrients, with maintenance o f serum levels for potassium, calcium, and phosphorus.	Clinical trial	More frequent dialysis may improve nutrition and remove dietary restrictions in hemodialysis (HD) patients. We present results from a trial comparing nutritiona l parameters between nocturnal hemodialysis (NHD) and conventional HD patients.	Patients were randomized to conventional thrice weekly HD or NHD for a 6-month s tudy period. Dietary intake was recorded by patients using a 3-day food record a t baseline and study exit.	Of 51 patients, 23 completed baseline and exit food records and were included in the analysis. Although dietary intake of calcium, potassium, and lipids increas ed in the NHD group, serum levels of calcium and potassium remained within targe t limits. The majority of NHD subjects were able to reduce or discontinue their phosphate binders and maintain serum phosphate levels within target limits. Seru m albumin improved among the NHD group (0.7 g/L) and declined for the convention al group (-1.6 g/L). None of the between group differences achieved statistical significance.
BM000018	potassium	Hemodialysis	ICD-11: QB94.1 ; ICD-10: Z49.1	Differentiation	As compared with conventional dialysis, NHD was associated with a nonstatistical ly significant increase in dietary intake for some nutrients, with maintenance o f serum levels for potassium, calcium, and phosphorus. Whether increased dietary intake translates into improvement in morbidity and mortality remains to be det ermined.		The effect of nocturnal and conventional hemodialysis on markers of nutritional status: results from a randomized trial. J Ren Nutr. 2011 May;21(3):271-6.	serum	Nutritional status	Small molecule			As compared with conventional dialysis, NHD was associated with a nonstatistical ly significant increase in dietary intake for some nutrients, with maintenance o f serum levels for potassium, calcium, and phosphorus.	Clinical trial	More frequent dialysis may improve nutrition and remove dietary restrictions in hemodialysis (HD) patients. We present results from a trial comparing nutritiona l parameters between nocturnal hemodialysis (NHD) and conventional HD patients.	Patients were randomized to conventional thrice weekly HD or NHD for a 6-month s tudy period. Dietary intake was recorded by patients using a 3-day food record a t baseline and study exit.	Of 51 patients, 23 completed baseline and exit food records and were included in the analysis. Although dietary intake of calcium, potassium, and lipids increas ed in the NHD group, serum levels of calcium and potassium remained within targe t limits. The majority of NHD subjects were able to reduce or discontinue their phosphate binders and maintain serum phosphate levels within target limits. Seru m albumin improved among the NHD group (0.7 g/L) and declined for the convention al group (-1.6 g/L). None of the between group differences achieved statistical significance.
BM003147	MHCclass II protein	Salmonella infection	ICD-11: 1A08 ; ICD-10: A02.0, A02.8	Differentiation	Salmonella Typhimurium infection reduced surface expression of MHC-II, by an invariant chain-independent trafficking mechanism, resulting in accumulation of MHC-II in multi-vesicular bodies.		Salmonella polarises peptide-MHC-II presentation towards an unconventional Type B CD4+ T-cell response. Eur J Immunol. 2013 Apr;43(4):897-906. Eur J Immunol. 2013 Apr;43(4):897-906.				Lower						
BM003120	CCR5 mRNA	Syphilis	ICD-11: 1A60-1A6Z ; ICD-10: A00-B99	Differentiation	CCR5 mRNA expression was increased in tissue obtained from syphilis lesions.		Effect of genital ulcer disease on HIV-1 coreceptor expression in the female genital tract. J Infect Dis. 2007 Nov 15;196(10):1509-16. J Infect Dis. 2007 Nov 15;196(10):1509-16.				Increased						
BM003193	Desmoplakin	Condyloma	ICD-11: 1A95	Differentiation	Condylomata retained low CRBP-1 and high expression of PKP-1 and DP	P15924	The Ki67+ proliferation index correlates with increased cellular retinol-binding protein-1 and the coordinated loss of plakophilin-1 and desmoplaki... Histopathology. 2007 Jul;51(1):87-97. Histopathology. 2007 Jul;51(1):87-97.										
BM003186	E3 ubiquitin-protein ligase MIB1	Condyloma	ICD-11: 1A95	Differentiation	Condylomas with HPV 6/11 showed higher MIB1 expression in the basal layer than condylomas with HPV 16/18 and 31/33/35.	Q86YT6	A comparison of proliferative activity and atypical mitoses in cervical condylomas with various HPV types. Int J Gynecol Pathol. 1998 Jan;17(1):24-8. Int J Gynecol Pathol. 1998 Jan;17(1):24-8.				Higher						
BM003191	Involucrin	Condyloma	ICD-11: 1A95	Differentiation	All condylomas showed intense staining for involucrin in full-thickness of the epithelium, but the high-grade dysplasias and carcinomas showed only focal or absence of staining for involucrin.	P07476	DNA hybridization for human papillomavirus (HPV) in cervical lesions. Relationship of the presence of various viral subtypes to expression of HPV s... Arch Pathol Lab Med. 1987 Jan;111(1):22-7. Arch Pathol Lab Med. 1987 Jan;111(1):22-7.				Higher						
BM003185	Mucin-4	Condyloma	ICD-11: 1A95	Differentiation	MUC4 expression is aberrantly upregulated in cutaneous SCCs, vulval condylomas and verruca vulgaris.	Q99102	Aberrant upregulation of MUC4 mucin expression in cutaneous condyloma acuminatum and squamous cell carcinoma suggests a potential role in the diagn... J Clin Pathol. 2010 Jul;63(7):579-84. J Clin Pathol. 2010 Jul;63(7):579-84.				Higher						
BM003121	IFN-(+) CD4 T-cells	Tuberculosis	ICD-11: 1B10-1B1Z ; ICD-10: A15-A19, B90	Differentiation	CD27-expression on tuberculin-activated IFN-(+) CD4 T-cells is known to differ significantly between patients with active pulmonary TB and healthy TB-unexposed BCG vaccinees.		The phenotypic distribution and functional profile of tuberculin-specific CD4 T-cells characterizes different stages of TB infection. Cytometry B Clin Cytom. 2012 Nov;82(6):360-8. Cytometry B Clin Cytom. 2012 Nov;82(6):360-8.										
