id,name,type,label,resource
NDF-RT:N0000168277,"2',5'-Oligoadenylate Synthetase",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167243,"2,2'-Dipyridyl",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166927,"2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168482,"2,3-Diketogulonic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168492,"2,3-Diphosphoglycerate",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166684,"2,4,5-Trichlorophenoxyacetic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166680,"2,4-Dichlorophenoxyacetic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166601,"2,4-Dinitrophenol",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166525,"2,5-Dimethoxy-4-Methylamphetamine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166618,"2,6-Dichloroindophenol",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168115,2-Acetolactate Mutase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167342,2-Acetylaminofluorene,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000022617,2-AMINO-2-METHYL-1-PROPANOL,,PharmacologicClass,NDF-RT
NDF-RT:N0000179013,2-amino-2-methyl-1-propanol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000170278,2-Amino-5-phosphonovalerate,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168392,2-Aminoadipate Transaminase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000170288,2-Aminoadipic Acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000007749,2-Aminopurine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179531,2-Bromoergocryptine Mesylate,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000176086,2-BUTOXYETHANOL,,PharmacologicClass,NDF-RT
NDF-RT:N0000007635,2-Chloroadenosine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000000061,2-Compartment,[PK],PharmacologicClass,NDF-RT
NDF-RT:N0000179486,2-ethylhexyl salicylate,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166603,2-Hydroxy-5-nitrobenzyl Bromide,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166806,2-Hydroxyphenethylamine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168131,2-Isopropylmalate Synthase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166683,2-Methyl-4-chlorophenoxyacetic Acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179015,2-methyl-4-isothiazolin-3-one,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167383,2-Naphthylamine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000184206,2-OCTYL CYANOCRYLATE,,PharmacologicClass,NDF-RT
NDF-RT:N0000167913,2-Oxoisovalerate Dehydrogenase (Acylating),[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000148277,2-PHENYLBENZIMIDAZOLE-5-SULFONIC ACID,,PharmacologicClass,NDF-RT
NDF-RT:N0000005909,2-Propanol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000175098,2-Pyridinylmethylsulfinylbenzimidazoles,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167505,20-alpha-Dihydroprogesterone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167989,20-alpha-Hydroxysteroid Dehydrogenase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167987,20-Hydroxysteroid Dehydrogenases,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000182241,22q11 Deletion Syndrome,[Disease/Finding],PharmacologicClass,NDF-RT
NDF-RT:N0000010001,24 Hour Extended Release Suspension,[Dose Form],PharmacologicClass,NDF-RT
NDF-RT:N0000168625,"24,25-Dihydroxyvitamin D 3",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168616,25-Hydroxyvitamin D 2,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000170035,25-Hydroxyvitamin D3 1-alpha-Hydroxylase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166931,"2H-Benzo(a)quinolizin-2-ol, 2-Ethyl-1,3,4,6,7,11b-hexahydro-3-isobutyl-9,10-dimethoxy-",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000178847,"2S Albumins, Plant",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000170710,3' Untranslated Regions,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167617,"3',5'-Cyclic-AMP Phosphodiesterases",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167613,"3',5'-Cyclic-GMP Phosphodiesterases",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166404,"3,3'-Diaminobenzidine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166403,"3,3'-Dichlorobenzidine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000176159,"3,4 DIAMINOPYRIDINE",,PharmacologicClass,NDF-RT
NDF-RT:N0000179017,"3,4-diaminopyridine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167147,"3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166647,"3,4-Dihydroxyphenylacetic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166527,"3,4-Methylenedioxyamphetamine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167984,3-alpha-Hydroxysteroid Dehydrogenase (B-Specific),[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000000062,3-Compartment,[PK],PharmacologicClass,NDF-RT
NDF-RT:N0000170638,3-Deazauridine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168044,3-Deoxy-7-Phosphoheptulonate Synthase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167953,3-Hydroxyacyl CoA Dehydrogenases,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000189408,3-Hydroxyacyl-CoA Dehydrogenase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167850,"3-Hydroxyanthranilate 3,4-Dioxygenase",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166678,3-Hydroxyanthranilic Acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000011470,3-Hydroxybutyric Acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167983,3-Hydroxysteroid Dehydrogenases,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166590,3-Iodobenzylguanidine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167952,3-Isopropylmalate Dehydrogenase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166740,3-Mercaptopropionic Acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166596,3-Methoxy-4-hydroxyphenylethanol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167916,3-Methyl-2-Oxobutanoate Dehydrogenase (Lipoamide),[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168435,3-O-Methylglucose,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167926,3-Oxo-5-alpha-Steroid 4-Dehydrogenase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000189395,3-Oxoacyl-(Acyl-Carrier-Protein) Reductase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168164,3-Oxoacyl-(Acyl-Carrier-Protein) Synthase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000189425,3-Phosphoinositide-Dependent Protein Kinases,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168309,3-Phosphoshikimate 1-Carboxyvinyltransferase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167242,"3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, Methyl ester",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166552,"4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167056,"4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167084,4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000175230,4-1BB Ligand,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166553,"4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000006481,4-Aminobenzoic Acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168376,4-Aminobutyrate Transaminase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167244,4-Aminopyridine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000181825,4-AMINOQUINOLINE,,PharmacologicClass,NDF-RT
NDF-RT:N0000167129,4-Butyrolactone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167104,4-Chloro-7-nitrobenzofurazan,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166760,4-Chloromercuribenzenesulfonate,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179019,4-chlorophenol,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179020,4-dichlorobenzene,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000022618,4-DILAURATE,,PharmacologicClass,NDF-RT
NDF-RT:N0000167040,4-Hydroxyaminoquinoline-1-oxide,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167858,4-Hydroxybenzoate-3-Monooxygenase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000007905,4-Hydroxycoumarins,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000175809,4-Hydroxyphenyl-Pyruvate Dioxygenase Inhibitor,[EPC],PharmacologicClass,NDF-RT
NDF-RT:N0000167849,4-Hydroxyphenylpyruvate Dioxygenase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000153160,4-MIXED TRACE ELEMENTS INJ,[VA Product],PharmacologicClass,NDF-RT
NDF-RT:N0000167650,4-Nitrophenylphosphatase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167039,4-Nitroquinoline-1-oxide,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179022,4-phenylenediamine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000011390,4-Quinolones,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000182246,"46, XX Disorders of Sex Development",[Disease/Finding],PharmacologicClass,NDF-RT
NDF-RT:N0000182247,"46, XX Testicular Disorders of Sex Development",[Disease/Finding],PharmacologicClass,NDF-RT
NDF-RT:N0000182227,"46, XY Disorders of Sex Development",[Disease/Finding],PharmacologicClass,NDF-RT
NDF-RT:N0000170711,5' Untranslated Regions,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000171332,5'-Nucleotidase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167920,"5,10-Methylenetetrahydrofolate Reductase (FADH2)",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166968,"5,6-Dihydroxytryptamine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166969,"5,7-Dihydroxytryptamine",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168574,"5,8,11,14-Eicosatetraynoic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000175836,5-alpha Reductase Inhibitor,[EPC],PharmacologicClass,NDF-RT
NDF-RT:N0000000126,5-alpha Reductase Inhibitors,[MoA],PharmacologicClass,NDF-RT
NDF-RT:N0000167501,5-alpha-Dihydroprogesterone,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167136,"5-Amino-3-((5-nitro-2-furyl)vinyl)-1,2,4-oxadiazole",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168151,5-Aminolevulinate Synthetase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179024,5-chloro-2-methyl-4-isothiazolin-3-one,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000170250,5-Hydroxytryptophan,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000175956,5-Lipoxygenase Inhibitor,[EPC],PharmacologicClass,NDF-RT
NDF-RT:N0000175955,5-Lipoxygenase Inhibitors,[MoA],PharmacologicClass,NDF-RT
NDF-RT:N0000182133,5-Lipoxygenase-Activating Proteins,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166965,5-Methoxytryptamine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167184,5-Methylcytosine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000168181,5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167329,6-Aminonicotinamide,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000166941,"6-Cyano-7-nitroquinoxaline-2,3-dione",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000171035,6-Ketoprostaglandin F1 alpha,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000006010,6-Mercaptopurine,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000179025,6-O-palmitoylascorbic acid,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167655,6-Phytase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167360,"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167869,7-Alkoxycoumarin O-Dealkylase,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000185030,7-METHOXYFLAVONE,,PharmacologicClass,NDF-RT
NDF-RT:N0000168572,"8,11,14-Eicosatrienoic Acid",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000181826,8-AMINOQUINOLINE,,PharmacologicClass,NDF-RT
NDF-RT:N0000170820,8-Bromo Cyclic Adenosine Monophosphate,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167376,8-Hydroxy-2-(di-n-propylamino)tetralin,[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000167352,"9,10-Dimethyl-1,2-benzanthracene",[Chemical/Ingredient],PharmacologicClass,NDF-RT
NDF-RT:N0000029363,[AA000] INTRODUCTION,,PharmacologicClass,NDF-RT
NDF-RT:N0000029066,"[AD000] ANTIDOTES,DETERRENTS AND POISON CONTROL",,PharmacologicClass,NDF-RT
NDF-RT:N0000029067,[AD100] ALCOHOL DETERRENTS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029068,[AD200] CYANIDE ANTIDOTES,,PharmacologicClass,NDF-RT
NDF-RT:N0000029284,[AD300] HEAVY METAL ANTAGONISTS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029069,"[AD400] ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS",,PharmacologicClass,NDF-RT
NDF-RT:N0000029070,"[AD900] ANTIDOTES/DETERRENTS,OTHER",,PharmacologicClass,NDF-RT
NDF-RT:N0000029071,[AH000] ANTIHISTAMINES,,PharmacologicClass,NDF-RT
NDF-RT:N0000029072,"[AH100] ANTIHISTAMINES,PHENOTHIAZINE",,PharmacologicClass,NDF-RT
NDF-RT:N0000029288,"[AH102] ANTIHISTAMINES,ETHANOLAMINE",,PharmacologicClass,NDF-RT
NDF-RT:N0000029289,"[AH103] ANTIHISTAMINES,ETHYLENEDIAMINE",,PharmacologicClass,NDF-RT
NDF-RT:N0000029290,"[AH104] ANTIHISTAMINES,ALKYLAMINE",,PharmacologicClass,NDF-RT
NDF-RT:N0000029291,"[AH105] ANTIHISTAMINES,PIPERAZINE",,PharmacologicClass,NDF-RT
NDF-RT:N0000029364,"[AH106] ANTIHISTAMINES,BUTYROPHENONE",,PharmacologicClass,NDF-RT
NDF-RT:N0000029365,"[AH107] ANTIHISTAMINES,PIPERIDINE",,PharmacologicClass,NDF-RT
NDF-RT:N0000029073,"[AH109] ANTIHISTAMINES,OTHER",,PharmacologicClass,NDF-RT
NDF-RT:N0000029074,[AM000] ANTIMICROBIALS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029292,[AM110] PENICILLIN-G RELATED PENICILLINS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029293,"[AM111] PENICILLINS,AMINO DERIVATIVES",,PharmacologicClass,NDF-RT
NDF-RT:N0000029294,[AM112] PENICILLINASE-RESISTANT PENICILLINS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029295,[AM113] EXTENDED SPECTRUM PENICILLINS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029076,[AM114] PENICILLINS AND BETA-LACTAM ANTIMICROBIALS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029077,[AM115] CEPHALOSPORIN 1ST GENERATION,,PharmacologicClass,NDF-RT
NDF-RT:N0000029078,[AM116] CEPHALOSPORIN 2ND GENERATION,,PharmacologicClass,NDF-RT
NDF-RT:N0000029079,[AM117] CEPHALOSPORIN 3RD GENERATION,,PharmacologicClass,NDF-RT
NDF-RT:N0000029554,[AM118] CEPHALOSPORIN 4TH GENERATION,,PharmacologicClass,NDF-RT
NDF-RT:N0000029366,"[AM119] BETA-LACTAMS ANTIMICROBIALS,OTHER",,PharmacologicClass,NDF-RT
NDF-RT:N0000029080,[AM150] CHLORAMPHENICOL,,PharmacologicClass,NDF-RT
NDF-RT:N0000029081,[AM200] ERYTHROMYCINS/MACROLIDES,,PharmacologicClass,NDF-RT
NDF-RT:N0000029082,[AM250] TETRACYCLINES,,PharmacologicClass,NDF-RT
NDF-RT:N0000029083,[AM300] AMINOGLYCOSIDES,,PharmacologicClass,NDF-RT
NDF-RT:N0000029296,[AM350] LINCOMYCINS,,PharmacologicClass,NDF-RT
NDF-RT:N0000183553,[AM400] QUINOLONES,,PharmacologicClass,NDF-RT
NDF-RT:N0000029084,[AM500] ANTITUBERCULARS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029085,[AM550] METHENAMINE SALTS ANTIMICROBIALS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029086,[AM600] NITROFURANS ANTIMICROBIALS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029087,[AM650] SULFONAMIDE/RELATED ANTIMICROBIALS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029088,[AM700] ANTIFUNGALS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029089,[AM800] ANTIVIRALS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029090,"[AM900] ANTI-INFECTIVES,OTHER",,PharmacologicClass,NDF-RT
NDF-RT:N0000029091,[AN000] ANTINEOPLASTICS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029092,"[AN100] ANTINEOPLASTICS,ALKYLATING AGENTS",,PharmacologicClass,NDF-RT
NDF-RT:N0000029093,[AN200] ANTINEOPLASTIC ANTIBIOTICS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029094,"[AN300] ANTINEOPLASTICS,ANTIMETABOLITES",,PharmacologicClass,NDF-RT
NDF-RT:N0000029095,[AN400] ANTINEOPLASTIC ADJUVANTS,,PharmacologicClass,NDF-RT
NDF-RT:N0000029297,[AN500] ANTINEOPLASTIC HORMONES,,PharmacologicClass,NDF-RT
